BR ICN,R1826741
FR ZHS,R169170
DE THN,R335434
US JIR,N153715017
PT MTE,R6549245
IT CEW,R46295
ES PGN,R347030
GB OMF,R4780426
AT SGT,R3825688
DE KMO,R1147133
CL LIG,R113201
FR AED,R88847
NO ROV,N2552333442
DE R3F,R448303
RU BGR,R1764947
ES CLA,R347781
AT HON,R105139
US YVH,R127928
IT GAA,R46204
RO PHV,N181623678
US YMZ,R128870
DE PEB,R1289805
MK MIR,R6505502
DE RHS,R534533
US EYD,R181617
DE PZD,R1080476
GB SPF,R5544977
FR MGA,R417949
DK BOE,N9669520483
NL BGU,R2645613
IN IXU,N245686245
CH AFH,R1682633
CO DAB,R1343270
US TZN,N151627725
PL RMA,R2925969
ES BER,R340583
US IEA,R207045
DE HMB,R386414
FR BM5,R908146
GR DSD,R14684903
IT VRT,R46214
US BXA,R132196
US SWB,R6080586
NL LTU,R1422773
US FYI,R187271
US NVC,N158314589
US VXQ,R206921
AT BNN,N152282038
US OQL,R186757
US ZIW,R117442
SK DLV,R2141901
US ZSA,N153434817
SK ZMS,R2205558
US QCR,N151903251
DK HHS,N291733919
BE VZI,N475354603
DE XZS,R318132
CA CCI,N52557390
FR CEF,R135879
KE MYD,W497879072
PL OYD,R7062060
CA RKC,N51972788
DE 6BP,R1273266
BR SNF,R314699
FR AJX,R73945
PL MAO,R6103279
US MKW,R237243
IT FDR,R41932
US H6A,R184314
UA HBY,W185102587
GB SCE,R5323845
AU GUG,R11677784
FR EZQ,R174959
IT CVO,R45100
JP CHO,R2679941
AU LOC,R6330590
US YCD,R2866413
FR YLB,R76056
DE BHX,N290277917
US RWC,R112309
FR V2C,R382598
US AT8,R1216828
US PZQ,R176097
IT ABL,R41483
GR SYM,R5316476
CO STI,N703507022
NL OWK,R2713022
NA AIW,N2477745743
ZA MOR,N55337040
ES OO7,R343678
JP HAO,R5301639
DE KTG,R935162
CZ DYY,R438358
GB NRM,R1022753
JP MIH,N6327397672
GB IMP,R1635629
BE RET,R58865
BG DBD,N273873330
FR PGX,R76351
FR BHR,N5252025350
FR AAH,R2313810
FR JFM,R149159
FR ZGC,R1176738
ES TLI,R343000
CA HHC,N3146583530
BR COF,R296638
SE KSA,N155505157
AZ KMZ,W129713740
ZA DLM,N28385455
IT TZO,R46563
GB LGG,N723020229
GB USK,R11011290
NO KRN,N6222234582
BR LFA,R315134
US SER,R127590
DE ZER,R5587170
DE DRO,R444768
GB WKN,R3609204
NL GTN,R1464992
US MVP,R187730
IT SNG,R41072
US QZL,N150917257
DE XBN,R1244235
FR VSX,R1698090
BR SFN,R362195
AU ARD,R6639518
GB PPS,N289354615
ES ZMK,R343769
US ABK,N153434426
DE HRU,R418624
GB CEM,N24972459
IN JUC,N559844882
DE SMA,R448011
FR 4LR,R2195080
GB MGM,R11074981
IT ZBH,R44722
FR LQO,R1792393
FR MSC,R144906
FR CHI,R164185
CZ VES,R437949
MX SGA,N448081813
DE NAT,R2791906
US CKY,R126110
US SRN,R134698
BE WKD,R2396837
US OQD,R175782
US QPO,R179799
GT LDE,N605828570
FR CS2,R2252420
PT CLB,R5331732
DE GHR,R1258358
MG TOA,N335711690
BR CXX,R301376
IN KHE,N245709182
BR VND,R242731
EE RON,R350532
US EY5,R10060174
IS HVE,R8485632
US BRV,R170463
FR YDE,R1792404
PK DIR,N299050028
US CTP,R130650
RO BDM,R9881428
BR MRU,R302620
DE UHO,R1808861
HR SLT,R9155119
DE OWE,R1187148
FR EHE,R9165896
US PQR,R194057
FR NAS,R283819
US WG8,R188985
US TXN,R126718
US IMP,N154332508
CH LZN,R1682891
PH XCN,R3631298
GB POB,N27431951
IT RFE,N4185989668
BR CRJ,R301105
JP KDP,R4008380
US IZC,R187202
PL LGT,R6115859
US AY7,R175914
BR SFG,R185669
US IR6,R136731
GB PRY,R5822211
GB DEP,N27554058
US VXO,R141507
CN ANS,R2782250
FR AOZ,R103923
CA SMQ,R7707045
DE DGN,R938017
SK DOS,R2206764
BE EYT,R12142312
FR S6S,R9097524
US SXI,R110150
FR CRF,R418210
BR IPM,R314774
US QPQ,R10857246
AU THB,R3345839
US PKO,R13542965
GB MLU,R918405
DK HRE,N8676506634
DE OTG,R907227
BR IQR,R334041
PG POM,N230628786
CN JPU,R14947628
US EBW,R13568971
US WC2,N158872168
US SB9,R129751
BR NDI,R334470
IR ZAN,R6639091
US GXV,N158576544
CA PUG,R9254510
DE RCT,N267549412
ES QTT,R347776
NI DIM,R15021026
US WDQ,R112607
US ELD,R6684467
IT ARJ,R46594
RU PEZ,R1846781
JP OJS,R4516002
FR PA9,R80321
DE THU,N68698494
US EY3,R169275
CZ PDL,R442510
US TEP,R3159882
FI RVA,R13329529
FR LOO,R139311
CA BC2,N1905921631
DE DZH,N1118941438
AT AGM,N240073806
AU FLD,R11690426
FR BAE,R363726
DE GOY,R451742
DE BG6,R1086003
US SJP,R137711
JP NOH,N6734564820
BE THE,N1684976538
GB FLY,R7252197
PT REC,R5928414
RO RDS,R11672770
PL MA9,R2754506
JP OPA,N8423077986
AR ASO,R3892744
ES CSO,R342682
CN ZGH,N8519271796
US AQG,N154284561
FR BSV,R1141682
US XX5,R141764
FR WAR,R139247
BR TBU,R298025
IT VEE,R44400
US M98,R127820
CA MNE,R7998297
US BXT,R8542934
FR GCN,R2010603
BR ENE,R334621
AU SMN,R11675574
FR LEI,R215332
US CVZ,N151363390
UG PAF,N10542529799
AU DOI,R5719088
AE DER,R13542317
SE KAD,N30146995
CA FHS,N51970880
US UAT,R186735
PK BHM,N5531917208
CZ KRV,R436994
MX MAM,N296889512
BO ALT,R4499832
GB FRH,R3247146
BR SIA,R314654
AU RKK,R2428835
DE 5AF,R12407435
MX ZIH,N849912349
FR BZN,R164064
NL ELA,R162195
US N8S,R130018
BR YCA,R326294
NO EGD,R405825
SE LGL,R5828559
US G2V,N153847418
DE FBR,R1332949
FR MSH,R961136
DE SRE,R396873
BR IVI,R297620
ES FAZ,R345532
ES NVV,R340123
US 2EK,R125961
ES LMA,R339946
HU INA,R1356712
FR HMD,R391753
AT JZS,R77795
IT CLT,R41809
FR M2A,R2798353
US BYQ,N158900629
IT ZFS,R43181
CA ELC,R7711422
FR ING,R148226
DE TDO,N456137875
UZ KPA,W506440375
US MDB,R6611283
CN ANG,N7796912210
FR V9N,R149903
DE 74A,R4456127
NZ OHU,R2094146
AT HAL,N201721176
AF DAZ,N1137329275
PE SVY,R1968039
US W5L,R252124
GB HDW,R7306666
DE ZSI,R161896
RO LZI,R14739061
CZ RKC,R441451
US NWW,R195961
DE LDW,R2395939
DE BZU,R2404215
DK VRA,N8245148699
US BHE,R170514
DE L8F,R9364952
DE FRB,R393689
GB AHT,R7563313
FR FPN,R2787580
PT CRT,R5397065
US RKD,R132584
FR UBS,R116816
DZ ORN,R1259562
GB PRL,N29285395
FR V6R,R225548
BY MSK,R6722548
US M7T,N151483885
PL BSZ,R9232208
JP MAI,R1547364
CR CTC,N927088560
IT FVV,N64776863
DE SDN,R722092
AT SVM,R1019261
PL RSK,N692632679
DE AH2,R191355
FR YAJ,R252635
BT PHU,N299411935
CA UPN,R9236189
US RAX,R169237
DE WOS,R1248623
FR GVE,R3359578
US PWU,R13924442
AU FIN,R8362018
US HLI,R112150
US AQ2,N151950113
AR RRS,R4112694
PT VRL,R4202166
IT UTV,R46227
GB TAT,N665652298
FR F5L,R3349674
FI EVJ,R1855917
BR BLC,R302668
PE PAI,R1986206
DE AMT,R422409
SE VIT,N256436195
KE KIA,N1124781912
US QIE,R238004
US FIK,R3235443
PL UNS,R6049182
DE LEZ,R1289788
IT NBU,R46183
DE GSE,R10922567
US POX,R238640
PL KLY,R3045930
GB PSE,N11057685641
HU GRG,R1367968
DE ASH,R1406816
US 5CH,R126090
BR JTE,R315343
DE SNK,R535890
GB E5T,R6655119
ZA KMP,N262720778
US WEL,R1943945
CZ NZA,R426556
US EB2,R125799
BA BBR,R13943664
FR QLD,R114519
US S6O,R3666841
CN MZU,N369490555
BR AAP,R332962
DE EC2,R2402487
CO MFS,R7666812
US XHJ,R187549
TR YLA,N1316424688
ES FOL,R342070
US BKI,N151512780
FR AEQ,R531019
ES EXU,R347838
SE KRF,R935445
PT PAI,N2282697335
IT ZLV,R42215
AU LKU,R8355106
AT NUA,R3827859
IT A8O,R44027
DE 67E,R288257
IT 4LT,R46922
FR V2T,R903627
IT PLB,N1166103529
MX ESE,R4717393
FR NBA,R1452058
JP OGA,R4561990
US KGE,R141336
US 8AL,R12194322
US LPE,N141041711
AU MSK,R11690952
NL STR,R1492215
RO PAU,R10697288
AU WGG,R5825134
DE PRA,R534516
DE ALG,R942029
LK BIY,N1843491172
RU VLA,R8901223
NL BUD,R2181699
US XGX,R129119
JP SHU,N8340492357
GB BOC,R1551154
NO HDV,N6219460047
RU VYS,R2244708
ES LAA,R343190
DE ZHO,R1246483
GB CNC,N26262971
PL G4K,R2708544
US M88,R198974
US SRY,R193986
DE ABD,N702202286
ES BRA,N288260273
PT CAA,R6021063
DK NBE,N10904602467
GB BDR,N4720658059
FR P3Y,R917496
GB GAT,W850463559
FR FMA,R1631032
US IQT,N151829499
BR CUH,R297895
ZA VLD,N235893930
US XTD,N150976467
US NWZ,R70959
PL OZU,R2694690
FR GAC,R391725
US QEA,R3492778
NL LGE,R275965
US XUY,R136983
FR BP2,R557841
EC CTM,R3774288
FR GXR,R138740
TR MUR,R1771123
BR NZR,R336833
DE NEZ,R5828221
FR MRX,R168202
US BOD,R6571609
AU YNC,R5831058
BR FRL,R297779
SE JPN,N61107019
ES CUJ,N920153913
BR GDI,R334415
MZ MEM,R11981809
DE A27,N302341085
US ET6,R13569848
CH WOR,R1682731
FR RDZ,R116558
GB PDH,R7589308
DE SHN,R535133
US YMM,R136843
CH UTT,R1684566
HR PGA,R15884372
AU MOU,R11677236
US XRW,R113990
GR NEA,R13320450
FR IIX,R80129
TH PHT,N7962807627
ES SNN,R340801
FR R4R,R1296005
FR VIH,R8512347
DE LPP,R965014
US S5F,N158229493
MY KLG,W750331666
CA PAN,R9671084
BR JOB,R332870
IT LIV,R42481
PG KVG,N2135442533
ES ALO,R346014
NL HES,R299218
US LAP,R133676
DE LHT,R414486
BE ABR,R2141311
GB WCF,R1610582
RO BCV,R12821264
AG SJO,N425746989
IE SJH,N52245110
CZ PKR,R424267
CA KBY,R11946004
ES MDR,R341508
US S9W,R242362
CA YWK,R2871396
FR 9GL,R122959
CL CPI,R1736040
FR JRY,R2612556
US ESL,R122950
AU PRG,R6186777
FR 7JK,R410423
GB LMY,R11306761
AU OAG,R6058037
US MSX,N151482693
CA APH,R7927023
SK NVZ,R2210142
GB SEV,R2294966
GB ILF,R4641079
IT AGZ,R45555
FR ZIW,R572498
IN MOE,N568412249
AU ABM,R11677452
IT VS2,R1650906
LV BLN,N290641970
US CN2,R129818
AU CLM,R11689229
BE SVI,N518834700
CN BCO,N4916974078
GB TOM,R1551140
PA MCH,N1291189687
CH TRX,R1685168
US EQO,N153672786
BR RNV,R368780
US GO2,R7080036
US PP7,R189016
SK VIG,R2265513
CL RBU,N214195112
NO UTV,N1298591811
FR W3E,R9377656
JP IHS,R4567394
GB HGS,R1630471
UY VCH,R4099709
BE NKW,R3376839
NL BNZ,R302222
FR 6VT,R1076851
GB OMU,N288031498
US IAZ,R128979
AR RFO,R2730206
DE OER,R63502
JP SNW,N8320082243
FR LT3,R164240
FR EMR,N648953399
JP TSU,R4538734
DE 3BB,R1419837
US NA8,R6017139
BR TLA,R332898
AU DND,R3333235
BR BES,R303617
GB KNR,N29346657
KR PTK,R2409179
DE ZBB,R962385
FR AD9,R118065
GB CGB,N248639050
CZ VSE,R442651
US KYL,R119070
