FR CCZ,R2032812
US WKY,R130547
TR SAL,R1821255
AT LMB,R64464
DE B8C,R2856987
CN RPG,R3244425
ES SER,R346883
CH VNZ,R1685397
PY GGU,R5166667
FR CX9,R1125981
CN BAH,N5908168545
DE OG3,N286063262
FR CLT,R309356
US EXE,R339435
US AEP,R132081
DE MIT,R939341
AU BAN,R2590924
FR OOR,R286315
CA BKN,R9201406
SE NRS,N7447840170
CH ARS,R1684041
DE SDA,R423196
BR SDP,R298304
FR VQD,R1116279
RU T5V,N446268638
US FHC,R1839152
FR CIS,R539051
GB ROI,N29094979
US SBN,R127646
NL OZU,R310858
FI EJO,R2506773
GB SHX,N25299258
BR GBI,R242633
CA NLB,R11954209
BR NSG,R303933
DE SME,R1814898
EC PJE,R2654683
GB KLO,N366067322
IT ZYP,R9492748
US QJC,R128806
CA SGU,R8191115
US GS2,R194884
ES BNF,R346993
GB TOF,R1401847
FR AQW,R76156
US 5WL,N154178864
BR RPB,R314764
BR SPA,R362221
DE FOR,N9444162347
US IMH,R8540327
BR KLT,R362545
US JRM,N153719794
PA SNT,R8413406
DE GOX,R1821786
BR PJU,R298248
BR KVL,R315344
MX OME,N849915845
ES AKE,R345819
FR C2L,R74476
BE RRA,N240085501
FR XAU,R111076
IT 9RC,R45064
IM RAM,R1061132
US EYQ,R111565
GB EBG,R2918552
FR F4D,R113035
FR G3G,R154382
BE BHE,R3386401
FR G9Y,R161036
BR JMO,R1829621
BR SBE,R302617
HR RUP,N1574489249
FR ZLC,R122475
US LE4,N154299622
US TLG,N154297405
FR LUP,R148981
BY MZY,R6722552
IN CDL,W164051966
ES SMP,R342167
PA PTY,N1242998122
US GBH,W673516353
DE TSF,N362583050
PT APC,R5400565
FR OVS,R114370
DE GOE,R191361
IT TDC,R41830
ES AQW,R344664
MX K6R,N3927829094
IT OLR,R43525
GB GDB,N29755167
ES CA8,R345843
SA BAH,N295921642
ES RBA,R345119
FR VQY,R150880
FR JSE,R179412
US TEJ,N158456827
CL CHR,R1979223
FR NVO,R120956
CA YCX,R9671075
MM KAW,N301202792
ES ZEM,R348020
AU JGO,R5646827
FI SPE,R2502703
FR GLQ,R3007509
BR TEN,R303694
FR L8P,R232853
TR PZR,R1838681
FR 9LC,R55659
FR IQU,R168851
BS SAQ,N9569309796
RO HOR,W74658920
GB HFR,N7815438959
US SO2,R194862
FI TUR,N948537260
BR NIV,R297854
FR VRZ,R365964
DE A2H,R1255910
FR NUZ,R192982
GB WNK,N29621700
US BE8,W220788405
US RYS,R239850
US MAB,R132011
MX DIN,N1876249463
BR MDF,R315071
FR BBM,R69623
GB CPN,R3411337
AU WKM,R11689801
US AGS,R11078175
NO VTS,N6219460066
US 2BT,N158614042
US OBT,R133666
FR OIE,R149566
ES MNU,R346818
AR VLR,R2644263
US GAC,R2317584
PL STZ,R2955356
US BL9,R119692
GB BDN,N59972890
US DRQ,R198772
US HQP,R111809
BR GRB,R298300
BR BAQ,R301130
GT EJO,N3352818594
CN JYA,R3010773
IT PZ6,N4193350744
DE EFR,R13765705
JP KG3,R4756648
FR WLB,R422129
GB BYT,R4224829
FR MCL,R2942160
CN DYW,R9670717
GB TPL,R1451789
GB WON,R1022715
GB DNY,N29336181
GB GTP,N29630152
AL SHZ,N728422419
IT ANP,R41986
IT RDA,R42122
ES RAP,W276631120
FR SSI,R142049
PT SOS,N3933505583
SE ALO,N2235653216
FR RUX,R152524
DE S3F,R35117
US TCA,R124879
ES RTY,R344274
US QOS,R3864705
HT TAB,N614530368
CO PYA,R1422326
DE 53A,R1464851
IT SLX,R45208
US BOU,R251596
NL LRU,R1883606
US RNZ,R127593
GB BGV,R1875160
MA BJD,R2806138
BR POB,R315345
FR ORU,R60972
US XMT,R194712
CL VIT,R162990
BR GVN,R332899
CL ECT,R168058
ES FGU,R347769
BR JGS,R303709
NL ZDP,R298919
US AHL,R2044244
IT ACV,R44478
FR AAM,R2185077
US 6MS,R12196412
NO RFJ,N6203030863
JP KKR,N8301659565
DE ZSP,R422355
FR AH7,R2573997
ES JNC,R341804
CH MUG,N240035153
BR LST,R368831
CA BGR,N1758764576
RU OYA,W319608997
BH TUB,N8717758949
US CVR,R3492137
US LND,R252270
FR SIZ,R900959
FR XRU,R2959848
BR BOK,R242756
BR AGK,R336775
PH ALC,N198521776
SE FSA,N1587055719
MX TXL,N268380974
GB TAW,R165856
US TXK,R6603683
FR BYT,R2801078
FR 3LO,R1550849
US YL8,R174413
IL RHN,N383405266
US S3U,N151605804
FR XDY,R972314
US 267,R8529631
US TKQ,R185000
KR NWN,R7621810
FR IIG,R538864
DE RLA,R179380
GN GAO,R2697025
PT PPH,N1702494744
RO GMZ,R14777301
VE AR2,R11022330
PA UTU,N5838420643
SE JRN,N39519623
BR POD,R298065
NO KAB,N220018283
US 9HR,N154392259
EG AST,W94168759
DE TTZ,R418358
BE HHU,R1295835
DK FAA,R2052179
PL MZR,R6249124
US CMM,R119364
DE SGN,R138730
PL KOI,R2831151
HR SUS,R10668160
CD BOA,R5327839
SE RFS,N367180138
DE SUN,R1250475
CA THU,R7596931
BE ZUL,R570088
FR IOY,R3347128
DE PFA,R396556
FR RCP,R152372
CA WAI,N52553603
IT CE8,R40532
CZ HBA,R439738
CN ZDO,R10712461
FR AOH,R298996
US ARY,R7154997
NE GLM,N473690798
IT ERO,R45212
RO SHA,N461612960
CA CSI,R8188526
DE ZOS,R176781
US JWM,R14988934
IT SS8,R40648
US XCL,N158298225
ID AYW,N1308644926
IN GON,N245756302
BR ADJ,R315095
AT DEU,R3778257
DE RTC,R935950
AR CHS,R5816495
ES ZEA,R346950
IT ZPX,N1286378455
DK BML,N2347415055
US AAE,W1194883460
SE KLX,N7470693276
BE DOL,R2792257
FR MYB,R940076
US MZP,N158558169
ES POR,R340243
FR YMM,R147550
RO RZC,R13140569
AR BVC,R3125258
DE NRX,R451714
MX CHH,N291498056
VE PLA,R8902757
US WC8,R169713
US MDL,R170647
DE RUH,R1244000
ES LBA,N269782377
CH VLE,R1685193
BR IES,R314879
CN DHU,R11480928
DE XFU,R4488839
FR XGS,R381185
CN HBU,N8305011531
PA CHN,R11327369
FR XS8,R2836033
NL VSN,R337639
US UPG,N158853219
FR XDV,R149032
FI VLI,R2502572
US O9C,N150946361
FR VPR,R18326
BE BSM,R3465465
IT ALG,R44252
PT LUS,N3967589085
CA YZM,R2857317
NL BRG,R1419531
US L4A,R127616
US ET2,N150932169
BR RDG,R302699
FR REJ,R388828
SE VDS,N270692767
FR GEU,R395848
FR WMS,R3004651
NO HOL,R10483727
NO TRE,N685223241
ZM CIP,N6378481619
DE LNM,R2007807
DE 8DB,R318746
US NNZ,R12184754
ZA THY,N4564369375
US GJU,R181488
NO AKU,N8073672181
SN LOU,R13067346
DK JOR,N9474331623
US SJG,R186669
IT COB,R41361
HU NKS,R1319913
PL WZL,R2828748
GB AYD,R11657632
US XMD,R195038
FR TSQ,R2690498
US RAM,R141077
FR B2U,R961137
HU PSU,R1418515
US JYB,N151364837
AU T6C,R2402724
US UH2,R8897019
BR YBM,R1828868
JP FND,N8495368924
CH SVN,R1683939
PT SPS,R5330331
US MK5,N158571550
GB AXN,R1431857
DE BYR,R1797917
DE KDR,R2856449
IT BUI,R43744
FR PJH,R302047
YE HOD,N1218147544
BR IJP,R362308
AT PRH,N2840430914
DE ZAU,R2778386
US WB8,R170910
DE LOF,R283719
US VOS,R180078
FR EXY,R113102
FR FRX,R153024
BG KZN,N273488837
FR YCL,R173130
FR AGE,R165297
TR IGN,R16009553
DE B42,R382441
GB MVW,R1875259
CZ KRM,R441312
US SQR,W413173162
BR RRX,R242686
CA SUH,R8199038
GB ADD,R7183072
US YDE,R6036766
IT VEZ,R43569
US LRB,R176770
BR DOL,R336837
MT NXR,R7510595
DE ZHU,R1946233
DE KLH,R393501
US HE2,R195111
SG QPG,W795946717
PL LBA,R2857079
DE RD2,R943199
BR KCH,R315093
ES LOC,R344573
US FQS,N151673032
FR 9SA,R1102330
FI JPA,R1617588
FR PDZ,R114350
GB UFY,N1965179788
DE WQD,R448308
CA YHN,N107364420
JP UNT,N8301637091
BR CBQ,R314793
LK WEL,N4688847654
FR DSV,R2962972
GB PTP,N27199757
FR MXL,R572571
FR IAI,R53800
RU IVO,R389790
FR UGY,R55565
LT UKE,R2413426
FR ELC,R75606
PT SBA,R5404223
FR DND,R904696
SI SK2,N4979095494
CN BLU,N2967410729
DE CWN,R394336
CN SHX,R10038642
FR C6I,R2531635
US DEB,R178958
CN CHH,R3028611
DE LSH,R450112
SE SL3,N256336116
BR YTU,R1842144
FR SUB,R161699
DE NOH,R1397831
CH WAS,R1683121
PA GBT,R9127075
GB EWL,R4870412
SA UDH,N8357686563
AT VTH,N9959277540
FR 335,R123372
BR IUP,R362293
BR LDA,R185657
ES TRL,N9124087028
US RIZ,R6584724
JP NAS,R4051409
FR SJF,R1996230
AU VUK,R2661217
AU NBA,R11677680
US RRU,R119794
DE KKZ,N276699396
US GWZ,N3277810791
US VJN,N141042925
IT SHA,R44835
DE 7AV,R1273352
US WPD,N150946719
DE OSX,R2108644
FR XTO,R2816505
MG WFI,R8001662
US ET9,R194979
FR TPE,R122896
FR L37,R167091
GB GHA,N1002369739
NO SKM,N9935351063
GB HWI,R3743080
US LHS,N154396811
US DTV,R197157
TR HEN,N168729889
CU SZJ,N4795895910
PH MLO,N894114195
GB JDV,N29543125
IT LC4,R42514
DE FER,N259534532
ID PBG,N9229936158
DE RU7,R1244226
SE SOO,R296292
FR VLP,R113130
JP OSG,R4013131
NL AMB,R1883596
NL ZAH,R149822
BR SBR,R2709127
CN HUY,R12773736
FR ISB,R2307282
JP OSA,R358696
GB HOT,R3870355
CA FRK,N2169902661
BR GMD,R303903
CH SBH,N1546861627
NO GVK,R412418
US PZN,R6571671
GB RES,R6809980
FR L5C,R381244
ES ELD,R347681
ES GLP,R345007
CZ TRB,R442133
RO VDP,R10698232
US R9V,R171266
BR ULS,R185627
QA ABS,N9666005169
US AB8,R169557
IT PIU,R44453
NL OPG,R1475611
FR BHE,R2984466
FI NRP,R2320684
FR C3A,R920040
US XNU,R194889
SK VJB,R2322642
BR SIU,R334430
GB DBK,R4800788
CA BER,R7710968
AU APP,R11689379
BR HAA,R242556
BR PWZ,R332785
CZ OCB,R441336
SI LVS,R1681544
US SQ5,N153475713
IT VTC,R45522
IT CA9,R40561
US ABI,R3488539
CN MIY,R2988899
GB LLH,R3589572
FR HHX,R77251
CZ NHY,R436744
IT DSN,R44543
DE B7F,N450647482
CA BHC,R11353012
BR VPI,R325869
US GPB,R8527309
DE EMM,R167945
NL MUN,R2645791
VE RIN,N4323655982
FR S3V,R1846890
MX JUP,N301248725
BR AGT,R298408
BE MOO,R1334536
GB CHG,R2503676
US RVQ,R127818
PL PKW,R2809411
NO FBL,N175408369
FR AOR,R108505
CA MTO,W111878797
DE SPB,R2778412
US CIR,R126071
CA ANT,R9215793
GR ANK,N286421517
US F9A,N158623283
US TQO,R180096
GB WOJ,R1433111
DK SNN,N26559040
JP TNO,R4051411
CA ABH,N558715727
SE OGR,N335670857
FR CHL,R135540
IT PT7,R40811
US PDG,N7301120282
US VDG,N158365707
FR CEA,R111016
IT ZLF,R42764
FR O3A,R2213559
DE ANF,R1392133
LT OND,R5540500
ET DIR,R13422225
ES LBT,N2517204732
VU VLI,N115622916
PT NES,R4112285
US BGA,R237329
US NPL,N153990768
BR CWW,R297694
US VEW,R2389802
TH SAT,N1756929312
DE 64E,N460390224
US ETH,N158611315
CA YWB,R8495564
US RWQ,R127326
AU MNH,R10625380
CA 6QC,R8120206
PL OXK,R2667223
DE LSZ,R913785
FR GOQ,R384818
FR BEW,R303256
RS PRI,R6371130
GB BAW,W988553592
IT NBO,R45964
FR LYM,R148032
AU BGB,R6069741
CN ULA,R2752977
AT SMM,R977353
JP HVM,R900251
DE LCI,R547959
GB RTW,N17776697
US P6N,R12181039
FR RCE,R86731
US YUC,R11117404
GB GTH,R3344963
DE LGM,R1421446
US ER2,R136727
CZ TOP,R437489
IT SIR,R39169
ES ZJV,N288260211
AU DGE,R6059167
AL KRC,R1252581
DE EIJ,R57786
GB BNN,R4633053
DE MYY,R957065
HR KUJ,N392314268
CA NMN,R8160417
IT AAT,N70982070
PA PMA,N9950115584
DE KPU,R1469215
US RSK,R125693
US R2C,W33124628
IE RAH,R5759346
IT CQA,N462356743
US ULH,N158247244
US BCV,R179005
US DVI,R126230
US WAJ,R7751594
DK AUB,N10736625742
US VD7,R2829688
ES VD2,R344886
IT M2R,N1799284199
NL HER,W262115744
IT FLS,R40623
CZ LDV,R427391
US KSV,N153692866
US DMG,R188890
US DL8,N150975452
US SH4,R963131
DE IIS,R1085797
ZA CRM,N262704736
FR EUW,R144891
US S4E,W33005154
US CU5,R182126
GB HAV,R127165
DE LIU,R959426
MM BOG,R5996579
BE WBE,R1325806
CH MNE,N240103487
CA PNO,N3176611915
ES PNY,R346793
IE KGL,R6864391
ZA DWK,R11347571
US IPD,R182095
FR VM4,R153183
CN LCH,R3485816
FR IIT,R721892
FR CBV,R109687
DE NBI,R2909219
BR MTZ,R1827270
US C4U,N157580863
GB NBH,R9532535
PG LOL,N1279970900
FR PGK,R161600
FR RRR,R157740
US CGG,N154396079
RS ALE,R8752182
CN LDI,R3070610
MX TMS,N472258864
US RCK,R8082796
BR GUU,R302489
US UO4,R178943
US SI4,R194096
US P22,R119726
DE BZF,R377561
NL WZE,R2714497
US RYY,R239874
FI IIS,R2522178
US 2PV,N151583231
SE OCK,R278632
DE KXI,R2801100
DE SIQ,R454193
RO CCV,R9714844
FR FGQ,R1171950
ES TJF,R347982
US FTU,R198953
LT LEN,R1529049
SK SKC,R2204234
BE WGH,N305240961
DE QBL,N34817641
FR XCB,R539149
ES LXE,R340564
MX JDZ,N458608677
AT ATS,R50637
US SDG,R187522
DE FGD,N358939318
IT DRS,R44821
HR PRS,R13590749
GB XMI,R8442973
FR FLZ,R97212
ZA NOO,R5436813
GB GTW,R6179905
FR QUV,R377000
NP JKR,R10426065
CA KNA,N283707361
FR RIC,R48081
FR L64,R168585
US PBG,R3705574
NL QCT,R192511
DE MPF,R959637
RU KRK,R1840220
BR TZA,R297669
NL HVE,R2679975
FR LNF,R339026
LT MLI,R3490914
FR NYF,R2956553
FR FOZ,R3276333
DE LOB,R2778482
US PDZ,R112606
FR BJJ,R2700359
GB DYL,R2921306
PT POC,R6430200
CZ BLT,R437560
YE BLH,N1217704352
NL OHI,R2730426
ES PVN,N31514811
CA OCL,R9245269
ES 25N,R339508
BR PGZ,R314676
GB FKL,N75227042
CH BBK,R1683624
AU RYE,R6218884
BR ICC,R315439
AU GBH,R2001289
FI MAS,R2381627
US KSL,R109941
US JAB,N150980534
FR PBV,R74493
DK LIT,W34960442
CA CR5,N2145985201
FR ZMB,R148153
US MQO,R128414
CA AUX,R7719058
DE 77V,R1242297
BR ROC,R2217379
CH KOZ,R1682518
US BSG,R129688
AU THM,R2406178
CZ KLU,R441535
US LCO,R122075
RU KKI,R181326
AT YBB,N95467937
US HOT,R111542
BR UII,R362369
DE RII,R453403
FR PMH,N2973172607
US 5FC,R124777
PL PES,R2904820
FR EQS,R56046
