US UDN,R131880
FR CVP,R77517
US MSA,W33613981
US MH5,R206842
FR AUC,R128184
BR IPU,R302590
MX PTA,N1661829661
DE HLW,R1419915
US ZJY,R187512
IT MOS,R41445
PL GKK,N692621795
ES EXR,R347845
ML KNZ,N1986253719
FR MIX,R109387
US KVE,R177326
TW TTA,R3506753
RO CNI,W45420831
DE BX8,R387412
US CM8,N151824687
SE FRS,N321438812
GT CBV,R4557541
ZA CNA,N60954378
AU TRT,R5998394
BR ERD,R315098
BE SSL,R414402
CA IVS,R9261363
NL ALE,R1449891
US FYC,N132706575
FR B72,R107878
ES STV,N1596821018
TM AGT,W229819738
US NAF,N141037539
CA DSO,N6693596198
CR LCS,N4103974096
US JAO,R110505
PL OXR,R2709067
CR TUC,R6282209
BR CNL,R242467
GS GRV,N5722989121
PR ANA,N5623323251
CA D8O,N2907341181
NL HPS,R1525639
FR C9L,R145677
FR USQ,R301755
US QAB,N158655717
GB KK6,N364921762
CN ZUY,N6207997372
BR BFA,R242452
FR CHB,R2078774
US HHP,N150948958
DE OAB,R16198826
DE BOG,R1252557
FR STW,R129494
US CLG,R112397
DE EEB,R448305
NO RAD,R406089
AU WDD,R2454199
FR S5A,R1013581
IT LL7,N1413010441
CA MNW,R7551203
SE RST,N335369622
GB ESB,R158856
RO MHE,R10697432
US TVE,R180320
US BW3,R238589
DE CWD,R2801101
BE LTI,N351475478
CL RCL,R544839
US HXW,R242799
NL MWU,R253420
DE HMS,R30008
UA ZUN,R3592556
US KXL,R6897567
US XBZ,R188612
US DLB,N151419596
CO AGY,R1342109
BA GOZ,R2528238
US XBO,R198913
BR ADI,R303749
US EKG,R112177
US ONR,R961142
CA SAN,R7716091
GB HYJ,R5846911
IT ZDN,R41114
NO EVJ,N330712725
ES MU7,R340465
AU BCI,R11676691
CA FST,N51971775
FR TLM,R1216468
BA KJC,N89089929
DE WB9,R387542
FR IDP,R2917876
BE SRY,N718943787
FR CUG,R79480
SI HKO,N1979463447
FR SBL,R1211145
US TSX,R251525
DE SCO,N367025880
US HD9,R182519
IN NDA,N313255437
ES BIR,R345272
US CYK,R129905
CA YTD,N1458259485
AU PER,R11689210
US QW2,N150953869
US WFE,R134894
RU KDK,R3525396
IT ROA,R45372
ID ZEG,N2401208878
US P8T,R119540
BE DCE,R2365412
US 3CS,R123149
FR FA2,R1602787
CH UKS,R1682220
US NMY,R132213
FR NOY,R197563
DE A56,N288924964
DE 6MN,R2793206
US EOG,R170487
JP NOS,R1769183
PL ZTO,R3047121
CA STN,R2021432
MX TCM,R7231315
FR MU4,R454796
US UHS,R9522308
CA MEG,N2108157830
BR AUU,R332873
DE EUP,R961102
FR MLD,R3048634
US WVD,W33073743
RU KXK,R3337257
SD WHF,W235089412
BR DPO,R242431
FR CTQ,R102268
AM KPN,R7745403
FR 2LY,R75637
US IHF,R176326
FR M4B,R418185
SK RST,R2274769
ES CPC,R342004
SE HYG,N2236207018
US 7ML,R3232437
US E2M,N158798868
CA COM,R9370397
IT SDE,R44900
FR PNF,N370829364
GT SPC,N4401753140
FR QAF,R1172435
NL HHW,R290131
US MJT,N158861727
OM MFH,N1719832250
IT POP,N313543844
TH SNT,N302295621
GB BST,R3577642
ZA ZCG,N60205098
GB WS9,W266690924
FR ZRU,R126553
GB CGT,N2290086954
FR UXL,R3240074
FI TEU,R2364122
PL WKP,R2713137
ES CON,R339505
BR KTV,R297856
BR PMN,R315339
BR AIE,R302601
ES ZIN,R1864658
US EEF,R136700
PH AQE,R3279595
US GTU,R186586
CZ VTW,R438301
FR PV4,R3225633
DE LUL,R1451551
DE WLN,R2012575
AU NWA,R5626770
BR JUL,R315044
DE FAC,R939345
NL VLT,R1433620
US EKA,R7931953
IT MFS,R40571
BR BSV,R296681
DE MUM,R380979
FR FVQ,R147393
FR C3L,R412160
US WQV,R7876410
US IVP,N150965811
US O3A,R6586800
MA SMD,R2529626
PT CDR,R3992954
UA LZH,N337589660
BR LGR,R301345
CL CON,R110722
FR LG7,R136598
DK SNE,N1067769859
US DCL,R121278
IT SF3,R41610
CH NTL,N31367561
US DAX,R196146
PL SSZ,R2834665
DE ELZ,R1168912
PL LZY,R2929589
IT GBR,R3276894
DE TRF,R2773430
NL LMP,R1576163
US EPD,R2220740
PH MEX,N198505314
FI VRT,R11157469
IT PMN,R46630
DO SIS,N252996038
US YWT,R128785
DE APL,R278581
BR OVO,R297725
ZA KNY,N1490089707
FR MNG,R160900
IT ALB,R45869
DE 58F,R423188
CL NAV,R1556894
DE 54H,R321153
IN HDR,N245625010
ES TJS,R1282521
PA G8L,R8488609
DK EK4,N10892818261
FR TUO,R79281
DE 64Y,R7832284
US PJC,N158823175
IT CSC,R42442
NL CDP,R2730420
US IS2,N153891122
BR RAW,R301224
BE TLK,R3082008
IN ETA,N245760261
CA HMI,N1144977263
US GYZ,N158535475
CZ C53,R431454
CO PCO,N1804500175
PT CHM,R5400569
AT MUD,N240130260
DE HHG,R422919
ES PPO,R348188
MX SGM,N5364485681
NZ GRT,R11282497
FR URV,R2998370
IT PET,R45436
BR CHZ,R314627
BR IUU,R302558
FR MZO,R1664321
CN KFG,N244080911
HR PRE,R7437727
AR LIM,N198397358
FR BTL,R80360
ES TAL,N2494273234
JP HYS,N8481654423
FR THG,R2066381
ES MCA,R345548
ZA KHT,N262720780
DE UFN,R420579
DE CRF,R8291577
GB CIE,N29621186
BR AEE,R2215535
GB PME,W114551578
BR CHT,R315181
LU RAC,N130103746
ES LKZ,R346173
SE RLO,R5525172
TR AHR,R1250956
IT PPB,R42518
RO MTE,R9695248
ES TMA,R342565
CA OOK,R12001724
BR DDA,R242536
US ROP,N158517555
MX AHM,N1737587101
US UMZ,R184269
SV MOS,R6487125
GB CNR,R7599067
PT NGV,R5268096
NL GAM,R2728578
GR AKO,N357860022
US OHE,R183403
MX JZA,N320858898
US HRI,R175455
FR 7FF,R153602
GH ODA,N1828539696
US AIP,N151369147
US BVV,R111515
ES NVM,R339560
CA ACV,R7932244
NG ABV,N31203257
DE BWU,R722090
CA AXM,N194569472
CN JAS,R4590587
ES AXZ,R347793
CA CQA,R7696246
CA SSF,N3716010150
AU HDC,R11693488
US MRE,R182159
IT ZEE,R44146
CN QJI,N3351808776
CA WAS,R6601313
CZ CHO,R439246
FR GLL,R1231407
US GBU,R9194733
JP OBO,R4076567
FR AZN,R1016200
US PID,W33031204
FR CZ5,R74571
CA COL,R7477076
NL WRA,R1515897
US OF2,R2045559
US EMK,W32976160
US CRK,R130859
DE LZN,R1016398
DE AAJ,R1246578
HU KZM,R1130326
FR LCU,R1629230
US L7D,R140991
ID TMY,N5971681086
ZW SGW,N301430334
IT PEV,R42974
FR B4T,R2689691
US YS7,R182899
DE BGE,R1437544
SE LGN,N260278918
US AEH,R130568
JP SKD,R909077
FR AXE,R150065
RO MUS,N422869879
IE BLA,R2223216
BE PST,N36886160
AU SPL,R9043593
DE KSG,R161795
US QEN,R179968
ES XSM,N1456925973
FR D24,R3225871
US GML,N158819705
FR DMR,R175207
FR AH3,R77055
FR XOO,R279231
ES OGY,R341308
US RCU,R6411728
BY SHO,R6722606
CA HMN,R7997275
ZA MLD,R2034995
CA SCF,N9027251297
US MC9,N153807696
US NBI,R136625
DE KOD,R1311140
BE GED,R2245275
ID 5PN,N9820106104
FR 4AH,R389214
BR TQA,R298056
NL WHZ,R1424905
SK MAL,R2207332
DE IGM,R405307
DE EXB,R2389086
US MTO,R126830
BR CWE,R333654
US UVA,R8494503
CZ CHB,R439454
FR MXO,R104339
DE EAS,R958117
IT OIR,R40126
AU GUH,R6389934
TZ MKM,N1484695822
FR L2B,R2693093
CA ISD,R8110657
BR PXA,R333689
MT ZBR,W366645396
FR LL8,R89471
SE EKT,R935569
HU PZS,R1025116
ES RVA,R344204
US XFK,R183369
US BY6,R6587459
FR LSJ,R571100
PT SJL,N4366097119
PG SXW,N8753211984
FR CBL,R2598364
US RCI,R180213
US 9FM,R4843688
FR SRW,R1952660
HU BOR,R1415540
GB NYB,R6840518
US 6BT,R126625
NG ILR,N27565089
IT VSI,R43799
US ZBT,R176787
US ZLF,N158358732
BR IMN,R315139
BR BSB,N34567423
DE 65V,R310407
DE HHQ,N183661170
NL LAB,R2725427
US DVJ,R170553
DE 84A,R1250428
IT LEG,R7106535
JP AOG,R5305021
DE ZGQ,R1311139
FR IMV,R148225
FR BCW,R3354222
LB MKA,R9101445
ES ZJG,R342094
BR SVA,R242359
IL HAS,N278474018
PL KUB,R6833132
FR CBU,R163987
US ZZZ,R141312
GR AGY,R2576141
BG VCA,R13477476
US BDZ,R133394
BE DSE,R1265121
FR YLI,N3978570938
AU MSF,N3802076636
FR 4AU,R1746772
FR ABE,R937365
FR MGV,R74037
US GYQ,R251338
BR CIM,R315430
NZ OTT,N1800173970
US NYE,R13566649
BR ADO,R315185
ES CEE,R342273
DE 78I,R659844
FR OYG,R956610
NO SVV,R12525864
SE GNO,R935543
FR ZZY,R3266644
PE LAM,R1944745
US OX3,R3166230
DE 248,R1244224
LK PAN,N6631189612
DE GQH,R2910698
US QMA,R188588
US UJK,R188355
IT AAV,R44888
AT KOB,R75182
IT SOZ,R45730
FR UOC,R89770
DE EBA,R1959405
CA ZPY,N6450982923
CA MCN,R14759048
IN JLR,R3832427
PL QKD,R2984674
AU TGO,R6079579
CZ TCV,R440899
BR JAP,R302672
JP SKC,R4716820
US PKW,N150941373
FR VZS,R153929
FR ZZS,R1155339
FR NUG,R2146382
RU SRV,W26300994
CH VSO,N240085078
BR AMY,R298091
FR VFG,R2953118
US 7CO,N153709128
PL HBZ,R2690109
FR PF9,R122845
GB OOK,R3742995
CN HGQ,R12302925
CA SJV,N1852740807
US GBR,R1839550
JP KJD,N8320082247
BE QAR,N61967760
FR GUZ,R163818
RU UUS,R2048160
GB SGT,R7903065
US 3GA,R119838
US BRZ,R191224
US BVG,R128934
US ETP,R134998
AU MBE,R7378301
GB COQ,R11271246
US LPY,N158462990
ES OAC,R345809
FR RHM,R69050
IR KIH,W611809909
US HEI,R182298
US ZIP,N158898130
FR END,R5827783
FR SN8,R146301
AU LTT,R11677769
VE LGY,N5300701088
US FWA,R127309
FR ZYQ,R965568
US LZH,R140727
DE UCN,R418339
HR KNA,N1575626361
SI SV8,N3154805337
DE GE5,R2772184
DK SLS,N35513525
DE LOS,R2179147
CH YLB,R1868691
US WBK,R130889
JP ONZ,R900327
IL HAZ,R15260061
AU MV2,R7276467
AU HTH,R2463115
FR FMN,R106467
BR MOP,R302655
IT NVL,R45215
SE NCS,N432824867
SI BSI,N59771686
US S3A,N158606837
CZ VIC,R440552
DE SND,R941091
IN GUL,N2410307585
BR BDA,R332942
FR DBS,R1328812
PL LOW,R2644390
AU BFD,R5998393
DE MCE,R6843348
AT KLU,R105870
US OK8,R198960
US LHL,R111167
US LGO,W33117772
DE BDL,R1079025
FR VUM,R111123
FR DID,R140131
FR LGX,R3066415
DE GYR,R536589
FR F47,R74432
US GDX,R119528
IT SP6,R39898
US XAA,R197409
FR TVR,R3318238
ES LTE,R347790
BR RVA,R242508
DE SFT,R1314216
MX GSC,N333154585
AR SFN,R3498629
GR LRS,R5321392
GB SDP,R3518694
LU PRH,R1342841
GB HHM,N159689712
FR RN3,R1928266
RU OHO,W163924366
GB SRN,N10006533
ES BYO,R343842
SK PDC,R2276220
AU RRO,R6539909
US BUV,R133484
IN NGA,N245747060
BE SPK,R4109915
FR RYB,R130580
FR HAL,R59877
RO OSE,R10748530
DE 5US,R452578
JP IRO,R4551631
FR DJN,R3203697
AU LRE,R11676694
BR BRY,R297786
GW CAC,N2293469593
SK RDN,R2381117
AT HIG,N240056265
MY TEI,N254073451
CZ DUC,R439349
FR FAQ,R74806
IT VBA,R43501
FR FAU,R53428
US ODM,R6587491
PK NHS,N271909279
US RMO,R135047
ES NVH,R344008
US 587,R6571652
US JFS,R251617
NL BKE,R47368
US HXD,R130643
SI PRA,N442020970
CL LLO,N4527257938
BR CEM,R2212559
GB WIW,R1433123
PA BAG,R8667946
PL KNR,R2815380
ML BLA,N2130931872
AU W2V,R5644641
BD RJH,N372612223
SE GPB,N258597119
IT MID,R43755
GB XPW,N29346458
GH KMU,N2643534098
DE ATG,R1249748
AU BNW,R2589210
GB AHP,R3968726
SK SEB,R2187784
FR ITH,R415576
BR SAI,R315250
GL JSU,N1917462069
CZ KDR,R441863
US HB2,R110693
FR UP8,R107367
IT AVO,R39168
FR FEA,R157740
PA SJO,N9950115582
DE NDB,R395435
US LLX,R199096
SK NOY,R2145260
NO SKB,N181883716
BR NEC,R297647
AT SST,R90629
IT OHN,N64778591
NP BIR,R10433476
BR VRG,R296683
US SLN,R129645
US EXM,R175737
PL DMW,R3587552
CH CPA,R1684883
GB HBK,N30691913
EC MIL,R2648134
GB TPI,N250256262
US RR8,W1038764159
CH ORP,R1682601
BE SLS,N668879847
HU LKK,R1130336
GB NPA,N558616223
CZ DBY,R438168
US LLD,R13578513
US FUZ,R169659
US ORS,N158858976
MX CVM,N292479580
FR EAT,R122680
US UTL,N151925625
ES CTN,R342003
PT ABG,N1933544852
CN MCH,R5664241
BR GSI,R302584
FR C5X,R417910
US ZOH,R188484
CU MLG,N2039505472
LT VKV,R2013017
AT HAB,R89526
IT VNL,R44602
IT ZRE,R44668
FR V88,R150963
HR GRA,R8843446
FR FAR,R1379490
ES SDO,R343466
MX NPC,N448081744
FR GIZ,R103886
ZM ZGM,N900241147
FR STJ,R150949
US KMZ,R134760
US CEF,R1181609
NO HHA,N9982809363
FR HMR,R147977
FR 9VQ,R120091
US R2O,R126174
NL EWO,R2645683
FR OOF,R1389018
BR MTH,R301456
FR QSN,R2145514
HU MTY,R1025046
US FIE,R206775
AU T3Y,R3014338
DE CRS,R1444884
IT LND,R45152
LV SEJ,N817793644
FR GOA,R181145
TR RAI,R9381765
FR 3UM,R106040
DE PPH,R1176594
US XTX,R6584694
GR APV,N1827636446
IT RGL,R43723
BR DME,R301412
IT ZHD,R40851
US 6RA,N154081417
FR LRJ,R55201
CZ DKV,R438941
US MYT,R1216765
US GPJ,R194169
LI MAU,R1155951
NO TVT,N5613214146
MA SIK,R2813778
DE 69M,R548621
ES SEJ,W206348071
GB MEL,R1633944
AU BWA,R6074485
TR ARD,R1651536
GB CL7,R3335535
AT MLB,R103947
GB NYL,N29170199
FR LPT,R86985
IT OAB,N1438434783
GB XLS,N2526647614
US IDV,R182342
FR MLH,R38246
US NMV,N158591628
DE RNE,R1846192
PT ALJ,R4204550
FR CQT,R152430
US A9T,R194915
BR TNN,R362282
ES CCN,R342270
IN BSR,N1995459187
MZ BEL,N5509174683
AU MXU,R11689847
GB HOH,R114662
IT BST,R43837
JP IKR,N8579152569
DE KDO,R957067
FR P9E,R912009
US TZ4,R133723
US G6R,R126257
BR OCO,R242579
DE SWM,W463223555
GB SDT,R3653052
NZ TWZ,N173837843
US AUE,R132522
DE TPN,R1021699
TD BNB,N322045430
US PGX,R137811
US APO,W33166024
DE UTD,R2515188
HR KKC,N2251237544
GB UNY,R1414767
BR LLL,R296536
DE UEU,R452204
BR FEM,R315055
US RC8,R124850
CZ DRH,R438643
AU RGY,R11690425
CZ MDL,R439329
US XGI,N150946355
FR PCT,R146321
CL CAR,R1742431
FR OAC,R1270492
US HSN,R128482
BR SAW,R301093
US P3S,R13653988
FR LNS,R107969
GR GFD,N360320329
FR JAZ,R1279502
DE BQ7,R449928
US AFU,R119938
IT ODR,R179150
US XIK,R114478
ZM KWB,N3116162660
FR IKZ,R78631
GB KPT,N55441869
DE OEI,R156051
GB MRK,N26770101
VE EOZ,R2704655
IT CRY,R44977
