FR ZLT,R935992
US INT,R180101
DE HOR,R2982878
DE WXW,R2400553
DE BRC,R535935
CH UNB,N1625432214
BR LNI,R297504
AU TMW,R6365595
FR BOR,R75618
BR OUO,R296732
FR L5X,R531906
ES ELS,N1617924561
GB RUG,R173773
FR CXQ,R276439
CO ECO,R1335191
BR BPM,R315036
LV AKI,R6881375
DE RGD,R1444907
SK JSK,R2274721
CA XGY,R2712311
US F3T,R117179
FR BZZ,R935035
FR JLA,R300991
US OCX,R6296873
FR U7J,R106507
US WRG,W32973498
CN HYN,R3478413
US HYX,N158586612
BR TAB,R303643
DE ZCZ,R959808
GB ECO,R3298705
SK LVM,R2206959
CH CSD,R1683290
US FM8,R8540509
ES PZM,N1243200470
MX PER,N2941160048
FR ZDI,R934918
CA SCR,N52562610
JP HMI,R6946323
US GEY,R252289
CA GFT,N1128905178
PG KYX,N8592778941
FR XGV,R156357
GB SHJ,R1840662
FR M58,R161866
DE RMD,R534532
BR SCC,R296612
IT V5F,R3411734
IT SZM,R42779
GB DWA,R11026269
US JLZ,R181470
FR 9PO,R111853
GB CD3,N54903917
BR FRA,R315283
DE EEF,N68769629
FI LOV,R2473051
FR LV7,R536169
DE GMU,R935953
CA VBR,R8390995
US BKU,R182120
MX CYA,R5605709
CA TWA,R2236722
FR 26C,R71593
IT ZFO,N1423064731
GT SJP,N8258509481
ES MPA,N3702928482
FR GHE,R184007
DE ADG,R1363679
US V4V,W38510919
US WKT,R179035
US RPI,R9215797
BR BHO,R314762
SE HEJ,R935533
BR GIO,R297993
JP TUB,R4115719
BE LER,N746914256
BE KES,R3530731
CA CHO,R8797542
DE WWZ,R2407506
ES TFB,R344617
FR OUX,R1125981
US TLM,R186500
ES TYM,R345213
AU KTT,R9099554
US TQQ,R140503
ES LSC,N1235819433
IT ARQ,R43457
FR GZA,R154504
TD KEL,N290953200
FR SMP,R2696339
GB CFG,R4480739
BE KBB,R3962632
BR ENP,R297976
US ENH,N158906979
US KCV,R131889
BR VEE,R303679
CZ HVE,R442224
BR IAB,R298448
US RTH,N150969211
GB WLT,R3412214
TH PNA,R10839539
AU WIH,R6063893
BE RHA,R2241304
RU TIG,R4176362
ES ELE,R347888
JP KSN,R4126696
US QET,R175792
CA BRC,R10382149
SS BOR,N237257414
FR UEA,R3109101
AR QUI,R2067960
SK CEN,R2206736
AT ANI,N240128138
BR COH,R303676
GB SAX,N268832338
IS MOS,R2580604
VE EOR,R14399850
RS NPA,N599719132
FR LR6,R156356
FR JLM,R120953
CA EMB,N488152517
DE HB2,R161702
US BHJ,R130513
BR WIT,R296570
SE TEG,N308050087
AT GLO,R111513
US WOI,R119835
CH SAB,R1685530
CN BQI,N244076615
US LUD,N150954040
US O2T,R127550
ES ZDS,R346965
IT AFE,R43737
GB PW5,N268227410
IT VCO,N1944721634
MX ALO,R5365364
AU DMO,R11692741
ES MAZ,R344835
DE 4HZ,R452196
CH 3JK,R1685267
IT NMT,N3073013786
HU KZT,R1319859
BR JCC,R362900
NO SKD,N271222922
FR D5M,R157935
US SAY,R186622
LS MPS,N3348032966
IN HAL,N733558709
CN ERC,R2753021
UA ORD,R2980497
US DG3,R141425
BO SNG,R4511303
DE MDB,R157387
PA EGB,N6319422067
RO RAU,R10495792
DE 74T,R1184618
IN MAB,N493538970
BR SRM,R296642
PA GYL,R8839824
US HBD,N158625229
AT WUL,R109113
JP MTM,R4088039
US A4P,R194908
IT GRD,R179148
SI VLG,N1278004075
IT CGU,R43300
DE BWK,R2779025
US N9T,R175728
US NHI,R188514
US ZA8,R13555877
GB MTS,R5550764
CD KNM,R11925117
GB GSF,R3298348
FR SFL,R2414766
BE OGY,R11178110
FR PRH,R150536
FR SVY,R1170019
NL MGW,R2078293
SK BAA,R2208779
IT XMA,R3276895
IE DOW,R4198308
DE 5BL,R1266506
ES VSG,R347343
FR COA,R135795
EG ADA,N29593397
AU BRO,R9096050
US MXN,R196143
FR GVI,R172594
US GRW,R175892
CH BUU,R1684511
US FBW,R12029814
PT AVI,R5991740
BE SZI,N2851672126
PT CST,N4015684780
US OLO,R251418
AU BYF,R11689418
US YCW,R206639
US QGI,R195079
CH SFE,R1685362
ES TNO,R12654429
BR IGS,R336832
DE 8B5,R448764
FR ABJ,N6341187966
AU WNH,R10581627
IT OLO,R45386
FR LRK,N823278028
US 7IL,R3157114
CU MJG,R5884869
US ZLA,R181663
NL OEL,R1414154
PT RHS,N24956856
NL BXE,R2181951
IL AFU,R1380226
UA ZKC,R2692156
HU VEL,R1418512
NO HAZ,N6219460048
DE B38,R2387422
US OQC,R109887
US ZPB,R1217233
DE KSA,R1116484
PL JCK,R6863131
ES MRD,R343243
DE XBU,R1077539
FR 2MB,R400274
CZ OBT,R437593
GB HSG,R1410721
DE A69,R1182471
US ZGK,R2385414
CN SGI,N244081657
US YEW,R5964432
MX ZPC,N1926943468
DE SSB,R959657
IT QCL,R43380
GR DOL,N352864874
US PTD,R13853480
GB CSW,N4512270074
DE EKE,N311509641
FI EJO,R2506773
DE KKG,N318341139
US MNZ,R206870
US 6CM,R12208118
EG AIS,N1102251679
DE COF,R157769
DE TWT,R198579
GB HRH,N769857701
DE NWX,R536013
CL SRO,R1622253
FR LM9,R116543
DE SB4,N275676026
IT DUG,R41115
IE BRE,R6641345
FR NDZ,R324970
DO HMR,N5937852460
US EMA,W32980577
IN CHW,N245764716
US XFR,R6411727
FR BNG,R178352
NL MAB,R1450371
DE 36B,R3643824
FR MUQ,R110588
IT VER,R44694
US 7RD,R2030459
DE ERC,N150987683
BR AET,R314616
US DA3,R191196
FR LVF,R28728
RO BAS,R13137429
DE 63O,R443705
FR SX7,R114377
CA RIM,R8138193
SE SSI,N2235762188
CL PRO,R162983
GB STJ,R3529270
DE WEE,R1255862
BR NMX,R334532
FR NMM,R92693
EC CHA,N249420964
PL M5A,R3473580
GB PEY,N582793911
FR TOU,R113079
IT BS5,R46211
DE ZJX,N2476459758
CH EDG,R3411173
DE LGH,R162550
NL BRM,R416858
DK ABT,R2190242
GB RTA,R1022640
CA KER,N1741843393
CA YPC,R9495771
FR 2LZ,R140028
DE 55H,R1469079
IT PZF,R43636
SV USU,N461959353
BE VOE,R404525
US MB6,R175562
DE 7AM,R414485
GB CEE,N2677235781
FR UCQ,R1017414
US CK9,R6571619
US FGE,R141501
ES NLE,R344158
GB GSL,N312196351
PL PLC,R2176627
MX APX,N6887572767
ES A8H,R348875
US FWD,R2777725
RU APS,R4275412
CR DOM,N5218305741
CZ VCE,R438174
DE 2BY,R442927
ZA ADO,N262721685
US VWA,N154365551
ZA ZFB,N262718064
DE ILG,R11001477
PL KAA,R3417376
FR VEX,R157305
GB NUN,R7154442
RO C5M,R10520386
PL UAW,R2628191
US 8GU,R12198833
BR PRP,R303943
PL NWB,N2168661438
GB EEN,R6190347
US DMS,R111265
US SR6,R8281657
IL GSM,N278475110
GB URL,R5340122
US FCO,R13555855
US BVZ,R7158986
DE MUF,R941004
GE MAR,W33728338
PY COO,N313903710
DE MGL,R62410
DE SM3,R1174401
ZA HLW,N262707033
BG SLS,R13431110
US UCN,R169376
US UTI,R183441
US W5H,R128337
SE STG,N365748129
FR OYA,R1954942
GB CHF,N311747096
US NCI,N151350283
CH MUH,R1684368
US BEU,R130843
HU MKS,R1026214
CZ CVR,R441081
IT ZRB,R39365
UY SAO,R2541726
FR 66F,R107847
US MII,R127605
US AQK,N141045102
GB WOL,N33382361
IQ RMD,N6234411890
IT SDO,R46853
FR SVK,R135988
DE HLX,N33344648
FR M2T,R124042
VN HAG,R7098009
GB CSS,R3293022
ES ZLL,N394741615
DE MDM,R1451604
FR RMG,R144972
MX TXO,N5357623246
SK BRO,R2193433
RS VRS,R1639503
ER ASM,N5621920820
TM HAL,W338751788
PA CHX,R9126983
LY HUQ,N1170597942
CA SAB,R197580
US FW8,R135079
US PCT,R961744
DE FAW,R1249972
NO DUS,R8433981
FR S4H,R918216
BR MLM,R326262
CH ALE,R1685569
FR TRR,R396927
US FAT,R112443
CA WRR,N368347181
PL KZ4,R2891558
US PRW,R9179254
FR LS8,R165307
GB VER,R5609241
BG SLV,R12629405
DE OTB,R958671
US LGV,N7186620433
CA SHU,N568463704
GN FAA,N1717489366
SE KGT,N529509547
US JOU,R128723
RU NPK,W177153661
DE SFA,R2406472
FR HVE,R135796
GB SKR,N613105106
IT ZXO,N69301007
FR U76,R3006802
US BHM,R111031
DE JHL,R443593
US P7M,R189160
US OCZ,R3650650
PT LOV,R4194887
US ZOI,R187258
RU LEO,W673903215
IT B8D,N62517278
JP GON,N4405165130
JP NAX,R4759891
ZA CAR,N60656192
IT ZNN,R41261
AU EVL,R11677432
ID CIN,N1308694050
FR GXB,R365374
BR GOD,R242586
ES MQN,R345154
FR ETV,R934904
CH CDL,R1685591
DE NRC,R453003
GB EHA,N556657035
US LGK,R140943
FI KOR,R10799490
IT ZIK,N4823479136
FR VP4,R544346
GB PEO,N9060172053
US JSU,R129222
JP CHB,R2679956
GB CRD,R8438077
IE SRO,R6982016
CN JNA,R3486449
AT SOL,R1016888
IT FUO,N3693180411
US CKX,W33042333
US SJW,N153962400
CZ DRS,R441424
US ZCQ,R8062259
US UUL,R169649
FR ISR,R190828
IN CHG,W1007335236
FR JDD,R2990932
FR XES,R93270
HR STM,R15765316
DE BBR,R443526
HU MKO,R1025047
US 7FF,R8889972
US VPS,R1216867
FR FVD,R369321
BE COH,N725277611
GB SF5,R957590
GR KAV,N282705783
DE ZEM,R1270652
AU GTY,R5712639
US SMP,N158560011
CA BHI,N957352129
US CKD,R9143346
FR HTL,R1629948
US MQK,R5701307
ES LGP,R341083
US S9A,R3669585
IT DNA,R45481
FR GRN,R148968
HU KLK,R1025060
US HVQ,R2395696
NL WIK,R334749
AU KNT,R5573613
IT ITI,N297661360
US MXA,R6698725
SZ MAT,N4415037936
AR CAT,N198442786
US DWP,R127809
CL CUN,R1735940
US B5A,N150959340
AU BSA,R5663426
GB NKW,R6674766
BR LAL,R296592
FR XDC,N349915220
CA BPL,R11960502
US NL7,N150975441
CO PUC,R11380495
BR TLO,R314608
NZ SEA,N2280254196
US DGY,R251341
ES ZAH,R344728
GB MBU,R3408063
RO MAV,N462255287
DE GZR,R1433096
CZ PLY,R439310
AT WDU,R34904
US DPV,N158612232
EC BYO,R2651069
FR GAT,R367142
PL PGK,N31531030
CA SCS,R7903251
FR 7JT,R116643
US SIR,R179801
US QGO,R182237
AT IST,R75174
ES LEX,R346338
ES FGN,R341688
CA NSL,R9265514
CA DON,R7696239
CA YEL,R7589586
FR QHC,R154472
US NE5,R169508
FR 7ZC,R963197
CA SIE,R8180285
CA LPE,R7785149
NL FLE,R1460173
MX TCN,N448088952
CZ NPV,R437699
IE KLN,R9517614
IN VSG,N2321173279
AT ATZ,R108623
US JAU,R198737
MX ZMJ,N1922033560
CH TTR,N2431526520
JP MKA,N8447958243
BR CSW,R242444
CA EG5,R7480373
DE WQH,R7427778
FR L6G,R140803
AT NEH,R9583076
DE PLR,R335488
FR LB9,R123714
BR QMO,R302542
IT CRX,R2202595
US ACG,R3164357
US AAW,N158812619
US KBS,N154335289
FR AOQ,R2436076
NL NWP,R2712109
DE EWI,R152294
US KIT,R129215
FR BRX,R135643
HU MNM,R1491446
ES LEL,R348412
ES QKU,R341933
AU A5T,R2424057
IT CFA,N61753406
FR S34,R276546
AU KGR,N1295002654
BR DID,R298242
IT LUA,R45333
FR GR9,R390555
ES BUD,R348868
AU WAM,R6026866
US PIO,R135156
BR CLB,R298213
FR TA3,R2845534
FR GHV,R113639
PT BUC,R6521222
DE EDD,N1601005473
DE AHO,N104431013
CO PBL,R1423507
DE ZHL,R2012930
BR KSO,R297780
FR SIT,R121899
SK KSY,R2320259
SI VDC,N3112800946
US EEK,W32974991
DE HSF,R1022768
IL KTD,N275232533
FR NEV,R134947
FR WIS,R92656
FR ZII,N1069748414
US JWQ,R182337
CA SPQ,R8228425
US LWY,R111549
ZM KAO,N331417407
DE HM8,R1249736
HR BOR,N364493399
IT DUV,R45490
NL IJH,R2696051
BR PJB,R314749
GR DOM,N144785963
GB DNR,R3478675
DE AFI,N31382967
BR PDI,R298283
DE KZS,R2404547
PL GLO,R5680232
FR SWP,R2183105
US SHC,R129621
FR YLM,R2435812
US ZBC,N158398044
NL NNN,R192879
FR ZZM,R116143
FR PM9,R73677
KE KIT,N44933078
KW SMY,W431866328
AU PKE,R5814412
DE BC9,R1270319
FR UPR,R121735
HN HAC,N3967107557
US FCE,N153432875
US MMD,R10087301
PL JKS,R6418650
FR A5O,R2997926
NL LRD,R301887
US UPF,R961388
CL SJQ,R168055
AU HOY,R6218957
FR MHO,R422164
US DSI,R118887
GB ATF,N448035974
GB ANE,N29629822
US NUB,R251786
CR LGR,R5688126
DE MOM,R908345
PH BNA,R15611316
US FQM,R178996
CN WHE,N8093023662
CZ PSK,R437521
PH AGO,R10831074
US OC4,R182539
US ZIJ,N158281863
FR ZIS,R124272
US ZRA,R189108
US 8DA,R1216821
PL TZE,R6896473
US FBM,N153876084
NO VEI,N441345216
LV RAG,R13436193
CH VRM,R1684454
CZ REC,R442252
IL HDD,N278476970
PL BWI,N4684995058
MY TUB,N7483557463
DE GUS,N247124445
BR OVD,R297910
EE KOI,R354900
TR BBD,R1606200
SE SJV,R5830098
DE EUC,R3890594
FI NOU,R2379144
NZ NPE,R2731991
ZA EMG,N262720064
FR S2I,R146745
SV ZAC,R8434190
FR GSK,R3231415
FR POM,R2597396
MN ZUU,N459470390
FR WOH,R69645
US UJS,R192097
GB OXO,R158265
US GL6,N158525244
GB UPI,R3449594
TZ MPA,N255589318
US RWK,R131582
US B8V,R182076
GB HBG,N31248812
FR VSI,R104754
DK RUG,N31059004
CA MSA,N3358627995
FR VEJ,R3187808
