US AQE,N153808899
CG EWO,N3300965105
FR QGT,R3014730
FR SHI,R170050
NO SMM,N87303510
FR LRD,R1250016
FR RQS,R161437
AT ACH,N240034822
GB TSL,R947882
AT SKK,R67003
FR QAL,R88519
GB UCK,R2835677
NO HEI,R7555528
US VBO,R12208156
US HHV,N158310371
US CGS,R133393
FR CJA,R126435
US A5A,R3075869
SI SAV,N447553874
DE GME,R943559
FR N6M,N7746623253
GB MUK,R4188094
DE EIN,R2409291
ES SRZ,R342525
DE ANE,R13733247
IT QGT,R43824
IT SZN,R45097
FR ULA,R94436
BR AFA,R362256
BY BAR,R1749244
NL ZGE,R377527
DE ATL,N418747275
FR PMM,R158270
US EGE,R194733
CR CAL,R5721050
PG UVO,N7924124344
FR MOQ,R109768
ES JJ3,R344421
US M7Y,R198866
BR SPS,R185586
FR T6C,R153121
IT VTR,R44461
AU THS,R6070204
FR 9CH,R104170
ID LIM,R14736404
CZ BAB,R442604
DK GUD,N1297750067
CN HNG,R9281728
NL BNU,R2181952
IT LLZ,R40337
FR ZGB,R55315
FR MQY,R1140184
DE MKT,R282304
DE RBA,R532375
DE MLU,R1130289
SE LAL,N2236313281
IT ZQI,R44014
FR EHG,R76729
CA PCT,R2221797
BR LAP,R297479
DE OED,R416474
DE 53O,R1475323
DE CSW,R934599
GB BNX,R957594
US PAT,R170726
FR YET,R107668
NL NWG,R419212
US DU8,N153525896
CA MCT,N361270524
DK MUP,N9350148163
LV MZC,R13048880
US SJF,N153868324
ES ULO,N349248360
MM PRU,R5996810
US YFD,R195106
FR VPZ,R953247
FR YGV,R568575
US 6NJ,R962878
BR CDV,R298080
US AXC,R175818
CN ECG,R4570743
FR UEX,R109273
US TMT,R7815285
GB MOV,R3445820
CH GML,R6561935
SE KOS,N452584843
ES SVC,R346445
FR UVG,R3357613
ET MKS,N2455981595
DE TWB,R13698497
AR ESP,R6054732
FR M2L,R146054
AR LBL,R7321043
DE SAR,R62659
CN TME,N244082015
US 3BR,N141034140
CA PLI,R7699993
US DHV,R134467
SE LPI,R935467
US VE8,R237886
RU BGK,R1573370
DE ZAK,R934749
FR LBN,R75977
BR PPR,R314835
US DXN,R127082
MY BTW,N5746480592
DE DEH,R1245828
CN CGW,N7887531488
OM SLL,N226878498
DK SUE,N6932771888
US JDL,R137646
FR ODE,R1125925
DE OFD,R405256
DE CHZ,R137982
DE WRB,R1253792
CA FLR,R9122893
PL WAZ,R2887592
AO BDT,N8993609623
US ZPP,N157587186
IT VOR,R45828
DE B4S,R1241635
DE 9AB,R1253873
GB PNY,R7601827
GB NCB,R2902606
FR APZ,R2740085
FR HAO,R941542
CZ OVY,R436184
FR ILV,R147107
NL IKL,R414748
IT BIN,R42902
IT SDD,N564742355
US NNX,R13704783
ES T4W,R347919
ES RAI,N2917872914
CD WAT,N435489521
DE TRU,R419144
FR JBB,R107499
FR T2P,R397162
NL WIJ,R533782
ES ZGA,R347728
DE 55L,R1467718
UA IHA,R12304462
DE ZCN,R1251062
DK LOG,N9212084823
US NRK,R115294
US ZHV,R2027183
BR UMM,R302461
IT TRA,R45623
US DVG,R12658007
FR EPG,R2593489
US OAS,N158632530
GB SPO,W478731644
LV DOB,R1858166
CO SRV,W176261117
FR TA2,R134238
DE SFG,R225486
ZM KNH,R14330071
US FKY,R130854
CZ NVL,R438433
DE KCH,R310541
AT BDS,R189601
FR D9J,R1531753
MX HJP,N458608695
US SVM,R140844
NL HTK,R2712186
FI KNT,R13329663
BR CPE,R242377
FR ZLS,R1106286
DE 89B,R2395859
BE MLO,R1263864
NO OKS,R408483
IT CRV,R39779
FR UR8,R181268
US HQO,R238742
AU LEN,R2645722
US SH5,R132565
IT RMI,R42791
PA MDB,N5732568762
FR NUL,R1810265
PG IUS,N7114601025
SE LJJ,N247954257
US TR7,R6571691
NO HRV,N5538715581
GB WTU,R3573136
US WIF,R110687
FR AA9,R2277637
RU TEM,W128299346
GB YRM,R8077575
ES PNL,R343063
BE HNS,R2170571
US BDQ,R141414
US RM8,R251580
FR CDZ,R149252
DE GCA,R415999
BR PML,R298537
FR XVV,R1993581
DE 62F,R442915
GR TSO,R2346655
US TV8,R197227
JP AWS,N4506256367
ES VSE,R12578238
GB RTO,R3177575
DE UAN,N287321746
DE WVD,R1079017
NO RVK,N274068416
IT MBG,R46874
BE MUS,N61966134
ES LC4,R342926
FR ENX,R148518
US HVN,R270191
AD ESC,R2804756
BR BNW,R296538
FR HOG,R69273
IN NDG,R13037516
US RTU,R130256
PA SFX,R8434064
US ICQ,R176995
GB EHM,N8332273504
RU IRB,R10157769
FR OTR,R112863
IT PSM,N2035925865
DE BBF,R535124
CR ESP,N365551769
JP TKT,R4567446
GB KRR,N5294830251
DK SKE,N1680701834
FR TEM,R1029505
CH SAL,R1684554
DE BNU,R532369
US APK,R134578
FR AH2,R161529
CO MGN,R1326231
PL WCW,R2851574
GL JEG,N443848765
DE MBN,R358098
US 6OC,N158811521
AT BGW,R110321
DK HKV,N10008264623
FR M9M,R2963724
BE WEL,R1243514
ZA MAT,N262721283
BR BLS,R298297
FR IVC,R1083803
FR L9M,R174958
FR BSR,R216256
DE EBH,R410472
ZA WNW,N262718687
JP YOK,R2689482
AT GST,R3825568
BG PEG,R1978210
US ENC,R174937
NL VOD,R289463
FR BTO,R1771045
BR ECP,R1833465
SK NVA,R2386272
US RQT,R9228320
US 9GI,R3122078
US INP,R130598
RU NFG,R1761429
CA AAU,R8150932
BE MSP,R4010774
IE BAD,R6792551
US MVQ,R130795
GE KUL,R14307686
FR FL9,R1109198
PL JZB,R2415561
FR ZVR,R160962
CA AGY,R1354835
CA ZYE,R7711428
CU JUC,N1534016030
FR IRN,R104336
GB HZA,N360808868
ID JBN,N8611944454
US B6D,N151532412
LU DUD,R407453
BR DDT,R336784
CL NIM,R1768732
FR CEY,R1640543
GB POA,R11070165
US FVG,R11052535
CZ CTB,R441465
DE TAT,N26020111
US 3DL,R9884747
FR XTG,R941016
GH TEM,N735505132
GB BGO,R5998605
DE BSW,R157991
ES BUA,R341087
GB RWS,N288272236
DE BKA,R1112227
FR RG9,R114233
CN PUT,N244081601
US JWD,R170313
US CTL,R194100
DE EIT,R934754
AR ELB,N2797608607
FI ALV,R2641546
FR SNY,R104855
IL GKT,N278478793
DK GRS,N26559146
US VRZ,R8898129
DE OID,R1023214
GB SDQ,N99062286
CA WVE,R9175068
SE SNA,N33395626
US NBY,R175724
HU PAR,N7682576368
US FLY,R170615
CA TCG,R8367981
US HQ6,R14024077
RU CSY,R3374548
US OPI,R110734
GB SDU,R2642305
FR JJ9,R148725
US RVL,R133364
AU OLP,R6235712
PL K2A,R4644813
US DWK,R119776
DE RST,R965012
CH TBS,R1683582
PE OLM,R1969747
FR IOM,R416098
FR PE3,R361454
BR JCG,R242330
DE BMC,R2772180
DE NRS,R2813068
US RO3,R126251
CN YZH,R4430826
FR DTE,R272397
BE LPE,R3406586
US S5E,R10132819
GB PHR,N305777431
US RM5,R130257
US 5SU,R128513
ES ESJ,R347622
US ILN,R182387
US 5FS,N157576072
ES MZX,R343371
RO SBT,N463267948
US BXC,R1834223
CZ MHI,R438316
FR YSH,R145723
BR MVT,R334410
ID CII,N1308704497
BR ARC,R303810
IT TDP,R42216
US BJP,N158424949
DE RCO,R444699
RS POZ,R8031803
FR V4N,R74420
FR CVH,R111389
CO PTX,W380471084
HR VET,N1959438170
FR UYC,R2998439
US C72,R132054
IT TRS,R179180
US BJE,R1844155
IN BHU,N245699360
DE NDH,R2400430
FR YLE,R80120
US IWF,N154155895
FI INK,R36103
CH PES,N240124449
JP MZH,R5301642
HN RTB,N450570678
US QQE,R240016
ES ZAM,R347287
SD DNI,N300069794
US XLU,R5170947
BE ESA,N382325430
FR AUM,R1993944
AT SGS,R86384
JP SKK,N8440603175
FR ZHE,R121771
SE STO,R398021
CZ BYP,R437702
US IUN,R184338
FR QXB,R70279
SI SKF,R6567406
US VWV,R239888
IN PLN,N245765114
KE ASV,N45004949
DK CPH,N13707878
BR QNO,R242340
FR S5H,R80332
HU PLL,R215943
BR FVA,R298265
PA EJO,N9984420546
US KR4,R252273
GB LTR,R11014238
US WLV,N151451718
TH KLY,N369503951
DE GLI,R2770605
DE 74C,R337335
FR RBT,R959295
GB BAN,R11241684
FR UAX,R1050369
AU TRH,R11691885
FR LVZ,R116023
CR DE2,R6247894
ZA PZB,N30211844
FR 7SV,R1996495
US C2H,R184955
US DLL,R194033
NZ MZP,N53190048
FR PCD,R166619
IE CHD,R14571290
FR VMA,R2767736
PE YUN,R1953366
DE RSU,R1417210
CZ VDA,R440949
BR JRZ,R301446
US STI,R112980
JP YIH,R2689424
FR BDZ,R1450161
IE AHL,N52253126
US GMD,R137395
IT MPR,R41624
US JBP,R169234
GB CSL,N27485888
SE KAO,N7429076641
BR ANP,R332959
US NDX,R6605106
GB ORM,W63619301
HU KZA,R1491335
FR YSA,R123657
US FXC,N157601397
CH DWL,N316141202
FR TYQ,R152891
BR YMR,R314802
US RMH,R8897016
AT GRU,R3785485
BE SMR,R3465073
FR YTY,R166105
US NBO,R1844182
AT LTF,R554552
IT NIG,N453073711
ES AYR,R348047
BO QUO,R4505697
PK SLL,N603555700
US LJP,R11010435
DE M88,R453173
FR HHY,R2681763
FR AEZ,R1843561
CO TIB,R2884601
HR PRI,R12989498
US EGH,N158655728
NL GRU,R1516021
GB CAB,N398841693
GB RGC,W1095686089
ES AC2,N2537174217
MW LLW,N6765699485
MY BEN,N254072818
FR VXL,R152350
DE BY3,N334492488
BR SPW,R334035
FR 2JR,R390395
US MMJ,R170530
DE BHF,R173112
DE NGK,R964465
BR CDE,R301285
US GIS,R183370
KR ASG,R2409160
AT AND,R103894
ZA HMB,W207894258
US FYB,R194132
PL NGD,R3010506
US MGN,N153383615
SE BGF,N540366178
FR VMT,R123321
LT AZI,R6321927
CA ETN,N9392169457
US WPJ,N150951910
US JBZ,R195945
NL GNK,R2516668
FI HOJ,N9880770212
US HDP,N158225110
FR TAE,R122235
US RTM,N153994819
DE WB4,R936877
FR DNE,N247302036
FR TGX,R3263335
PL SKY,R2993697
FI ENO,R14651113
US IN7,R127523
DE 68C,R938057
IN JDH,W31725312
TH SRI,N1773481843
US N84,R188922
FI FAE,N430849851
SE AHR,N2756004707
ES BNO,R340588
GB OXI,R3509388
ES PQI,R346848
US RJO,R188912
US BX2,R187203
US F3H,N151446589
DK SNS,N8867338157
FR GOX,R1529409
FR LE5,R2010489
US MV6,R111590
FR AUD,R280462
US BRH,N158547846
SE DAN,N335672695
CZ STU,R437492
MX PTN,N3627202517
DE LQF,R452974
ES ZGT,R345216
US NSX,R112257
CH AOC,N1426045729
IT TOM,R45528
NL LSG,R311913
GB CML,R6001667
US 7DV,R3077037
DE IMM,R957822
ID WAR,N5709052741
KW KFZ,W431355326
CZ USC,R439247
DE RJG,R1152695
HN SBA,N308306420
CZ KLK,R440386
FR MAH,R5804723
LA SND,N429425372
US 2WY,R141720
US UNP,N150945128
ES MUN,R344664
US FTE,R175895
MX SA3,N354744151
HU FYT,N1132307685
EC SGO,R287808
IT GUG,R41606
IQ MAN,N2488516716
US ILX,R110131
FR A9V,R60244
NL BUK,R419208
FR 3AM,R1773001
US KV6,N154194723
SI ZGK,N811474685
FR HNS,R361749
US BHW,N150945557
BR SDS,R242532
GB MMO,R11005806
US M3E,N153545603
BE KRI,R1364591
NO ASY,R404157
CA YOD,R6282004
DE OOT,R391366
ES AIB,R343422
DE JIV,R1248575
US AKJ,N158388632
TH SSM,N585128821
SE LON,N251051599
DK NR4,N2944403469
DE EHG,R722146
IT GBC,R44654
US UMN,N151353689
BA TZL,N275005833
US HW4,R129961
PL SZF,R2834801
IT PCS,N275444096
PT RMR,R6354512
FR HP9,R2137022
BE SJL,R2247176
SK VHY,R2169306
ES OIR,N4537831800
US AGA,N150939629
FR WNL,R254773
FR GL3,R115247
KR CHA,R5523589
AR MAR,R1770849
DZ TLM,R4291172
GB WNI,R3882310
PA LEM,R11308067
BR OUM,R90140
SE SNY,N1578617798
ES FRL,R340627
MA OZZ,R2887639
US ZBU,R121444
CA VSR,N1424726936
US UYZ,N153890042
CH HTK,R1682865
AU BDA,R6058933
US VAJ,R111043
FR XG8,R381043
AU S4R,R2421686
BR SJB,R297942
TR KBS,R1839063
SE ATF,N367469861
GB CIS,R8282722
CA MTS,R7588070
CM EDA,R3831376
SK TRT,R1791765
DE USG,R418438
ES BCQ,R340144
AU BAS,R11689280
US ABM,R6116530
PL TWL,R7107660
BR SDX,R301467
FR VJV,R1958681
AR RAF,R2277385
IT ZTB,R40869
GB PWC,R1628378
AR AC5,R3473073
IT MCD,R44102
PH STA,R10650886
MX HID,N291516306
IT VV9,N292996685
US YCU,R142533
DE B6F,R1470175
PA ELC,W444837940
FR LMG,R166636
SE BFS,N7470460499
CK AVA,R3830341
US TLE,N158618955
FI VHI,R36100
US OLB,R130192
DE EMX,R1246415
FR SZZ,R18311
DE CTF,R536635
FR 9CY,R1248073
FR MUU,R130441
VN TTD,R2766956
BE ABO,R4494836
ZA ALN,N262694749
PT SJA,R6430639
NO BUU,N9965481426
US FBY,R169304
GB AHH,N5000008598
IT PP2,R39413
FR SJA,R117072
IT MLB,N5339217182
ZA PLN,R2034999
FR M8G,R1619683
CH WLL,R1684455
FI LPP,R2273016
FR JFV,R106013
US NYG,R206601
BR RCD,R296789
TR KKB,R1477820
NL WWE,R2726550
IT PFE,R42158
IT PZ3,R42349
AT GBF,R106804
AT LOF,R918028
GB NWT,N206232079
FR C8D,R2906364
US NLU,R182863
BR FEA,R302552
US EMV,R6586546
DE OLW,R157719
US G8B,R12207607
US LGC,R119684
CA PBQ,R2840476
CN GLE,N2481040413
CZ DBH,R442229
ES AYN,R343734
US KLS,R237699
BO YUO,N3260433010
PA EVL,R9360209
JP SHK,R12752795
BR TCI,R314933
DE BSI,R1231953
NL EHU,R2660320
US FAB,N151345195
DE PO5,R2778487
FR CG8,R105143
US TFS,N158899596
IT CDL,R42434
IE MBW,R6743469
PL GOM,N31804137
US JYN,R130399
NO TIN,R406838
PL RUS,R2911928
FR HY6,R2084718
PL NYE,R3963398
US HCS,R367262
CZ NPH,R437804
SE SES,N2235056059
FR TOT,R958700
FR 2VA,R153702
BR SPU,R242719
AU BWK,R2383219
JP YZU,R4674542
AU GYU,R2463116
