PL JLW,R7690945
BE GHO,R58257
FR PVK,R29362
DE GPK,R1289796
FR VV4,R1468048
NL STB,R2725402
IT ALP,N4154653360
US QPT,N151906330
BR GDA,R332885
DE PIE,R929779
PL DEO,R2816565
AT WOL,R112509
DE LOW,R1318331
CN ZHE,R3429680
US CSS,R176058
ZA ZEN,N262715692
GB LHF,R168501
SE FBK,N845945773
FR VL4,R445313
US O99,R119839
IT 2PI,N404725339
US RFV,N154217432
US WNR,R13675307
AU KNY,R2755949
US TR5,R198788
SI ZAB,N91297994
CA LOG,N1583464849
FR ZGP,R1172518
DE WZO,R7437276
DE DRK,R1183250
BY GNA,R130921
FR V6Y,N6017737362
IT BOD,R44366
BR PSW,R242505
RS SUR,R6662606
US FLB,R119735
FR MUH,R191475
FR BDN,R1750545
NL TYT,R385149
US MZ2,R12184774
BE AGI,N4989621821
CN ACH,R3263818
ID DOB,N4354695416
IN HAO,N1197329718
GB BNJ,R2735896
US YYG,R119596
DE VVV,R2404539
US W2R,R8367119
US YIR,N151652529
FR BLG,R34917
BR JKR,R301452
PE OYO,R1944775
GB RCT,R11048477
FR GED,R2774876
ES L3E,N288259582
ES ZHR,R346566
US ARM,N153442911
FR PAD,R156106
GB SVN,N26668929
CA SG2,R7433784
PL LWZ,N692624043
CZ PRS,R441520
AU PEG,R10590159
US B5L,R6586485
MY PAP,N369496783
MX VER,R6037860
IN TUT,N5443775116
FR RCG,R148966
FR QLO,R126401
ES LMD,N10553226140
AU NS9,R5555797
US GJQ,R170488
US PT6,R251441
PL LCZ,R1746429
BR RNI,R296680
BR SLJ,R362210
NL GRN,R1505810
FR ZON,R3038698
DE THE,R417367
US IYS,N157558771
BE BRK,R3395504
US CRR,R119746
DE BAD,R1432674
US NTU,N158617864
CH SNT,N864212820
ES MDM,R345546
FI VLS,N2472329004
ES BRU,N1242379912
FI JKA,W762330555
IN ISP,N245745800
PA ECT,N7603472339
AU BBT,R11675120
FR 4CT,R1731196
US BVO,R184988
ES HZY,N288260448
TN MGR,N7716925564
FR GGB,R92956
GB SIK,R5541715
FR 4FE,R576441
IT ZFN,N1445381027
FR CE6,R152694
MX SMG,R2372616
US DQ9,R141250
SK COB,R2273709
US COO,R174388
PR NAR,N6278243160
GB RME,N26575646
FR B4G,R241087
FR GI4,R401092
BR BNM,R332980
PL BDK,N31811742
US XZ7,R251369
ZA GRP,N262706838
US SUP,R240080
CH MEX,R1685336
BR INP,R185666
US AP5,R252258
ES ASR,R6289214
FR P5C,R1135400
DE B8F,N240074404
NO SAG,N529658725
FR DRG,R37777
FR BHL,R1159673
US D8R,N150980929
NL WRT,R2078294
FR SCN,R58042
ES RRE,R340538
DE BD4,R1182505
RS BUJ,R6656122
ES CA3,N288258646
US UNY,R130230
US MTW,R251811
IT APO,R42638
AU UBU,R11690286
US WD5,W33502548
FR VQ5,R410492
US JGT,R1933718
BR YUA,R334577
US QCB,R189101
BR LDR,R2697039
BE BAX,N668879859
VE ODT,R2461593
DE NUH,R453398
FR GAI,R2815754
FR M7F,R2539352
FR RY3,R1002375
SO GHR,N36161070
CH GIN,N66576861
IT PUT,R40798
NL DUM,R334298
GB BID,R4246099
BG SZR,R1947830
BR PHS,R1837756
PL KYA,R2634358
US MMO,R141628
AU BTV,R2400155
GB LBI,R11265923
ID JOG,R5615250
US QUE,R133616
BR SOT,R332807
US H3N,R127522
BR COW,R332856
NO MIT,N267750835
NL ZUN,R1458733
BR SMA,R326263
FR SCO,R111012
IT PGZ,R45450
GA OKN,N2178082134
PL LSK,R2919499
HU PER,R1317772
NL BOV,R298861
DE PER,R958964
BR AWP,R242578
FR DVS,R145679
FR PI3,R254544
US KUK,R11355907
US CJJ,N158823904
DE BEE,R405807
ES GRY,R345578
US BNN,R125656
BR MAN,R185588
US EWR,R170486
US TXD,N158299548
CN NAP,N9401405888
CA AKL,R9476864
CO RVE,W176261117
DE SKU,R2909239
IT SPA,N6783494805
SK HML,R2207323
US UOY,R12022267
IT RPL,R44700
US LT7,N153952581
ME BAR,R8881697
SE TJP,N281722087
CA WPU,R9271583
US T6Y,R451325
PT AGE,N1357752086
DK HNG,N26559167
PL GOU,R2431617
GB PNB,N29170128
FR DBD,R122627
NO KAY,R407753
PA LLG,R10742964
AR GBG,R1784685
BR JUB,R362267
PK TLB,W441136087
CN LIC,R5676876
BR PNL,R336788
AU SMG,R5512450
US YKN,R194882
US DOU,R119954
US UCG,R119566
GB GDG,N2369008993
CA EVV,N265765199
BR TUS,R242424
NO MOD,R404140
PL SYY,R6030606
DE WTR,R162832
CA SRM,R7785079
JP SSM,N8340492338
IT MBN,R41030
FR GV9,R71407
FR SX4,R138519
PH LNA,R3604060
GB PGN,N27199090
PA LSA,R8668092
VE LEC,N5258092211
GB GOI,N336513366
MY TUM,N254072921
US 5BP,R1217280
US PUR,R13618529
US DFG,R8481129
AT NT9,R110446
ZA SDH,N30278688
FR BLU,R379281
US 8SS,R8897023
DE EM6,R1245839
US GAT,R193999
US OMI,R125459
IT CU2,N64776731
BE PTR,N740371243
MY TLA,N2215742679
BR STW,R297710
US HHO,N154109961
GB RBU,R1283949
FR HHP,R126566
US PB8,R127751
SA SHW,R12424984
IT ZDG,R45575
FR MIM,R79338
US TBG,R182640
DE NUC,R533254
CA LVT,N1387990909
DK SB2,N252713830
US NPC,R170379
DE SHE,R452414
EE HNE,R354337
FI PHS,N1193178776
GB DRE,N193974780
CN XGD,N6323784699
IT TSB,R45748
GB CRA,N247250646
DE TOU,R534447
FR UZH,R124603
US AWC,R121461
IT RRR,R46452
NL NLG,R275971
FR OVY,R402202
US ZDU,R110711
PT FGO,R4056788
US WQF,W32973361
IT APG,R45328
FR CEV,R1083010
EE ALU,R355212
US UND,R181494
US KS3,R195987
IN PPV,N1805442321
PL TOA,R13510848
FR OIU,R91775
FR GEM,R93964
IT AQF,R44663
DE PHG,R659806
US DQQ,N153503173
PT ARF,R6553858
CA YRJ,R8160826
US QYC,N158810168
FR MIW,R376309
US WKE,R128341
HU JKZ,R1348115
AU BEE,N2068000597
FR CBT,R75975
US DSW,R251535
TR KCA,N304236980
US SIY,W33155348
GB RVD,R1268676
HU ZAK,R1600739
US DQN,R123415
IT AN2,R43689
BR PYW,R314623
US OZK,R111126
HU FE3,R1361440
IT BRS,R45451
PE CEL,R1900937
US OEL,N153344313
AU OOK,R6343182
IT RSR,R49125
DE EBB,R453363
IT SR2,R40055
CA LVH,R8364713
IT MLO,R45628
DE RM4,R1407862
IT PZN,N365707951
DE HIW,R418126
DE IDN,R2800692
FR MBH,R113091
CF MOB,N621872407
FI SIP,R35159
IT PSR,R42014
