MN ERT,N293929556
RS BCN,N1079222912
US BJX,R1949524
HN ECH,N10095887552
FR WHE,R85877
NL BA2,R1447331
NZ WUT,N178321547
IT BPO,R39549
US IAL,R180111
CA PAS,R8271757
CH RID,R1685357
IL BBE,N8887805836
SK SEN,N1421003933
FR WYH,R954172
US FH8,R6571636
US KQL,R130550
IL SHA,N278478434
JP SDD,R1769176
US M22,R119843
FR DZY,R157321
FR ALO,R107438
CZ FLK,R437569
DE BNY,R1077552
IT ZMA,R43595
FR 49B,R332711
PL KMC,R2851573
US PMX,R1181617
US PZB,N150958505
EE KAB,R352071
US TRE,R9249060
GB HCY,R3094236
US 9NT,R170379
US EKW,N158563931
DE FLM,R3297915
BR USO,R332904
ES DU7,N365695885
BE MRL,R9428917
HU TOS,R1432112
US INA,N154357196
CA PUB,R9266666
FR TR5,R2816871
US GTV,N154036990
DK STL,N2696689512
BE BER,R1283042
US KDM,R237869
ES TIA,R345435
HR GNA,W363343039
CA RST,N1452265966
RU KMK,W157532237
FR USJ,R382592
BE ACH,N537985240
AU CMP,R5688500
FR BUE,R173687
IN SLU,N9892960385
FR FV3,R255595
RO TVI,R10748282
NO LID,N3091617039
JP TND,R16142667
AT SDN,R77772
BR FPO,R297903
LK ENA,N1902018019
FR AOV,R1103578
FR CLH,R164069
US D2V,R238646
ES EVL,R341240
ES MAC,R340390
CA TRL,R2221425
IT PMQ,R42411
PL OYH,R2690053
DE BZH,R385683
JP OTM,N6734475560
AR LUL,R3486001
AU HEE,R11692458
FR M72,R107650
FR IST,R96764
BE SHU,R2455110
BE KBV,R7869685
GB ALP,N243382924
FR VOZ,N496796823
AR VRE,R10854763
US XTP,R129124
IN KOL,N245699999
CH DPZ,N240072917
SK BEL,R2140179
IT BTC,N62508340
FR NAR,R54737
GE BNS,W75732327
ES GGO,R347909
PL GON,R3087475
FR MOW,R453450
FR VQX,R1468058
GB MME,W50442701
DE ZNH,N376373924
DE B62,R2895875
CH LTL,R1683670
GB FR3,R8650465
FR OBR,R969997
LU HTB,N292879797
NL DEM,R1433618
FR YGD,R2940096
SE SVA,R935403
RO CPI,R10631080
US C5R,N154354253
FR HTY,R1022045
CH GES,R1685369
US GY8,N151435946
IT PCC,R42475
DE OHL,N4407137334
ID PJA,N6018732882
AU HAR,R2766247
CO BER,N703507944
US EN6,R182826
FR FRO,R255490
CA DLG,R7358188
US GOG,R206932
FR WHT,R132596
FR ME7,R285730
DE KVF,N83082569
ES FUZ,R341111
CZ PVV,R442589
BR GRQ,R336791
US NBE,R197417
FR BEL,R148542
DE BXL,R1819474
HU CVY,R1130334
FR JDB,R1109852
CN RCG,R3307447
IT LIB,R42862
AU T9W,R6076722
CH JNG,R1685003
DE NQH,R453843
MM MGZ,R5996537
PL PIW,R10077150
US 5PO,R185137
FR PLY,R419022
FR NOU,R2361047
BR BLA,R298238
US FIR,R8197066
DE EB3,N293032862
IT SGA,W65184955
CH VSZ,N59955982
PL 4ZM,R2385704
US GF9,R361446
RU DZE,R13470215
SK SZI,R2218905
IT 6TI,R42100
HR TJI,N527431722
GE PTI,N182620747
FR E36,R1998742
NL GAR,R302077
ES OZB,R339805
FR SGV,R140254
US AXY,R141782
NO HVS,N6230982394
ES AHA,R347798
US GOL,R186455
CL PLL,N214232423
AT EEZ,R49971
CH DVR,R1685597
BR NRZ,R314684
BR MSB,R301401
ES BRB,R343510
US QHJ,N158797964
US JDT,N154094557
FR TPI,R721871
GB CUR,N1768782371
FR SEO,R274191
ZA CZP,N70412286
PL TAN,R6910173
MX ROS,N1988275721
US LYU,R137427
GB SF3,R4779825
US MAJ,R175600
CA YMG,N3171194486
FR RL4,R1206570
US IY3,R8529786
DE CHL,N325154176
IN BAE,W392451091
FR ER9,R74829
US YN4,R174385
GB RYN,R9279839
FR JAN,R59866
JO AQB,W193469321
FR G9R,R155036
US OS3,R129684
US OTG,R137404
PT PAC,R6022197
BR TQS,R334048
US SAW,R170548
NL BRV,R2714643
US YOJ,R125947
DE DMM,R1140558
FR ATV,R111528
US NXF,R188988
FR VYI,R153723
CA WLL,R14499441
BR MDW,R325881
EE AUD,R351841
PL LBC,R2633724
US S7T,R141548
BE HOO,R1284064
GB MSO,R4780044
US IPR,R13815167
ES ZKH,R341602
DE SHX,R962455
ES IGG,R340785
DE BQL,R420478
BE ITE,R3369416
FR TGF,R133881
NP TPJ,N607154975
CA WOP,R12078516
US NWO,R134828
JP NJO,R4559213
DE BR5,R1675311
FR RUC,R90756
FR CYM,R395443
FR LAW,R140805
US 2LL,R13077038
CZ L4E,R442286
ES NNC,R345443
PL ROA,R13216684
IT SLL,R39559
US AIV,R13686022
BR DRN,R336847
IT SCX,R41279
PA RCA,R11322593
AU MDU,R11689126
FR FLY,R3219170
HR ORO,R11519969
PL ORN,R1450414
BR QES,R362243
RO ROI,N462237914
FR LB5,R1522348
DZ CTN,R4589407
FR PHJ,R93548
US XFH,R187378
DE KOM,R2168247
FR RAG,R282504
US XRA,R175552
IS SEY,N249086462
IT N6C,R39340
US FQC,N151683101
FR C89,R2340920
AU RDG,R2451345
IN TVR,N3829101958
AU HEL,R11675675
DE GD5,R449952
IL MZI,W626005966
US BHP,R187688
IE DUB,R1109531
EE AMB,R352261
FR EUY,R2649289
FR VUU,R87624
CA CR9,N2969421245
US GGE,R193984
DE ANH,R13947440
DE RWB,R148066
FR DCJ,R1340511
IT AME,R42062
FR L4R,R294955
US BPQ,N158604842
FR CWN,R547823
AT EMM,R127128
FR OON,R359900
AU LOA,W906686822
FR ATZ,R3084105
BR SFD,R332902
US XAN,R175977
US EXA,R206593
US HOK,R123148
AU MKR,R11690204
BR JBI,R362185
SE SKI,N111937982
FR OCH,R1268382
PH MLP,N198492766
DE SGO,R539918
BA KSA,N1037420550
DK FDV,N26559074
US REE,R119993
ES VYI,R343797
PL ROI,R2368692
BR AXN,R334553
IT FR2,R43924
US OLT,N154035108
DE LGO,R1187509
ES HSP,R345401
US SY2,R185007
US C9N,N158500730
IT CD8,R44509
FR ZVT,R77538
CH MAL,R1682893
IT ORG,R45379
PL NDG,R1605211
GB KRK,R8333304
ES LPO,R347724
NL GUN,R1360555
BR IQE,R362459
NO LAO,R4845396
BR CJE,R314804
DK RNN,N249523561
US CSJ,R1817757
FR BQW,R2994756
US SKA,R134748
US GC8,N153910586
FR FW9,R398271
US MTD,R176261
RO MAG,R10520315
US XJA,R963125
BO CHA,R4500785
IT AQU,N4128688360
DE GOQ,R453834
BR CJH,R301337
CH FLW,R1683879
US SWK,R1949886
US IAC,R252091
HU VEZ,R1078503
DK ERS,N2313437794
FR VI9,R2132933
JP SUN,R4674550
ES MQJ,R340580
SE FIS,R1520597
ES LAC,R345429
DE RHU,R1021691
SE SKE,N768924941
FR H9Z,R1730396
AT MIL,R79622
FR S6L,R116300
US CT3,R137761
FR PXG,R117617
AU ASK,R11677126
US QCC,R133295
GB MLF,R9532536
ES CLT,R347759
AM ABO,R7846009
US M8W,N150974383
FR XLS,R1969330
ZA MTP,N262721397
IT VL8,R46493
GB B57,R571725
BR FAE,R297467
US MPB,N158811979
BR TMJ,R314599
BR SNM,R332850
CZ SVI,R437999
ZA ZBC,R2035209
GB EAN,R1628365
FR F3E,R125035
FR PMZ,R74018
US C2O,R13627854
FR ZHA,R384631
IT LRG,R45472
IT VZU,R43341
FR HUY,R1379958
GB KYL,N26494599
CZ ZDC,R441516
DE 62O,N83473001
PH TNA,R5947754
IT CIF,R179094
DE HIK,R1022775
FR MR8,R22368
DE CPJ,R2403957
US ALC,N154065007
US PDT,R186744
TR UNY,R1806116
BR PSY,R332818
FR 4MF,R384825
BF YKP,N902928776
FR DM2,R394363
US SXC,R3704255
IT PIF,R1651604
US UAO,R14086154
CO GRA,N360216965
US LGM,N153916637
US 9PO,N151356646
FR MHH,R164187
ES JOR,N274898584
US BOE,R187348
US ZJC,N153544744
US NAQ,R2312830
DE 6AJ,R3980175
DE BEL,R1250392
BE ECH,R412864
US DZP,R129147
BR TNU,R362278
FR PU4,R421861
DE SA2,R1074564
BR ACL,R332883
FR VTM,R2684664
US EOU,R129016
GB KIS,N6445297483
IT PUL,R44921
KR GMP,R2409165
DE VIR,R11212688
US L4O,R126198
FI RAI,R2257159
DE LXA,R534384
PT ARJ,N1297322484
US SZR,R189078
US FGX,N7725661550
FR VGQ,R2703110
US VL2,R188519
DE BIS,R907170
HU TO4,R1319912
DO SSU,N250651150
BE LSN,N293835328
BE QCA,N2390892195
FR 2NV,R132343
NO STD,R405657
GB DDG,R948099
GB LHW,N29271746
IT ABG,R44744
US PWD,R142554
DE KZT,R1427217
IL PHM,N278475630
YE GXF,W379075184
DE MVD,R1478016
BR KDG,R334606
DE NOI,R1184277
BE MBI,R14413659
JP NAI,R2679934
GB KTN,R1875244
AU SVL,R6595790
CZ CUL,R436608
SE OTT,N32948324
FR RLS,R145159
CH SEF,R1682663
DE XME,R1249948
CH BIN,R1683660
DE LBA,R418120
FR RYS,R145261
NO STJ,R407291
US WAH,R181428
CZ RZT,R436152
DE AST,R1028565
FR CTF,R140752
US EKQ,N151565585
HN HAD,N3173287590
CA SET,R7710966
CA BUI,R2836237
US ISR,R117963
DK ASA,N9694963970
GB AYS,R2333890
PT VCO,R6458245
DK MER,N9708645817
BE BAR,R1186624
ES CGO,R339825
US ZJL,N151757562
US TUO,N153634195
US XMW,R13584333
DE 3BV,N794344325
DE B8R,R1821916
PA BOC,R9123030
US IMX,R119553
FR M3U,R117279
DE SGI,R1252554
MX SCO,N4687737416
US WJQ,R957238
US ML5,R136952
JP GNG,N7632724989
FR LGF,R276305
CH K3L,N313388269
GB YDE,R6101766
AU DAM,R11690015
SI TZI,R1675608
FR LDN,R547854
PL OKJ,R6915124
AT FLH,R356961
IT TAB,R45772
LV LAZ,N2069389773
IT OPR,R44853
CA CGY,R7785155
US IML,R169458
AU MSA,R5652143
PL LNK,R2964658
ID LLN,N1308640104
US KXY,N154103447
DE HUK,N89005045
SE TYR,N122714658
US IDT,W33614310
SK JBE,R2203998
BR IEV,R298353
BG SOM,N273874587
PL JWZ,R1435930
IT VUL,N687570129
DE KIA,R941637
US UOD,R175613
BR BEZ,R301355
MZ MEC,N9968531300
NG IPJ,N501334714
DE GWD,R55190
FR MLA,R418263
ZA VEU,N262722406
DE BNC,R2825741
IT B8S,R42969
FR BO3,R367800
GB SLR,R3757739
DE UGM,N279138900
US PV2,R10330989
BF ZAB,N3415907590
US NPG,R128732
TR SRY,R1765895
FI SOO,N3777924653
GB WTM,R185356
US VOD,R13677667
ES MRS,R346506
FR BMV,R1792373
PA ETR,N2060389468
CO TRB,R1343460
FR TL7,R375096
ES FOB,R343214
IN PBR,W84737219
DE SFB,R418610
BR MTI,R314746
BE BRM,R1412080
US TIH,R125655
FR AOX,R2793939
US ZJR,R9215806
CZ DOE,R440328
FR LTN,R80347
PL ADC,R2691012
FR AG7,R75179
US JAS,R6603616
RU GZV,R3442022
ES GU6,R342469
BR KAS,R301461
BE HAH,R1247306
IL SVY,R1932371
CA COY,R11901729
DE HDW,R1149297
FR FFN,R2886432
FR NSE,R138782
FR ZFS,R2946117
US FL9,N158478152
PL TBZ,N257299586
MU GOO,N2188729948
CZ MZV,R442284
US 8WP,N158806748
JP KRM,R5454773
PL BWG,R2773119
GB XCA,N2793214447
IT ZRS,R44905
DE B46,N290791280
CA NMO,N51970661
FR LAX,R252621
CR GMI,R6926790
FR GGD,R113766
FR YRA,R178180
BR CCH,R301411
ES DRR,R339573
GB NWO,N3880370721
ES MRT,R346784
FR O5P,R177921
LU RSP,R569739
FR LD9,R52369
GL IUT,N1927638943
PL KZI,R3093878
IT BTI,R45007
CZ TVC,R438284
AU NSV,R11676215
ES F7M,R340626
BR JWR,R314785
EC SAL,R282592
PT PVC,R7540358
GB FHM,R127232
PY VHS,R6590353
GB ASG,W508469265
BR PAT,R1277591
JP JOS,R2682908
CZ MIO,R441533
US NLM,R175636
FR UMN,R2008041
FR BMG,R1152559
JP HNO,R2689438
DE HAT,R162828
IN GMR,N247689846
DE 6AQ,R453373
IT SRU,R42738
DE ZTG,R2902533
US CT9,R181951
PT COJ,N1121986294
DE RUQ,R7463140
GB FNO,R2944634
ID GRO,N10951650610
DE ZFF,R1460227
BR PTO,R297599
CA SDD,N1411688775
AT WEN,R106110
US PT5,R115193
FR BI3,R108278
DK BRG,N9272303393
US WTS,R174495
PH PHD,N7725970823
FR BHP,R387674
ES FT2,R346435
IT PMC,R179167
US JBM,N158461084
BR VOP,R242554
FR ZM8,R1774546
IT ORD,N70981942
DE UKB,R1180881
IT LLI,N4273712528
US WNG,R189055
TR SAM,W943821120
RU TSO,R1547533
IT FOQ,R44995
US KIK,R182921
IT TRP,R39696
UA KVK,N337558729
FR HEC,R3319485
ES TOB,R342487
FR VR5,R135576
GB HEM,R1022430
US WBF,R134558
US UFG,R206671
CA PMD,R9451100
DE ADZ,R1808860
SK SPR,R2275746
US JA2,N158409062
DE RSF,N91891032
JP SMU,N8495368827
CN DHA,N5719916349
AM DIL,W177131875
US GFZ,R137338
SO BSY,N36305919
JP HIK,N7617773160
VE MMR,N5300912919
FR VUY,R77522
FR BZT,R1948870
DE PFL,R377571
FR LZ7,R111770
IN PNJ,N1687216929
SI ST5,N534429242
PL SKE,R1785455
US VNY,R15339539
DE HZS,R318147
ES BCR,R342317
PT TRC,R5329285
FR YEG,R86716
DE LGQ,R357012
GB EKE,R185215
US SOA,R175476
GR RHO,R5321592
AU ABH,R11676688
GB LLC,R1864750
IS VOG,R8485229
DE COW,R1334120
DE UZD,R659838
HU HUY,R1440867
AR COM,R2989640
