US FFK,R251614
FR TUS,R128292
US NNR,N153454556
DE B8U,R556099
SE KLL,N1359902661
US MRZ,R112189
DE 72Q,R1145096
RO SBC,R14255106
FR HM9,R1999686
CA LSA,R8110661
FR REV,R929431
IT ZGJ,R45256
FR V2G,R144630
ID BNW,R8225081
DE 73L,R1363424
GB BKE,R5992538
US APQ,R183136
FR KLP,R1732323
IT NSV,R47314
CI PBT,R3377873
GN CKY,R3731500
SE KUN,N29689990
FR ZHI,R127147
FR NLE,R253358
IE DIN,R6342320
NL HUL,R296119
UA KRE,N265058149
AT SBA,R34836
CH BFL,R1683626
IT TDG,R40755
NZ FGL,N176957437
PT FUZ,N300893540
FR B5T,R1223723
CA ZFM,R9495317
US EVQ,N153386377
BR CNE,R362372
NL ZDW,R1373411
IT AUG,R39201
BE BOA,N725298287
TZ PAN,N255615846
FR HCA,R120060
FR LYI,R116651
ES CEC,R341570
BR ABD,R336740
CA LGN,R9190684
CO PDG,N8322504044
BR ERI,R332964
NL PVT,R1379063
US RVR,R198926
US RUN,R133644
DE ZGI,R962183
AR VDP,R1751001
DE ENP,R2614516
US OPB,R184216
CZ GRM,R437151
BR JER,R298112
FR MQ2,R1161665
ES DLA,R347655
GB HYD,N27329892
PL SRA,R2872134
US IEY,R129861
DE POK,R1444903
UA DOK,R1413957
US FC2,R179847
FI KRK,R37071
NO GEN,N6236538508
FR TMI,R271970
AU CLO,R11678062
US WOY,R119521
US SQF,W890847243
CO VEL,W256095801
VN PRT,R7082775
US W26,R6571697
US ZVY,R137520
US DCQ,R112449
CZ PTV,R442515
IT ACI,R43420
US AKO,R8309635
DE DZS,R446701
US GOZ,R6586489
US DYL,R188518
EE ARU,R350841
AU DUL,R9102605
BR SER,R1826737
ES CTJ,R346363
DE O5M,R5651204
NL HBK,W211092465
FR CHR,R1536593
DE GQM,R318744
DE NAR,R2909237
DE MC3,R7360669
FR 4MB,R5811999
US W6P,R12824837
CH GRN,R1683510
PT CPL,R6938713
CH NRH,R1682169
FR BZO,R103270
BR RAS,R326292
DE HHI,R2470262
TR FOC,R1268452
US ALQ,R127500
CH CRS,R1683304
US HVL,R191225
DE 9B3,R310391
FR OSG,R116277
FR VB7,R1922179
BR JTP,R302747
FR NMG,R67686
RO S3R,R14701125
US CHT,R187645
FR UDE,R358346
RU SOV,R3356464
BR CAF,R302847
US FWC,R131940
LK WPL,N5353964550
US KHK,R174909
FR YRC,R189902
IT AUT,N485812219
NL BOS,R1410920
FR HTZ,R113076
FI KAJ,R2525693
PL ZBS,N31782069
FR MHG,R1647420
US CVF,R119611
PT ADC,R6519456
FR LWL,R56422
FR 5HV,R154605
FR FNA,R1223453
FR HTC,R6889547
RU RZV,R1480489
NZ OAM,N206015894
HU DKZ,R214932
BR KNU,R242507
JP HMG,N4099487636
MX TSQ,W30113101
NO OPA,N414992214
ES PBP,R344354
DE FDB,R158444
GR KSK,N126290792
CH RCT,N240048725
US UEY,R142616
JP KSE,N8340477200
PL LIR,R12374039
GB ACN,R6841364
CZ HVA,R439012
US LD6,R181599
US QEZ,R113841
IT FDS,R39364
LT RAS,R2521385
CR SRF,R4070148
JP SSI,N7700969069
FR DZC,R2954777
TR HIS,N270976663
MN MXV,W187789427
IT FMC,N4718756597
BR ALE,R242346
BR PIC,R242408
FR CYU,R104404
GB NH9,R3630639
SE KHL,N142686668
IT ZSS,R42458
IT MSF,R42534
PT RMZ,R5402662
SK PRI,R2218915
IT LAZ,R46756
IN BRP,N245746325
BR PDM,R185654
DE OKU,R2404538
BR STG,R242308
HU UJS,R1025063
US SSC,R193961
AU BWQ,R5735974
FR MQM,R127310
CZ BLU,R438045
FR 5GE,R2221484
IT 2MA,R43894
IT CI3,R40737
ES ZBE,R344549
JP SKG,R4198913
MY LAC,N254073815
US 8MH,R12161927
RO MBT,R12578436
BR UCP,R336769
US MO2,N153965500
IT ZOL,R43186
SK SZP,R2203817
US KYR,N158496911
BR YBI,R314943
NL LAW,W6319611
US GN8,R1839155
ID SRG,R8409116
BR CWL,R362446
GB MNC,R146656
IT CNQ,R43133
GR THR,R2348448
FR FLF,R287417
CA VIE,N1631378378
IT ZHI,R45162
US PEJ,R119799
GB BBU,N9420982426
US KPB,R5860148
FR LAE,R2108283
DE WHT,R549423
GB VBC,N29797593
GR NST,N360632267
MX OBR,N3083262271
CA IPE,R7696235
CA PNC,R7699991
ES ZLX,R339974
ID KJN,N1308632604
US GCM,R141069
FR XCL,R1205280
US FLN,R1949630
FR L84,R181265
US 8LT,N153644906
NO KAR,R10853710
CI ASK,N319225774
PL TSI,R2940122
DE PZN,R1424421
US VZD,R198922
ES ZAD,R347980
FR RIV,R1664393
AT MTI,R454125
PK DKA,R16108433
US BBD,R114433
US GRO,R188381
CH ATU,R1684255
SK TOM,R2207340
CA PBE,R9628627
SE SVO,N278019085
NL FFJ,R1371512
BR MSN,R332846
BG GTB,R12643818
DE 9AE,R1427539
MX TCA,R5606448
US WOL,N153453529
NL VSR,R2716482
ES SEW,N288260494
CA RVS,R11842499
US JAJ,N150933327
AR PVA,N198414874
SK LU8,R2140181
CA CPN,W111878848
FR HEZ,R1740406
ZA KTN,N26761379
AT SAN,R106095
US MYC,N158813549
DE BP6,N290827699
ES URA,R339540
CA MEV,R11891227
US D2R,R12194303
AU DIA,R2384044
GB SLW,R6671005
FR DDL,R135640
MX TEQ,N273612336
DE LUQ,R422435
HU BEZ,R1359712
GB VEL,N6055405576
GB WWI,R6651228
PA ACO,R11382233
FR BCX,R152277
DE VHR,R943750
MX VCA,R5606591
FR MUZ,R3189115
SE FSD,N2996057984
US 8TN,R199077
FR WLY,R2885732
BE HVA,R2330186
MX CCZ,N269911211
DE SHU,R14324411
CZ KVA,R2980517
GB BRQ,R6969573
GB ITA,N3730920063
JP OAR,R2682905
DE MNB,R956643
DE VIO,R1406978
PL NAK,R2635001
PA EBD,N9984386508
FR AHT,R422162
FR ZCB,R546939
FR M5D,R2133732
FR UCX,R187031
BR SCY,R302568
US CHU,W32974984
US RQR,R12200095
ES YPS,R340653
CN XUC,R3283884
GB YUR,R6841297
CN YIZ,R5669512
CA SMH,R7360326
FR RER,R55445
DE ND3,R2248859
ID KDH,N11029716089
IT RRZ,R49129
DE LFU,R8157569
US YWV,R187553
NL MOT,R162702
US OML,R141025
SE SVP,N2921190834
AU JUK,R11691556
FR CXL,R83082
ZA MEM,N262710066
RU NER,R2621225
IT SAD,R43730
GR VOR,N1847223276
CN CLZ,N4531938559
BR CGM,R333644
US UTA,R13624787
AR GOB,N198451696
HN OAN,N307404866
LK KHN,N251844725
DE HEL,R7367840
LS TKO,N4273662591
US RD2,R181569
DE ER3,R1258361
US PAD,R183131
FR CAD,R22319
FR ZKA,R33339
NL LGI,R272202
BE WAL,R191673
ES GZU,N3590183306
US DBM,N151351475
GB GBO,N499323181
FR UBM,R379904
IT GOS,N5435418846
GB FAL,R5822224
GB WBO,R2962566
US CTQ,R180151
FR CUN,R77288
US WPL,R2389805
BR OUR,R362530
RU THV,W25880235
MD CAL,R5736307
US KHL,R197291
GB ST2,N25522967
US M8D,R181652
AR VLZ,R1748168
IT VRA,R44622
US QUY,R134964
IT SUE,R44358
CN QIH,R5679931
US ZSB,N158333792
PL PRZ,R2632581
DK SKS,N9463131170
US EN7,R237800
ES DRI,R340641
NL SOP,N47466462
US E3T,N153356060
FR BNP,R74112
DE KDE,R3680170
CN CNH,R3287298
US BO5,R119822
DE PBN,R56350
SG PNR,W795855459
NO LEK,N601079339
TZ MUZ,N259711489
BR MAY,R362415
NL GTB,R299091
FR AY9,R2215575
US IYG,N150951309
US SKC,N158625490
NO BGO,R404159
BR IAO,R333989
FR GD5,R74343
GB TKR,R1859212
FR AU9,R113872
DE OET,R158018
US CVD,R7162874
FR 8HC,N698828660
US W3S,R251450
DE ITZ,R152790
FR PZE,R906990
NG LAG,N27565124
US REQ,R182641
US SJI,R903163
IT VRI,R41454
BR BAD,R297474
DE BTO,R935181
FI RAH,N638679155
AR CUT,R16093211
PT VPA,R4195186
FR JPN,R392473
IT GBA,R46091
DE KRA,N3955578737
KR GOJ,R7578884
US W5I,R251766
CH SSH,R1683708
SE ASM,N267113299
FR VVM,R1156167
DK BKH,N2241601154
US SGV,R2669756
AU UCG,R2397445
US LMK,R3049306
IT PMB,R46286
GB SOB,R2403977
LT KLJ,R1713458
NO GRE,N32557367
US TOU,R3143397
UA TOK,N337546573
US YSR,R129881
FR YRY,R240375
IT ALN,N3483689131
RO BUS,R10694433
FR TFU,R123840
AR WIL,R2145974
FR DYY,R2653799
US LVE,W846719706
PL WRC,R2911372
US TXQ,N5441453441
MX MDB,N4441103633
ES OLO,R345997
FR RTT,R372649
AU PKY,R6227551
PL 2KS,R2908855
IT SEF,R42647
US OIW,N158809450
US CBP,R110570
AT SPN,R114894
FR M2P,R1477135
CN JQI,R14179186
IT C6G,R43763
US AON,R176155
SE SOM,N501866160
ES FF8,N349243978
IT OSG,R46479
BR PTG,R297796
US DSS,R198736
US BLI,R237440
MX NDJ,N1098939254
LK KAN,N2908772560
US SAT,R253556
CN LIX,R5655202
ES CNT,R343795
FR URH,R76925
CN XTA,N244082152
PT CSJ,N2682307071
RU AZO,R1118893
CD LJA,R9405603
US NAN,R119959
AU MVK,R6205763
FR DTM,R75338
US IS8,R175733
US MLU,R132071
CO ESN,N8332735283
ES PRN,R342089
ES LGE,N288260827
DE KUL,R1022764
ID 5MT,N1308670176
DE CSH,R556652
LT MCI,R6798132
CR TRE,R5413532
AR SCA,W1075081537
US AQA,W409409438
GB RUW,R11290919
FR NRU,R120068
IT LU7,N63622129
FR YGS,R192374
FR IMR,R1531789
SE GRH,N207559120
US XWS,R253549
BR NUB,R333618
DE LAI,R915557
US CRA,R238074
AR AST,N198439656
SE KVM,N25313850
GR SID,N246628829
BR KNO,R314814
DE WAG,R1891491
US UVC,R10921166
CA MLO,N494980804
NP SUN,N3480038893
SE EBG,N365747308
HU MGD,R1385398
SK KRA,R2274815
DE BUL,R1188919
FR GWB,R78931
GB DGT,N56107233
AT SVO,R965536
FR PML,R142127
VN UYH,R13477425
US UBF,R187289
DE REE,N30461828
US EWW,R129612
FR VRB,R70355
FR EVZ,R281841
AT BMF,R3831407
FR NCN,R1270593
US HMV,R119862
FR TGM,R135615
FR HD9,R941014
FR 9DM,R457000
DE BDM,R422692
BR SZS,R334485
DE DE3,R534091
SN DKR,R12982139
FR A7Z,R1610515
BY POK,R1749243
EE KMM,R350743
US XEK,R127621
US O4K,R130720
CZ 5PV,R440569
FR CSD,R334259
DE VI9,R9886848
US EXV,R242786
JP ZAA,R2689473
US GV9,R193989
US XVR,N153750103
FR OSM,R156589
FR MVO,R269925
NL SBG,R300177
US 2CU,N153719127
NL BLO,R2181870
TZ MIK,N367106761
US JNA,R131967
NL ZWA,R1883618
NL BRU,R1579178
DE CNZ,R414483
CN RGC,R3283326
DE NWC,N443783176
US QXZ,R132834
NL DIE,R2679598
AU DBO,R5807047
US ECN,R13745118
CA MSM,R11295543
CZ TYL,R441249
BR EDP,R297625
US QBM,R12935560
BR RHS,R301061
US HYH,N158627990
IT SMH,R41195
US NFL,R170102
US RUP,R129628
BR JAA,R302519
US MFH,R170009
HU SMG,R1368054
FR PK8,R126604
US QSA,N151705970
SI ZGO,N144702206
GB INR,N561153332
CA KLM,N51972486
GB KSM,R2961932
CZ PNL,R439136
ZA CDO,N25919858
TV FUN,R3766660
BE HYV,R11651994
AU RMD,R10624834
FR MN5,R418228
GB LOL,N577239223
IE DAL,R4296835
DZ QBZ,R3416774
DE ROR,R3550626
AU HBA,R10632745
BR OPE,R325854
CH SMS,R1683906
NO SSJ,N31264135
GH ACC,R12803764
US VIE,R125820
DE UBW,R659813
FR EH9,R1169695
HU PUZ,R1078446
IT PHV,R44033
FR 8SM,R907249
US YRB,R127014
US SKU,R187721
ES OJS,R342436
GB MLS,N346426307
AU FRE,R11689400
LU COL,R1333116
PL ZWK,R3101303
FR BH9,R1279523
US JCJ,N151589086
NL SCO,R2714653
NL WHL,R2721172
NL VET,R1378392
NL SBR,R192878
IN BMV,N245636751
CH CBN,R1684882
SE BOT,N308025913
FR MMR,R1137254
ZA ZEQ,N31104701
HR KGA,R9297945
US M7P,R6885705
BR AVQ,R1828251
CZ KMC,R436756
US HRD,R142493
US LFQ,R188013
FR I33,R89774
ES DBA,R347044
ES ATE,R341435
NO MSY,R406646
CA CHY,R7903230
GB ENS,R2275833
FR CHK,R33914
NZ OHR,N333973807
BE SLH,R1184308
SE ROT,N34911826
BR EAD,R242419
SI PR4,N270472102
US 2NC,R13898967
US YBD,N153382504
GB TOE,R1271829
AR SLU,N1831212974
FR OPS,R1289587
DE WGM,R356752
FR FSA,R116947
US FCA,R142534
FR SMQ,R1206593
DE NRD,R2456879
GB RNF,R7582916
BR MSM,R314771
US JRA,N158501785
CA CHW,R7478453
CH WTW,R1682718
FR SSS,R90412
FR ZUY,R1851826
NL ATR,R1422097
US KKA,W32973938
KE ISL,W328243096
PH GAP,N198498273
US YOG,R122984
CH ASC,R1684618
IL MTR,R1376828
TR DEK,R13372715
FR BH7,R386579
US GNH,R1839634
