HU ORO,R1027762
DE OWF,R1352969
GB ILK,R7184998
US LOC,R182619
BR BAH,R303819
US 7CN,N153647775
FR YUE,R156677
US IO8,R184206
IT PTQ,R42375
US PMI,W33614320
US IAY,R114475
CN SGG,R2402649
FR ZBN,R1998702
BR RAE,R326254
US MZ9,R187201
DE BGW,R443592
US MVL,R8890137
PL TRO,R3118665
AU RCF,R11677687
IT GBL,R45001
US M25,N153893110
NL RTM,R1411101
PA NGN,R11485624
US MI7,N151702952
IL 8UH,R1393009
US DRP,R188418
AU RPA,R9095871
CL CBD,R113204
FR XBV,R118086
FR MEX,R272178
FR HS8,R906091
FR ETH,R417554
US XBF,R3072935
US ZCG,R110539
DE MUG,R1021700
US L7Y,N151448547
DZ ZBI,R4873727
CA HUG,R7927118
PH LIM,W250193974
BR APO,R298422
FR WLT,N290397242
US BWE,R196062
US 89M,R238076
US ODI,R251846
US OGT,R137319
GB S2T,R1875309
GB BYH,R11231212
MM LSH,R5996683
US OSF,R169362
FR C5D,R280363
UA PMY,R4238150
PG TKW,N10911913524
DE BDW,R357057
CZ DPL,R439583
IN SBT,N4486450276
CH MTM,R1685616
US HPY,R113542
BE ZLE,R1260083
US NOQ,N158571499
FR RMI,R280385
US GUO,R8529792
ES VTT,R340196
DE SLE,R1817105
ES TU6,R12656115
ID 5TR,N2578080305
SE DNK,N322478183
BE AIS,R2377747
ES VM4,R340063
GB NSE,R1607224
BR POV,R242402
IT MOG,R45299
GB SRI,R2616831
BE NHY,N6765244550
NL ELD,R1419293
FR DXO,R963194
CZ KCY,R439621
BE TET,N203844171
BO PEL,W533632258
PT IGH,R6437620
CN DKO,R3307095
DE KGJ,R388817
CL BUI,R660816
US BG5,N151889177
CN WYP,R10791084
CA WEK,R6605861
US YNE,N158264129
US IPP,R130905
US MMC,R186667
US CSW,R119688
US CSU,R135187
IE DNB,R6960903
US IYQ,R128760
PT ADV,R5403266
AU MGE,R11677918
US IQL,R237964
US OB6,R136826
FR L8R,R115865
PT SNT,R5400573
FR B9Z,R134295
AR POM,R2788112
US TNV,R206763
US EKO,R170111
CA BHM,N1862424196
ES SFJ,R344597
JP TZA,N7499857883
DE RDF,R452395
US RFR,R8889891
US ZNR,R182102
IT VEQ,R40640
BE BAL,R3867128
CN JOK,N8128044567
FR TLC,R2371819
AT TEN,R34887
BG SAD,R13490808
ES CTA,R348069
FI OLA,R2525923
US THB,R137116
DE VOL,R284500
DE HE8,N29927109
GB HXM,N29356234
US VE9,R182303
US OJB,R121463
CA WIL,R9285595
SE IDB,N32573433
CR COR,N4632545826
DE BHE,R275075
FI VTO,N4799773758
FR OHS,R56082
BR SHL,R242649
FR NB3,R5815728
SE FVK,N276858152
FR YUR,R109830
NL OHN,R1380704
US WLW,R7312639
GB TFR,W28732889
FR QGH,N5555955390
CN SSP,N8411086632
NO HSD,R412356
IN KDD,N3995495928
PL OPL,R2852174
IR RZR,N729168197
LV RUM,R15743047
IT MFN,R42436
FR MPZ,R544434
IE ATN,N596136753
NO VEV,R408214
FR BOP,R150546
FI JVP,R36107
FI YMY,N30969869
FR ZCW,R1963109
BE MNE,N664771097
BW DUK,N2468163879
CA TBR,N29661152
US ORA,R170655
FI JKK,N3254916483
IN SIR,N802370000
GB GDK,N320693277
IT ROQ,R45213
PT CAN,R5379539
US H7N,N154073666
US RSZ,R5608123
FR XHH,R145044
FR LH3,R124044
DE OXG,R405821
FR 4PR,R92910
AU BXI,R5573665
PL MIL,R2401287
AT KOT,R446281
RU KAS,R4574292
IT ZJN,N1705675420
BR IIP,R302579
GB LYX,R2576781
DE MAD,R336517
FR YXT,R107478
PL BZI,R2919485
DE PXD,R1108055
RO VD3,R10495786
US 8HR,R2030454
IT ZQE,N330490111
FR A68,R915398
US ALB,R175549
CA EDM,R2564500
US BAT,R181961
BR PRZ,R297820
US QRL,N158579724
FR LD8,R2061137
MX MTY,R5606060
FR ARL,R73911
GR SMI,R11814883
US PBX,R140726
DE HZU,R2783927
SE SLF,R935624
FR PQ3,N370440215
IT MES,R40543
DE FDL,R405783
JP APP,R3994410
US HEG,R181397
FR WNB,R1236014
CN CZX,R3429666
FR RYV,R70727
FR SEK,R3238793
US WR8,R3155204
BR OLS,R296782
US HYS,R130290
SE FIK,N350552439
CZ NCA,R438413
JP TAR,R5360501
FR SB6,R139130
DE USE,R548976
ES PAP,R341787
FI LVU,N1650294163
US AT9,N3811458396
GB BSX,N309185540
PH PGC,R10359101
FR ZMX,R223565
ES RCV,R343086
PA QVL,R8420725
DE 6KL,R1249954
PL JAA,R4847930
MX SLP,N269905839
GB AFO,N241795518
FR IMS,R86616
US HG5,W32977684
US G95,R182281
DE BO5,R2856986
IE CAM,R5235295
US LTT,N158905438
NO KVR,R407768
BE MDL,R2164171
MX TEV,N458606393
US IIW,R11636162
PL SIZ,R2832467
IN TN9,N263014503
IT RAR,R179289
US HS6,R188559
BR SMM,R2215556
BA KNU,R2528222
ES BCI,R345241
FR TTB,R78300
CA CTI,R4189476
BR BMJ,R242338
US EOJ,N151794657
ES BCC,R341293
ES MBB,R345941
US 55C,N150969827
US YHM,N158903711
FR ASP,R163290
CN EZH,R3086618
FR HTW,R109790
IE GOT,R5149803
ES ERA,R343971
DE WEP,R1252490
BR AIR,R242612
NO AHM,N775800568
CZ NLV,R442081
US M2A,R182594
ES VVQ,N288260310
FR VGR,R2066195
IT DOR,N4406284763
IT ISM,R42371
DE HOT,R1016532
GB LCO,R946741
FR HSH,R135490
GB NNT,N3854743160
BE GLK,R10514908
PT SCF,R7397639
DE SMB,R1322562
NO RIN,R412414
JP SHD,R4051395
DE LOA,R453366
GB KIC,N651961780
IE CBY,R7033849
US F2K,R129129
US 2OV,R182092
PL ZTY,R2990567
FI KHT,R2506379
AT LBU,R8894785
SE BAR,N367321995
RO BNS,N6377921147
FR HTR,R113761
US MBH,N150963817
NO TOV,N3375057895
BE SSN,N469378987
IR BND,R7072823
BR TDP,R302748
AU BLY,R2384345
CA SFI,R8099225
ZA DZA,N2147352361
FR GXA,R1342038
BR PBD,R297642
CH RUI,R1682201
CA INF,R10641714
RO COM,R10715787
FR GIL,R88824
CH MWI,R1684545
JP ICH,R2679914
SE FBO,N2385741467
MY SPS,R12226928
PH SPB,R6490067
EE PLA,R350666
RU TMR,R13292273
GR SKO,R2363110
GR PYR,R2178179
ID BAJ,N10957525362
US EIP,N158293853
US ETL,R1181611
DE 7BK,R423179
US 2BO,N151722432
DO SAM,R7386746
FR V37,R79616
CH CSR,R1685475
FR LF8,R399599
FR EAO,R76341
US ZVN,R129526
US MJ2,R188817
TR VIZ,R1835621
GB TRG,R11376455
CL SAI,R296816
ES ZCJ,R343354
AU BAR,W225518178
JP SMK,R2689426
DK BID,N2221866536
GY KAI,N7627106740
US AYX,R199076
BR TDI,R242648
DE LSG,R535929
DE LDG,R3729201
DK KOG,N26559214
BE GIE,R3875089
US IYA,R185208
DE DDY,R447345
DE GN4,R422404
GB EDY,R6196226
US P6C,R141115
US AW9,N158908007
ES CGT,R339967
AT ADO,R3837189
US EV9,N158275638
PT BNV,R5400566
CZ HLV,R437812
US MNJ,N158893238
BR GEO,R302730
IT FFC,R39350
IT L2Z,R44980
ET BJR,R13422216
FR VE9,R568889
PT CNA,N257173617
BR JNC,R301147
PT TRR,N2022135522
FR OIZ,R88930
FR ML5,R1013802
NG SPL,N501482915
AU ASP,R11716659
FR VGX,R153714
US 3XF,R1936104
FR MYI,R1229915
US OOW,R238237
AT ABU,R75107
US MLX,R3143382
EE JGP,R351989
AU PKT,R11716594
ES CI7,R341012
ZA FBG,N262706280
DE KTR,R1253984
PH DAS,R1488071
TR ESK,N25869769
JP NHI,R4036505
US FLQ,R14988937
SE ECK,N571791457
US ZAG,N153660123
FR LVG,N832042909
GY KAR,N7626490892
SE LJB,N278117469
US QGX,R8479661
CH CMY,R1685524
DE UNG,R943753
DE NFF,R30012
FR A8U,R1173292
GB RYH,N29271129
CA TBN,R7704070
BR PFO,R242585
CA YIK,R9389089
CA WEL,R2387988
US WLF,R118862
DE HEM,R1015123
US NPV,R124885
SE NRH,N7056697962
UA YAL,R3005461
ZA SYD,N262722240
CA HHL,N3485270534
BF LEO,N329970953
DE WID,N60015697
SE TAG,N2388369013
DE UN5,R388770
BZ CUK,R11520785
NL JEV,R1475810
NL GOY,R334812
DE OSM,R410481
US FAV,R2396246
US CRF,N158905851
BR MIE,R336750
JP KNE,N2173342266
CN QIX,R5679063
ES PDB,N50863233
US DPT,R2310548
NL KAM,R2696270
US PWT,R5371116
DE FCI,N6283271549
FI EUA,R2378804
PY GUA,R6601479
US KNI,R180073
US XCH,R251870
BR SLZ,R332923
FR QIS,R1359106
NZ HAW,N7839288325
PT FRL,N267932725
CH VTW,R1684568
IT AB5,R43508
DE F2Z,R1124270
BR ADL,R296601
SK HLO,R2205354
US THK,N154151331
DE XYA,R386919
FR ADJ,R74426
GB XMR,R3506933
ZA KMG,N262720858
AU DYM,R11676757
US MAF,R2374903
CN BHY,N244076812
ES ZLI,R340217
US BTT,W32975557
CH OFE,R1684384
US U7T,R198718
BE TUR,R1274122
CZ DVI,R440795
ES VC8,N349244068
PL KMI,R2434304
US VXA,R121212
DE 65E,R288958
US WBS,N158867394
BR YPP,R302561
LU WIL,R1357531
AU D8N,R5501730
GB IVY,R3561765
PT CVO,N3787412431
US POI,R125876
DE UEO,N1253155251
DK PAO,N26559204
NL WID,R1458732
BR ENS,R242447
PK MLI,N3467175792
BR SJD,R296717
US N4Y,R132570
US MYN,R1935153
HU SUO,R1361448
SK SU2,R2273329
FR LJL,R934920
FR BG2,R153666
CZ XNL,R437298
AU CLF,R5634048
CZ LBY,R439459
GB BSD,N18167377
CA NSY,R9190642
US UZD,R179811
US AIK,R193854
AT LUW,R36728
BR MZL,R301389
FR SFR,R79617
TR KFZ,R1211492
US JNT,R189316
IT ZOW,R179198
DE INF,R1252463
ES COQ,R344556
DE 72F,R1418656
IT LOO,R47028
US TAG,R180018
ES ZCL,R13605628
IN BRG,N245694333
CA BDV,R2830098
DE 3DV,N264661187
DE EBX,R179470
BZ SPR,R11520689
US VQV,R134982
DE HAW,R1451519
US AYH,R237994
US MAQ,R113453
HR MAL,R10025163
US BTX,R127070
CA CRO,N52552992
US NOB,R237364
ES RSN,R345373
US FLL,R117955
CA DYV,R7997256
DE WTZ,R962204
TR BKC,R1263748
NL NKK,R419142
PH MCB,N4631143901
DE WRR,R1250226
FR RJJ,R107280
US MY3,R112336
CH EDB,W277744423
FR RVQ,R1374200
AU CRY,W143895606
FR VSW,R142099
MX HHY,N1703101365
BE LVW,R3388167
GB VID,N1291031103
PT GCS,N1554263273
BR AAI,R336746
GB HLV,N27537088
MX AZ2,N3625363503
GN TOU,N2462970438
FR VIZ,R105086
CA SWD,N2100512454
DE SPE,R62352
GB KTT,R933080
BR RIB,R297937
SN SKN,R12995348
TR AHM,R1761487
IN OKH,N1531427897
IE PBE,R5492815
CH ALL,R1684832
NZ SZS,R11294422
JP KZU,R2679921
JM NEG,N290111762
DE TNF,R548577
BE GOK,R1069849
FR CLX,R269918
IL SHI,N278476254
BR RZA,R297679
CZ EZI,R440073
CH WTG,R1684458
IT FAG,R45604
ES PCN,R346851
DE NOK,R157718
DE ZHK,R161681
DE GBU,R543185
CO N6A,R1343387
DE BEG,R941837
ID LOM,R10107686
BR APR,R242642
FR LSQ,R58175
SE ALN,N7473117678
CA WVR,R1524231
DE UB2,R1955400
US HR4,N158592774
US 7WL,R239990
US QHP,N151802826
TZ LUY,N257916259
CA HUP,N670321134
FR TVY,R115248
US VHO,R183465
FR YNG,R1771579
FR MNY,R2746204
CA NCV,N1452535397
GT PAL,N763447749
US CL5,R124866
ID RKO,N1308474329
PL KIE,R2747669
FR TMO,R124955
DE LEU,R2806741
CA SPW,R2221424
NO IKA,N9863335972
PR SJU,R1953332
ES SL4,N11049206198
BE MSU,R2105649
NL ACK,R385153
DE OR3,R1245074
US OXQ,R127766
DE GL7,R165447
JP YHK,R4115695
PL ZEB,R5642025
FR UPY,R525562
CA YYF,R2229870
FR AN8,R158800
FR AZS,R115802
DE VLL,R1451524
DE GVN,R155710
HR DOV,N730684609
CZ PKY,R441289
BE AGE,R3464942
FR FEI,R139173
FR 9CX,R125487
ME PVC,W224470365
US B5K,N151662881
BE HTN,R11134858
IN PMP,R14141771
NO EPA,N298009913
BR GOY,R334604
US ZGV,R118860
BR PUT,R301354
FR VTL,R939961
CH THZ,R1685164
NL HZE,R2078296
US AD8,R7414321
BR ULL,R296634
CH VSY,N2319881411
AT MEI,N240101308
NO KU2,N2985798939
US PPL,R126315
AU BFR,R11692249
JP TRM,R2689473
MX ZCL,R5606652
AR HIC,N198452233
IR AZD,R8188592
GE ZAB,W31970772
DE ROX,R1244230
US RGK,N154073737
GB HVG,R1022695
IT SI2,R42335
RU POY,W120342791
BR SGD,R326261
DE MHB,R959862
SE VBE,N55083550
IN ASL,W451500979
US ML2,R188165
US ANT,R181513
US EOM,N151407514
GR GAI,R2348442
JP OGC,N8318832530
IT ZKL,R47237
US RQV,R119490
US D3G,N157608849
NO FSR,N10093288766
FR NZS,R255673
US IVJ,R127896
RU KRA,R1430616
US ZRG,R181432
US LNB,R183328
PT FDF,R5378424
GB BTW,R2890334
IT OON,R45167
BR CCA,R362222
BY BZA,R6722391
DE BSX,R957077
FR 5IH,R154358
US DB5,N153695529
US BW9,N150976811
AR GMA,N198451484
DE TIT,R941656
US NG6,R137110
DE 7BO,R2536212
US VLP,R126639
CZ L8S,R437868
US KEA,N158858687
US UN7,R130489
BR TRU,R298382
BO SLC,N1802652901
BE MIR,N668635881
US CWT,R132007
FR 2JF,R223975
FR LV3,R415033
DE GOK,N279851184
BO STH,W215817831
FR CEQ,R91734
US JKA,N158553936
US TLU,R125893
US XDL,R133802
US POU,R174952
FR VUT,R123730
IE CFI,R6897798
US KAJ,N153867703
DE SNY,R958095
US C3B,R169564
DE OPG,R2179202
JP HGA,R358696
FR VV5,R3004693
CH BOC,R1683638
PL OMZ,R6633943
BR DOC,R296621
IT BOZ,R44197
IS VIK,N59861511
GB POP,R4077993
BE BOV,R2132103
DE 2BD,R9280547
DE HWR,R3434546
FR MQK,R296282
DE KOA,R2090553
SE URD,N256330522
ET AXU,N298296175
US KBR,R132277
DE UGG,R452195
FR CO6,R166320
IT OZE,R43110
US HVX,R135204
US PTC,N150919396
CO PPN,R13111838
RS SCA,R10472160
VN STC,W1173821117
AU WSJ,R10604245
AR AOL,R3157189
NZ WHN,N3216519999
DE H8H,R1268949
MA BEM,R2882613
GB BK2,R1875138
FR S47,R1771365
IT VDB,R46055
FR VEQ,R1414649
CH DTZ,R1682423
BR IEG,R303845
AU 7BM,R5937768
FR IAL,R121916
US BD4,R14024078
US FNK,N150918508
PH MRA,R1491420
IT CRE,R44189
CZ DSI,R437214
FR CYL,R1616567
PL PWD,R2681509
US IOZ,R175865
US YHD,W703254493
FR OOI,R1986545
FR MG9,R454975
BR MVL,R303778
CA EPG,R9101569
FR SKG,R254618
UA UMY,R3678531
CZ SAV,R439890
