DE 53Q,R1474024
FR FIR,R3327158
US PC9,R129810
DK BLB,N3156655327
US WZR,N154036057
DE SZB,R1021714
US 8DN,N158846039
DK DKD,N8133999750
CH MSF,R1682558
DE SIP,R915420
FR LPM,R301797
ES ZOB,N1116488939
US CK6,R188287
IT FBN,N11013004445
BG OZA,R1916938
FI JSK,N30969595
GB BFI,R3872695
BR BFM,R326289
IT VEA,R46498
DE RIL,R1252771
FR MG4,R139669
FR RR7,R1206586
US SV9,R188409
US KTZ,R185042
DE VIK,R934478
AU MBD,R6059143
US TXV,N158638572
GB RTG,R6722122
FR EVG,R124402
IT BAT,R40609
IT PTE,R45345
PL PTA,R3126669
FR CEO,R88808
ES VVA,R343694
FR V2L,R2180154
FR ZC4,R103918
GB PBK,R1398643
RO RHN,R10748298
UA YAV,R7992875
DK SPJ,N8744982972
RU TOX,R3348770
US MEQ,R117159
FI RLI,R1214216
LU TDL,R1337083
BR CMZ,R333646
PG TLW,N8354985062
US H98,R8283180
GB MAO,R1407956
BG SWQ,N273874572
PL WTW,R2618454
BR PVS,R332821
CH ACQ,R1689233
ES WQ3,R341931
AU EDW,R8355216
FR U2M,R910714
CA MUC,R9133151
DE VSS,R1059462
IT AG3,R40646
FR SVS,R400118
IT FAI,R40820
DE EPR,R1259307
ES RHG,R341304
CH LGU,R1682525
FR CFR,R149197
FR PI7,R179549
IT M3O,R46108
US BTE,R194147
FR IOS,R123778
RU MCG,R15401510
US RDL,R170558
BR XAR,R242735
FR M4A,R123554
IT SRI,R45687
SE MBA,N308053449
PL MAG,R15039857
CA LON,R6948543
FR V5G,R957099
BG IOV,R12643902
IT RSF,R40946
IT CVA,R41919
US PVR,R13853241
GT AGA,N602914594
FR LIZ,R34278
US 3FY,R125945
US HXC,R114799
DE BZI,R161968
US QPI,N154085399
US OIL,R187833
US ABA,R118901
CA YEV,R9476864
US MO8,R126930
SK CTE,R1556721
US AP7,N154144359
CA TRO,R6644996
FR LDU,R1270491
GB BNI,N1677531727
US FMI,R134541
FR HFE,R1140582
ES LLK,R343954
GR QKG,W115921697
AU WYY,R11675275
FR T8V,R150946
CA VAA,R8110668
FR EEN,R2816555
DE ZJA,R1028550
CA DLI,N300479055
IT FTL,R42103
SK VSC,R2386559
IT BOF,N452631172
US HKU,R111070
CA EAS,R2989348
DE NZS,R1050566
CZ JSN,R440926
US RPL,R196027
ES ARB,N965187451
IT CN6,R45224
US KLB,R128692
FR YDS,R93547
FI PAI,R2506382
FR FUR,R1782543
US SIK,R141440
US AHP,N158826072
PK NZB,W520289297
CN BHE,N2492312431
FR ZAL,R1469662
US KN3,R180346
MT PEM,W276525396
IT VEI,R44158
FI HVA,R11544604
HU NHB,R1444177
ZA SNN,N262717631
PL SIO,N31582731
US LGQ,R133561
BR MRR,R332913
BG KAR,R12643879
IE CLL,R9376280
FR R39,R152526
IT SL2,R40688
IT FDM,R42777
IT LGD,R47284
NG APP,N501385962
IT LZL,R45515
FR YDO,R145133
JP TGW,R4008420
US WNB,R194076
AT ELL,R302036
DE 9BD,R2406066
CA CCL,R8064419
BR YUN,R314968
GB OTF,N5982124471
GB XHR,R2375041
BE SBG,N203844147
PL MHW,R4100760
IT POB,N1572829394
BR YNA,R362480
US BT8,R189013
US HBF,R130732
RS CVC,N357433621
BR SFH,R332849
IT SPE,R42842
US JET,R130691
US QMM,N153593282
IT SSJ,R42259
AU GLI,R6069889
CH HAD,N11076235613
BR DSL,R1828867
ES CGG,R344134
ID NBX,N541928444
RS KVC,R2869101
UA PRU,N288343483
MX CNA,N299494746
PL RZM,R2997464
DE DTZ,R1451530
BG BPK,R1974006
US APB,R6603569
US 8CL,R126229
SV AYE,N441928379
FR EDO,R116838
ZW HRE,N282335934
FR CBO,R163575
DE LSB,R2407132
IN JAD,W316805212
BR URP,R325884
CH DGS,R1683872
ES GER,R344808
FR BLZ,R85288
CH CRT,R1685476
BR GAI,R298063
GB RIE,N194545057
SV EZD,N4009876131
US LJF,R131640
IL BAR,W690152383
DK STN,W131818427
ES LUI,R344829
JP IKN,N8723840282
CA EKF,R2221419
ZA ERM,N51828236
CO OTU,N703187003
FR FEM,R2614557
DE DIC,R1588111
US NNS,N158616376
US NB7,N158270455
AU GCE,R6059053
FR ZZC,R2872088
IT FFT,R40522
SE KYR,N7474736152
PT VDP,R7540288
CN XIJ,N9128935905
IT PA3,R39505
ID CID,R9535025
JP SOK,R1768338
US PE9,R206997
FR PBM,R295985
CZ MZ4,R437887
US 4MH,N151540390
US 5DP,N151502540
IT OPL,R44375
AU SUM,R9102591
FR NOB,R2099810
FR TOF,R58648
ZA RDH,N30276744
US QCI,R136658
DE SIG,R173121
US CRY,N150935939
IT SXM,R41879
SE MLE,N27699429
DE M3S,R555912
FR BPE,R1082294
GB SPR,R2902518
US BK7,N158587967
MY NII,N560652347
ZA ZDE,N262708479
IT ZCC,R44556
FR QFY,R1227093
SE VXT,N345604415
NL LRP,R165268
BE HTV,R3900834
FR XDI,R1528171
SK PAP,R1676532
BR VMD,R302799
DE HRX,R1420554
BR MJI,R326297
HU RSP,R1432114
GB CRO,R2419635
GB BOY,R3334892
CA RSE,N106980300
US GXJ,R2016814
DE SBU,R448130
CN NWA,N9364043376
IT ZHA,R45664
DE DAZ,R6652818
US GAZ,R189021
FR VEY,R142789
PT AVO,N655287671
CZ DBV,R437174
ES SGC,N288259932
US LGW,R117437
UA OKI,W191937588
AM BRD,W177131869
DE MMJ,R1077554
LK MAH,N4448823642
ES PUT,R343342
CA SCT,R7785148
FR ELU,R2278193
FR SOU,R78845
FR MV7,R274368
CO QUO,N703523450
IT LAM,R43400
FR QAC,R1106285
IN CNR,N282403100
NO BNN,N31264079
DE BEW,R2885201
CH LAL,R1685324
IN DEL,R2763541
KI TBF,R3830777
DE BGX,R154557
NO FRT,R407287
IT BLU,R42786
BR JOA,R332939
FR CD3,R129847
IT BER,R45158
FR VTS,R417362
VE CBL,R14534562
FR PU6,R54187
AU HSD,R11693020
DE 252,R1149239
JP WNI,N8340492371
GB B8T,N243406297
DE RTJ,R453365
CA LVL,R8390996
PT OUR,R5400345
DE BIA,R537062
PL KNK,R2635724
ES ELO,R12654470
IT COK,R46058
IT ZTK,N257541648
NL TZA,R144728
UA IZM,N337696139
PG BAA,N2089338170
CL ARI,R269826
DE GKN,R449887
US MVI,N158861174
FR ZTK,R83293
AT OWD,R111498
US TSG,N150917040
DK SN7,N10044311531
ID ICU,N1308686587
FR CCW,R1561156
IT EEE,N385140946
DE BAZ,R455481
HU BZE,R1367850
US ZA3,N150945869
CZ SNB,R440095
DE TER,R2014149
ZA GHN,N262720448
US 4S4,R194739
US LL7,R135018
SE SKZ,N28350061
ES PLP,R345287
TR PLP,R15738084
SI SBA,R1676313
US H5B,R115103
US W82,R128555
GB JAR,N27159433
FR EUZ,R932293
BR AAV,R297563
US PTE,R135027
CR ABA,N3288895515
IT GNN,R45558
NO SOF,R408205
FR PTV,R2950535
US ILU,R125990
GB LTF,R1400072
US HA2,R132514
US PL5,R187455
ES TBI,R345594
FR AES,R58897
CA MCH,R11195311
NL DPH,R2706924
KZ ZAA,R3389772
IT OAG,R43093
FR WFY,R131841
TR OSZ,R1273954
VE CMR,R11051892
US TLZ,N151892892
US WNM,R174924
ES DYN,R347680
JP CXZ,R2682921
IT BDN,N1402453746
ES OGV,R341943
PE CIX,R1969728
PH PAT,R131653
LV CIM,R6649090
ID RAN,N1308677669
DK SKV,R1926905
FR U5S,R56045
US CGO,R175950
FR ML6,R1170998
BR BAS,R332880
FR USU,R222104
DE 2AH,R394512
SV ABP,R9222746
DE RAU,R444843
DE HRM,R1141532
BR CBA,R333734
GB SHE,N1501727751
BR LWN,R242528
NO OLR,N432815149
NL ZTM,R444099
DE ZBP,R2006836
FR CKT,R111493
PG BIJ,N9556226886
FI YLK,N252276823
DE KHC,R2793212
GB ATC,N247430281
CA DNM,N51972887
ES QQQ,R341091
AO PGI,N9709477031
CZ LKV,R440858
FR LXE,R149373
BZ CZH,R11520698
IT LZZ,R46527
US LPQ,R1217028
RU ABA,R2168517
NL OCC,R334060
IT VSN,R45483
AT EHR,R3818839
HU BCE,R1407268
IT URS,R42369
FR EYZ,R120687
CZ VOS,R441242
BR SDC,R2219096
LB BEY,N289346590
AZ YAL,W181050743
US FGF,N158646572
CH VEN,R1685634
BE MND,R4480761
EE KNP,R353396
DE FAB,R62418
CH SBC,R1683705
NL TOL,R1731321
CA MIB,R2221187
IT SEO,R41254
CL LCI,R191200
US IAP,R174465
US HP5,N151670168
US TPN,R169369
NL LTO,R2722736
PL RUI,R1582820
FR V8R,R1529748
BR SLG,R296542
US SZL,R140653
FR BQQ,R164214
NL VEL,R337638
DE MNR,R383695
US PDY,R176068
KR TSN,W619917244
CZ DMZ,R438583
DE 82V,R546630
DE OCP,R1819234
PA MNP,N2168161279
CH ELG,W300931900
ES FFF,R346533
CH NHF,R1684379
FR G3U,R388863
IT CC5,R44470
US QMR,R188564
CO TUN,N5548746213
IT BRU,R46046
DE AKN,R3848256
GB WSM,R2956839
IL DAK,R1403095
US MM5,R9201892
FR UVH,R117226
CZ KRL,R440155
CA BRE,N766216203
US TIQ,N158495469
US LKA,R117727
CN TGX,R13732690
US TZO,N151470609
DE HSR,R959435
DE SAC,R534385
IT CM7,N64776828
ES FUC,R346707
MX EZE,R4063575
DZ QMW,R6668180
US MN9,R171099
IL GRO,N278476936
FI TRJ,N563883510
US QUT,R6586810
GB CHR,R148744
AT THM,N240098876
CZ VLB,R438978
FR UY9,R131198
US YB9,R141749
FR RVI,R3018840
SK POV,R2320257
FR BQP,R403505
US VMA,R238693
FR PUV,R114355
DE RZD,R372846
MX GSV,N5050076074
IE BCL,R4505415
CH RGT,R1685130
GB LNE,N302322143
FR BEU,R296180
DE WLV,R153517
DE PSF,N30899870
US COT,R6587465
FR BDS,R1357320
FR KPL,R126521
US LMI,R2312768
CO PDA,R2346720
DE LOH,R173123
DE GRE,R7733278
BR RIZ,R242632
CH MRS,R1683359
US GXW,R7176861
NO BRY,N31264078
IT ZJD,N1438212986
HR BKC,R15910067
US NBS,N10159641340
IT MM8,R40511
IT FTT,R42544
FR TXM,R1024445
CN GLI,N8342936230
FR LM3,R2596927
IR BUZ,R8919905
JP IIN,R3967414
GB BQQ,R4229611
FR PSZ,R122435
CH BXO,R1683062
PH LIP,R6209763
US PYS,R189028
US PHM,N158857472
CZ BR8,R437510
PL SIN,R6243424
FR RDX,R3219343
CH ESM,N240044173
FR RDB,R2638743
IT IMQ,R42393
AU WBG,R6059341
IN SHW,N1782793154
BR MAZ,R298392
DE EIH,N31158742
CZ KRY,R439295
US EOT,R133388
IE GRH,N52270124
FR AXP,R5815454
BR IHS,R334602
DE OGU,R1309669
BO PAT,R4500835
DE GRU,R418613
US ZTK,R123454
US FOQ,N158576436
FR ZSD,R135850
US M9U,R125861
BR GOR,R242745
DE MS2,R1259314
US KIP,N151460706
GB TUF,R3563969
BE JSE,R12233305
IT GZG,R43855
US HVK,R13613414
AU P8S,R6059198
US XLO,R14988892
FR CZB,R146660
CA LAB,R8160578
IT MSC,R45718
SE HVA,N32940796
DE MZO,N102279429
GB LMS,R5649734
US RA6,R126670
HN SJR,N5744785555
FR ZHQ,R415117
US BMW,R187885
ZA MAS,N262709083
DE HDK,N370156746
DK VIB,N2278186810
FR 2NM,R124843
IT FUN,N251479344
BF GAO,R6195295
US AX2,R188601
IT OGR,R42463
BR ASM,R315311
GR TPT,N301924253
US ANU,N2144943542
FR FQL,R126528
NG EBM,N501496581
IT MZZ,R44690
GB MOA,W148898309
US ICA,R1217218
FR TVI,R2961445
DE FRN,R168477
BR RSC,R303892
DE BIK,N240066504
BR NVZ,R334456
LV SMA,N268080952
DE MRO,R1384847
DE RT4,R387541
ZA CTV,N60032632
DE DLL,R1245184
US CR5,R238662
CH N66,R7432566
US EEO,R139844
IT ZFF,R45732
US TBK,N158331385
FR VUG,R1300608
US LHW,N158817928
IT MSG,R45746
US BD8,R130622
MY SEI,N254073072
DE NQZ,N1699953023
CA BVE,R2851076
IT BTV,N64776494
FR CDH,R74562
FI KKK,N30969647
US BD9,R128642
FR LZO,R76387
IT BAF,R43427
US PCA,N150920852
IN HSR,N4454507056
FR UYI,R949229
CA SWT,N1389130094
GR GAY,R12210722
US MV2,R187886
DE ADL,R943553
FR RA5,R386278
US LRX,R128755
GR IRA,N246628828
BR IGW,R298272
US 4NE,R169735
ES QFU,N33105729
AU 5TO,R2402480
GB LBT,R1434432
DE OJO,N60199021
FR TMR,R372156
IE RAE,R7026108
GB ABY,N2121641372
DE GAO,R1248574
EE VLG,R351435
SI SZR,N1698217054
BR PUG,R242679
DE UPS,N3059796738
FR FSC,R122378
CA OGO,R9245405
FR RFT,R120839
GB LLU,R2559557
GB WQL,R6317855
DE LUP,R1028818
GB HSD,R2280908
DE ILH,R418622
BR MZO,R331475
US M9Y,R253782
FR DIY,R296936
IT QOY,N4446265118
US UBT,R361301
FR JRU,R398251
RU SLO,R1560826
AU R2A,R5503088
LR VOI,N2189959219
ES A8R,R343552
CA SGD,R7710957
CN QDO,R8009231
CA SRB,R8064411
DE 79N,R410488
US RT2,R128909
BR MSC,R296575
US YBA,R6603563
ES BOM,R347274
GB NFO,N56107280
ES RBL,N2063696038
PL CZB,N692632764
FR TLE,R104501
AU LPS,R6683047
FR AVK,R285141
US ZC6,R130034
US MNR,R179931
IT GVN,R43612
US XIO,R188515
IN BDI,N1523328983
US WST,R7723824
US BON,N151408226
PR FLO,R1973498
PL SBM,R2813158
GB DNH,R7185193
US BB7,R183137
SK MJH,R2203983
PH STO,R14639804
FR DRO,R38572
US WW9,N154180169
CZ VLN,R437963
HR PRN,R15807058
GB CHM,R2553404
GB DGV,R4868924
GB ANT,N267762485
DE WIA,R3496544
DZ QZN,R6559416
ES LIO,R348102
SI LJB,N305560318
FI YJA,R156823
GB BCU,N275046048
US JHG,R133307
SK PCV,R2140182
US NFM,N158917208
PL PCK,R2991297
US 8QA,N6286944739
BR AIO,R303680
AU EVD,W143823235
BE OTL,N441889079
GB CRS,R3411503
BR TGD,R301182
JP WOT,R1768312
CA WHL,N139339178
CL COD,R1664153
FR 98Y,R2957573
AT EIN,R111113
LV CES,R1801823
BR APU,R297505
US GPM,R4198751
BE HLG,N351473137
US BMR,N158898480
US DWU,R134934
US UYQ,R9260621
PT OES,N268247140
BR KRL,R242542
US TJS,R175538
CH BRR,R1684273
US FH4,N150962933
IT CC8,N3698487209
IT CGE,R45353
US P9C,N151515539
GB XGO,R8276005
CR SAB,R5670203
PL PZW,R2663412
FI MYL,N30969721
GR AGE,R6102830
FR 6OD,R164851
US WO6,R181699
ES DCL,N1480356279
FR RGA,R398943
GB KLY,N7606380797
FR RML,R113030
CH ADL,R1682357
BR BAT,R297907
GB ALL,N26515531
US NVI,W656337816
NO SLX,R408484
US RQB,R194711
IQ KUT,N599473544
ZM KAF,N255723997
