US JBK,R2833528
IT CLU,R44333
GR EPM,N146494736
ES BAV,R340663
HU TZV,R1446108
DZ NED,R6666571
IT BME,N1165090119
PL DNW,R2643779
CA LRI,R7710969
MM GWA,R5996607
US RPZ,R9100916
GB MCH,R1539645
DE XWB,R1352961
DE URB,R401642
US S5K,R237878
FR PYZ,R108652
AR GBE,R13459538
NL OHE,R300170
FR PVY,R124128
GB EEW,N29369461
GN BTY,N2151285395
US RQC,N158624917
BR OES,R314715
ES DNA,R347678
CA ATO,R12122148
SL KSY,N372618813
CZ LSK,R442430
GR GAE,N1841457629
US IA8,R128964
GB WHC,N24466233
NL EUR,R1411106
DE VAB,N104415152
US GWQ,R137508
TR KPE,R1211033
FR ZJU,R415219
SK HOL,R2193413
ES PSO,N28978810
US XPR,R195221
EE KEL,R350934
IT PP9,R42245
FR SQX,R1197916
IT BCB,R39598
ZA ZDI,N262708867
US BB9,R169699
PE PMT,R1969751
CA SHO,R7698649
CA VVL,R7997260
PL KBS,R343261
ID POL,N1308642135
GB CCK,N29814352
DE RDV,R173815
UG MBQ,R14723588
BR MRT,R301057
CZ SDL,R436717
NL PTT,R144734
BR AWA,R362287
NO SPY,N253185821
ES ZSA,R343582
BR JDT,R301363
CA SOM,N309362965
US FCB,R13798448
PL BWC,R2181380
US RAL,R11051996
GB NSG,R2587604
IR FAZ,R11170848
IT MRD,R42797
DE KHN,R450224
FR CVC,R124650
US 4MT,W606593707
AU BOT,R3096854
CH SZS,R1682667
CA LNZ,R9166507
ES LSA,R343458
FR LVD,R113073
JP OAD,N8317827920
SE ASH,N367863505
PT IDN,R5395738
RU SYR,R2872044
BR LNN,R242659
US UPU,R119779
GB BTY,N14191390
BR LSA,R334590
US PJB,R6836418
MX CLN,R4063548
DE LDA,R395350
CA YDV,N1347125018
NO VGA,R412410
US KIA,R192160
TH MAT,N1802908990
BR ATA,R303816
JP NSS,R4567435
RS KJA,R1279955
FR M7Z,R2952233
ES BEG,R340145
NO FLS,N510834622
US XHX,R10076998
DE CL3,R1245190
FR LFF,R54526
SY LTK,N192288043
US PKV,R237598
PL JKA,N472381307
BD TEJ,N9024489330
FR HTX,R117879
PY LAM,R3678799
NL KRM,R337721
PE NS8,R1899037
IT UAN,N1424126847
IE CAL,R6807544
HU NGB,R1368023
NL MDG,R159049
ES GJR,R344682
US C5K,R126259
SE LUG,N588526422
FR SWC,R142111
DE MRN,R4166042
IT USS,R43136
FR QCY,R191464
US EQI,R141364
DE 8BV,R1457061
IT MTM,R42432
US IHR,W33172059
FR XVD,R2607794
PA CHA,W1056542352
ES BEI,R339672
DE LUB,R1389285
SD RSS,R4680123
CA OTM,R8803553
US PLE,N153768207
FR WLO,R104826
IT P9C,R41899
DE SUT,R2673370
BE TSI,N382020680
TR DOL,N7863165049
AU SSM,R11690979
FR ANN,R163173
US HB3,R186530
CZ SCL,R439008
FR WTM,R48079
BE MEI,N5204421512
FR VUN,R2134715
AT NRF,N211259350
TR YES,R9449714
IT AV2,R40919
GB LDW,R11559909
PH BNY,N2527297372
FR AY2,R2317364
ES CLC,R346148
US QLV,N151656969
ES MD8,R343516
US BQI,R136670
ES VAJ,R341108
FR CWB,R141753
BE LPM,R2246020
BE BQY,R12228088
CZ CLA,R437638
US CJL,R127323
JP HIM,R900269
BR NIE,R333982
FR DGY,R1761901
BR BGR,R333659
FR ZFE,R75289
AU ILM,R2421471
IT BIC,R43989
GB NNH,N27416125
BR GJT,R325894
FR NKL,R130294
LU MBS,R407732
US RSU,N150942451
MX AAO,N1930669146
CD KAP,R5810637
BR PLI,R334393
US OUA,R129163
BR CJD,R298038
CA SPJ,R14510565
RS INI,R11538321
IT MD2,R39242
US IXS,N151931823
PY SAN,R6601483
IT CCN,R42548
MY TMP,R15974660
BG ASA,R13477356
FR SQP,R410178
AU BBR,R6069702
DE HLL,N256495431
BR IRR,R297896
US CYV,N154178263
US XWX,R126684
US JHC,R174481
ES SSY,R347477
FR AII,R2524225
FR 2BR,R138513
SI D23,N91555010
GB YLW,R4648272
LT LUA,N3671398522
ES LR5,R346805
US MCN,R119694
DE OEZ,R1249735
BR PWI,R298518
DE IHL,R422439
CA YDI,N107362305
US JT3,R194952
TW MFK,R9201646
US 4AL,R181903
US RHG,R2866320
US WW6,R169999
AT MOO,R111805
FR NOE,R1373073
CN DHD,N5537664568
NL WAD,R443776
DE JDF,R536011
FR FGP,R6821988
CH SWD,R1683574
ES BLZ,R342131
ES BRR,R339676
PT VVN,N1906216635
US YAY,R119479
US PCG,N158281816
US AC4,R111287
FR EU6,R9071
BE BHH,R1269845
FR SNJ,R127708
ES BFL,R348910
US ICP,N158657762
SE GR5,N335662486
US KTL,N150945341
FR BQ8,R1145269
FR TRD,R532481
US LSQ,R119723
GB ZCC,N246631596
US YOM,R176201
US WG2,R131735
MT SAF,W389934203
CN YGO,R8184895
FR SPC,R120260
BS LGI,N821907777
GB LKT,N14880495
FR MOG,R164925
DE FEW,R534090
NZ TDA,N1621202618
MY KGR,N2610748548
ES LOU,R12688981
FR LBM,R162209
CZ HUL,R437391
US TVX,R128641
IT VIZ,R44979
JP FKJ,R4799846
CN GZE,R5668294
AR VGG,R3414209
IT GIU,R40849
PH MRQ,N2134536057
FR NN7,R380049
NO FYS,N34567403
CA WB8,R2805124
GB LPM,R2719668
FR YXU,R123605
BR PRD,R298347
CA YRM,R6075374
RU BLN,W674045831
US AIJ,R141326
US NIW,R195798
LT ZZM,R2431001
BR LTR,R298035
US AYM,N150943616
LU MRZ,R1113659
DE ND4,R534485
US PMB,R181520
UY SLA,R2592498
MY DMS,R12922614
BR CPU,R332838
JP YCH,R2679900
SK OST,R2204242
CA ELS,R12317053
US LCJ,R170384
FR ACS,R78999
BR SCH,R332795
BR FNS,R302823
AT STV,R911500
DK NSD,N1569969602
CN ZHN,R8554742
CA YVG,N51972696
CN SIK,R12140875
FR ASY,R116610
US NCL,R194150
AT KFD,R3887065
CA TRY,N472560205
CZ PRI,R441434
ES SVB,R345459
US ONC,N158589380
AU LLS,R2661215
IT ZEM,R39515
ES SD3,R347354
PL ILZ,R2684989
IT MGO,R40911
CZ ZLB,R441823
CH BTI,N429537647
CL WCH,R1820338
IT C5T,R40465
US PXS,N158255186
FI RKO,N129948163
CH CUG,R1684937
FR JUR,R161098
PL LON,R336327
BR ESZ,R314738
FR 2MY,R88188
IT ZAH,R40840
RO SLA,R9744252
JP KWX,N8433523339
LV VBG,R13440224
DE GBS,R59417
SK TRE,R1799254
US J2V,N157579456
US MGV,R123453
AU W8L,R11674816
US NEO,R119848
FR AEX,R73488
US M67,R3143386
MX BUE,N297175790
GB GAN,N26500571
DE QBC,R2012317
PT SGO,N10684018504
UA GIR,R4277265
PH DIZ,N1259007850
ES LPG,N4567601496
DE TR8,R1256024
FR LIH,R376823
CA CGN,R7903231
US FGS,N158839379
NL EIB,R1450284
BR IBN,R303888
FR HTS,R1375216
US PY9,R117451
US DCU,R110985
DE MRI,R422286
US 7RI,R8890576
US LVS,R171237
JP FNS,N8481644283
DE BWR,R1184624
ID KLA,N1308659941
BR TDB,R301215
ES OZL,W111483783
NO STX,N4756068889
NL KLU,R1373033
CZ SOK,R439509
GB SSL,R7861634
PL OZC,R12134144
IE CRS,R9376370
BR MLD,R332860
CL REN,R109577
DE YRD,R1470261
DE 6BI,R3513816
US SGD,R197342
DE WI4,R535023
FR UNS,R288599
US IWA,R119816
BE BOH,N1394107884
AU LLN,R2794735
DE A48,R453152
US MMA,N151734507
FR LPR,R70268
PE SIH,R1953351
FR CLK,R164070
BR NMS,R315090
BR HRS,R242684
PL WSZ,N31783448
CZ SZR,R439007
VE SCI,N373782315
CL KNA,R110804
CN ZKO,N244083185
VE MTV,R8849053
US ZG4,R10151162
IT ORB,R43441
IN DHR,N4496439283
DK KOL,N26559170
PL SWL,R3891982
ES LLD,R340350
VE LRV,N4470036934
HU KRO,R1440742
US GLP,R188918
RO TAO,R10715751
US EAQ,R182761
TR INE,R1802000
FR WPD,R1412343
UY PAZ,R2461334
CA NCP,N1148813114
FR TQG,R2117181
FR QAG,R1908142
ES AOW,R345631
US HZL,R187964
CA SHG,R7953157
PT VAE,R4058995
GB THL,N25310698
FR HCB,R2690787
CA OOW,N1245802661
US OSE,R366127
US S9E,N151846267
BE RJT,N750466746
IT PRM,R45174
DE KOH,R5655601
PL WNI,R2929585
US HXV,N153830647
DE 3B6,R3028259
CL QMC,R3078348
US DC4,R6587588
DE BN2,R537135
BE JPE,R2387591
FR MIV,R139679
US HOY,N153452619
MG WBD,N1935660318
TZ DAR,R7202037
GB ZLH,N3961161018
CH TGB,R1684501
ES NRR,R341409
US DPS,R6586805
US JJ3,R139948
FR E4R,R1194101
AR CHA,R2805344
ES ALZ,R348073
US UQJ,R174889
DK SKM,N9425702986
CA OBY,R2221058
FR LZZ,R1982857
US AS7,R184172
AU KSY,R2410750
IL TZO,W84530820
US IAI,N158633747
FR AXD,R57877
US GDH,W554209003
BR BID,R297857
TR SRS,N1577027561
AU CRS,R11677103
US MBV,R182101
ES PIE,R344350
US EVS,R238073
BR FPZ,R301164
DE EH3,R4519640
PL TSK,R9770878
HN PRO,N4174954408
US ZCM,R251782
FR BGZ,R379661
US BZ2,R194740
US GPL,R6603604
NO OSA,N3299884982
US ISS,R132815
DE FDW,R275074
FR BY8,R1164840
FR ROT,R2634540
DE GBL,N353998197
NO IKR,N85999009
ES TSS,R345966
DE B7L,R1451581
DE GGM,R405304
US VWR,N8166470776
US KCN,N7770570516
US UML,R117489
US RH8,R1807450
BE GVR,R812701
FR IAM,R1399223
IT BVO,R43196
SA TUI,N1236745370
US F8R,R331939
NL ZAO,R1505773
PA PAB,R10919995
FR CL7,R1245527
FR QXJ,R379911
ES MQE,R340756
DE SFN,R156999
PL KOW,R7767448
ES HMM,R341781
GB PSC,N29285392
BR CAE,R314832
MX TPA,N293340290
RU KLB,W110185731
CA SLT,R8479338
LT KEN,R11846858
FR WGN,R1172733
US IFI,R182738
BR BYA,R302497
IT PZB,R46551
CD KIL,R5762153
BR SPD,R1692965
BR SCK,R298141
GB CYB,R4184478
US ARK,R130164
JP IKU,N7165143154
US CPF,R251904
FR NBZ,R1153106
BE OOS,R3134873
CA CHM,N176031024
US CEN,N151713467
JP ARA,N8755421209
DE MHN,R1273184
FR VR4,R145268
FR L8N,R911504
DE AB2,R2409671
FR MDU,R275258
US YIG,R5195355
BR JCT,R303673
US DLX,R119507
AU SUH,R5724532
BE LEU,R196311
BR JSI,R301156
BI RUM,N1345876693
US TC7,R6603678
FR RV2,R55842
FR OAD,R125233
FR QCA,R1268674
BR DSN,R301219
ES AIA,R345000
AU BLM,R5680947
US 2RG,R964657
BR AGU,R298431
GB ELO,N255238291
HU HAU,R1370214
BE ZGM,R9213412
US OUQ,R128887
IT RGF,N1761658901
BE TZI,N450192062
RU NIA,R3515419
AU FLS,W209852608
CN GHN,R2787555
PH CEB,R12455830
DE 52Z,R1463294
CH SBD,N1722613390
US AQC,R206989
RU SHU,R3087350
BR TVI,R334487
US XOY,R253980
US XMN,N153613517
AU UMB,R11716438
DE N3N,R958630
VE GCR,N1676439371
GB WBW,N29630157
IT ZBK,R45613
GB SME,N27457929
FR UQR,R3209746
CN ZJN,R9476756
CA LYA,N3500135391
HU SZV,N3445368225
IT CMI,R45535
FR WLS,R1118918
ES OLX,R342826
US 4FV,R126189
US OPG,R175641
GB LTY,R11167904
LT JNA,R1903910
FR LNY,R380975
FR RCH,R55872
FR MWN,R1014065
US U5C,N150954803
IT ASI,R42284
NZ WHR,R11372900
AR GVA,R3048755
US LYF,R237662
FR ONZ,R1380926
DE HNC,R1250485
IT FBS,R43509
BA SKV,R14535342
DE RF8,N267344720
ES ROM,N1891230436
BR OOS,R332961
FR ND5,R116823
US NQM,W33614491
DE PSN,R1070980
IT PVY,R45024
DE KWP,N290039525
BR IAA,R298454
FR LUW,R164474
FR V69,R1136198
RO MAN,R14523056
SE BJN,N367321443
DE SSG,R1273171
AM BYU,W899099722
CD GOM,R5327779
FR PVN,R166553
AT MTN,R419291
FR GHT,R88844
UA SDR,R3936702
FR ARI,R179337
SE RIM,N249163982
FR MIF,R325011
US THG,R194095
UA SCY,N337546059
