FR B67,R88845
CH PRD,N4326623906
CH GL2,N2813492885
RO IZV,N463257135
GR KLH,N5680550311
DE HA4,R422705
FR L3O,R2877635
FR SQR,R192308
US LHI,R2310693
TR VAN,N26480571
IN JAN,N245686073
IT SIN,R43244
IT ZWS,N957005198
ES VVD,R343192
BR IIN,R185601
US 5LD,R128604
AU EUG,R7304476
DE MED,R1244158
ES PMO,R347362
GR OTH,R8323418
BY KLK,R6722509
LK MNH,N2285202904
DE MYK,R1252416
IT ZDP,R45683
US PIB,N154003708
ES GON,R342630
US ILF,R3640941
IT DRA,N60760251
FR RYI,R144995
ES KDS,R341175
GR PTF,N1806255215
IT PSQ,R44613
MX FRE,N290746327
GB SGM,R1022316
BE BMI,N665093209
US TM3,R129731
US YPS,R135135
US DNW,N158381525
US G9T,R8616228
ID BDJ,R12354003
FR XEL,R28904
US UMQ,R10058790
US 3LC,N151562485
NL MTK,R1418614
AU WNR,R11676701
AT ETN,R105883
DE KGG,R2808133
FR CPS,R134256
IT SZZ,R44885
FR P9Y,R172206
FR ANF,R161197
GB BTN,N266743475
BR DUE,R314909
FR 6PG,R362658
IL HDR,W94521048
GB WSN,R6979196
VN PHG,R16203653
ES RDS,R340539
US AH8,R130584
PT VAL,N372804522
GB CLF,R2602526
US 8PW,R12171325
NZ WLS,R2726457
DE NSS,R163307
PL DIW,R2953625
DE GEF,R548491
BE SYE,N259565288
FR AIW,R107469
MY TAM,W657558677
FR 35P,R142954
US HK5,R1844184
DE VMR,R324311
US TWF,R121355
FR VCR,R106764
GB TST,N4739971843
US W9T,N158325491
US TT7,N153530283
US FCQ,N150943541
US DBY,R199079
FR AJG,R391618
US WPS,W33614428
AR ANA,R3350666
IT CIE,R43890
FR BNK,R215328
FR V8T,R154895
GB CPW,N2531851161
FR RRL,R285733
FR CRB,R91768
BR NTN,R336793
DE SMK,R1124272
IT AGV,R44717
FR MAD,R379898
IT MMD,R40324
FR CE3,R191465
BE HPA,N240127172
IN TRL,N335885603
CA WSG,N1890849549
AU PIA,R11676258
FR CDW,R226966
CO LCR,R1335172
AU RVS,R3173338
ID KRA,N1308661543
US R9Y,R175570
US SC6,R127320
US CNR,R180309
NL OGW,R2658801
PT POB,R5399205
BE BNN,N775871002
IT CP3,R41177
GB NWA,N240286504
US CGL,R187637
AT NMK,R105569
PG AMU,N7872635025
US SPF,R194803
BG MTI,R1937058
PA LAT,N8990576603
DE KUC,R3296361
FR QSE,R1342362
GB RBS,R76791
HU VES,R1078538
DE MRF,R444545
DE OHD,R1077544
BR APX,R297713
US ANL,R130488
AT ECU,R37851
DE BD5,R453738
US 4BH,R123141
CI BON,N843510776
BR ESA,R362164
US BRP,R137067
US XBP,N154302875
DE WR4,R422845
IE CSG,R4751546
IE CAA,R6854193
FR JEZ,R119315
BR SSE,R242673
RO MES,R10514434
US CN6,N158496172
DE OBY,R8165791
AU JGF,R5517393
CN AQG,N244075908
PL B8L,R2996924
US GV4,R112940
DE OBB,R330941
CA HEB,R8374630
FR VOX,R941099
IT PBN,N11057099334
CN YTN,W261283912
MX ZMG,N297667836
US SNE,R140281
DE GRK,R4778119
CH OEN,R1683914
US YLW,N153986985
CA JCV,N1149921768
CO 8SG,N7779166737
FR CGX,R281004
IT DL5,R46038
DE OLA,N240044891
RO VIZ,R14867666
DE MOF,R445608
NG OGH,N9407955996
US MY8,N150964888
FR QFC,R1159306
US LNW,R194093
US WGO,R207037
US OYK,N153416294
FR GOD,R138505
DE TRI,R172679
US JVI,R170926
FR MD6,R2579544
HU BTY,R1417377
DK LYN,R2183062
TR LMG,N27031554
FR TCY,R902915
FR BU6,R2513111
IT BP2,R44256
US PXN,R135003
BR MNI,R297994
FR CVE,R31339
DE 64O,R382429
US KGH,R2017822
PL SUD,R6374669
IN HNG,W304510520
CN BDZ,R3442995
DE SSR,R1329612
US TGC,R114496
DE TWZ,R422920
BR SCU,R314806
FR Z5Z,R357009
TR GIU,R1808094
NL DIN,R165285
US 556,R13813478
RO GRG,R10697456
FR 2LU,R145949
NL WCM,R1730937
CN NSA,R13603153
ID PWG,N457837553
US THJ,R14988994
IE ARY,R14574245
BR JGR,R302562
ES PVA,R347463
PY NES,R6613494
IN BHH,N245760373
SE RAA,R5525176
MU CMD,N9280540374
GB KGH,N55136957
ES UDO,R343424
IT PZO,N66587022
IT ZHT,R44524
DE NUN,R2795565
CH CVY,R1684895
US SC8,N154400438
US LC3,R137184
ES LSN,R339925
FR GSC,R88634
RU YTS,R3374408
BR CPI,R298223
BG VDV,R13490203
KE KTL,W884313043
DE NI7,R390656
US OGQ,R4202809
DE RCH,R958953
US IK2,R134582
IT PAI,R40718
FR ULV,R87665
PR BOQ,R16182577
DE LEM,R142624
US PXK,R127737
FR ZUH,R932929
CA KNG,W909222840
RO TUR,N119869598
DE HGI,R956644
AU MGT,R11716617
BR YTV,R315432
RU MMK,R3374641
HR VI7,R15869987
CA RMA,R11960452
BR PLH,R242559
US S2R,R14989022
US YVS,R184808
AU CMT,R9107457
DE EKT,R421926
AT KRE,R8899249
ES QJD,N288260447
MX TNL,N291502727
BR NCZ,R301216
ES VDO,R341645
DE GOU,R1099844
BE TSE,R391217
DE 9N9,R965013
ID KUN,N5925540969
CN SPG,R2763795
NL KOK,R1733966
US EQR,R137551
FR SEA,R70621
FR U5U,R1600264
HU CSO,R1483313
PL KAY,N3009716303
NL WRL,R2726645
RU ABC,W655223046
ES TIE,R346299
FR SA5,R300261
VN BIH,R15796273
KZ KSN,R3540206
DE MLG,N1685595998
CH GEN,R1683562
DE DHE,R453375
US VES,R251869
BR WBA,R315180
FR VGZ,R940139
ES BRD,R348886
FR TO7,R2862653
US UQH,R193955
LT VEV,R2669185
CZ DJE,R437158
DE PBZ,R1273251
BR NJM,R336739
FR ZLD,R134386
HU ZER,R1357195
NO SVI,N281233068
US HVD,N158224412
RU PRL,W110677417
PL DZD,R2907561
ES PFS,R340887
US CHV,N150975500
DK GIV,N26559230
FR VFN,R74780
FR PQR,R153365
CL SPE,R296836
DE EIE,N318134323
US GNV,R118870
SK VDY,R2206727
FR AXI,R168174
FR NN5,R2954314
US ALG,R134457
FR WQM,R965634
IN TLG,R14141970
US YSL,R184242
DE UUR,R145269
LU BUU,R1113661
FR 8PA,R167648
CZ ZAM,R440506
US S5G,R14988949
PA CLD,R8928040
ES TBM,N276040696
FR 5TB,R113762
ES BLM,R341908
BE HNO,R2367142
MZ M7E,R11981797
PH LNO,N9115753863
FI LKL,N1884197881
CA ORO,W111878786
BO PGM,W315672333
BR GXP,R315406
GB ARC,N259372030
US BRD,R137576
US HKL,N158805283
AU KUR,R2910812
BR CPA,R301470
IT COS,R45231
IT VOD,R44140
RO ZAR,R10514935
US NWL,R3249297
SM RVT,N292996651
CA CTW,R7478453
PA PDC,R8706877
FR LV2,R812711
US AUV,N153967641
US XCX,R136672
BR IAP,R298121
DE ER2,R2795577
PK HUB,N253185684
TR MUG,R1827294
UA OCH,R3132597
GB FLU,N29285388
IT SEV,R45608
FR EUH,R1250222
CH FSZ,R1683400
FR B8E,R2280250
FI TAK,R2525743
ES DEN,R12660431
ES CHX,R347876
BR JPW,R297799
AU JAD,R11689366
DE EMC,R1427002
US EOZ,R2135292
DE SEZ,R1184564
FR AIA,R126426
AT PUF,R112467
TR PIN,R1835620
US M2R,R134838
PL KMW,R13409468
NL EAZ,R2726500
PT AVR,R6431338
US LU2,R183390
ES B6C,N348087231
US UOE,R8481365
FR FPS,R1407743
ES BLY,R347952
FR SKM,R946432
ES AT9,R346720
FR 7CM,R125625
FR I38,R76271
FR VXV,R1804238
DE DFN,R2785880
DE S25,R191521
IT TT2,R42079
PL D2L,R6109357
US ZCH,R6406329
CH TNX,R1685534
BR LSI,R302733
PT VMA,R5830093
FR XSQ,R1236093
CH ZT3,R1684213
AU YAN,R5554546
US RY3,R129209
FR OII,R20846
US WT4,N158860669
BR AKA,R302709
FR SGG,R154473
PL JEO,R2531880
DE SCN,R1187159
US NXV,R124760
US NRJ,N150957981
CA CNG,N687077631
BR BGT,R296739
AU BWT,R10632587
US IZH,R130081
IN RPN,N125907877
GB DYS,N3913172957
IT TAV,R41035
DE LG3,R935171
BO YUN,R4509733
FR ION,R3336307
IL BEE,R1381478
US AGI,R6586793
FR V2Q,R107636
ID KOK,N1308648792
NO VHN,N6205774433
CN YXU,N2703828852
US EC3,R180344
US WIV,R2030465
FR TQE,R145834
BE FMI,R12870994
TR ALE,R9644306
FR IVV,R1537530
BR JPV,R333707
GB VEM,R5490392
GB POH,N271376809
DE MMS,R148594
CA VND,N52556271
DE WBM,R307899
US BO4,R2387625
FR PFK,R121649
US CDK,R1216609
US IVY,R188516
BG OCH,R1978765
DE WLH,R2795195
US UCF,N150971481
FR SCD,R122931
US T4D,R169731
FR AYS,R138297
DE OBD,R534270
BE WEK,R1389195
US GKH,N153998719
US LM9,R6586790
FI EM2,N301653404
HN EPO,N303534430
MY NUS,W639458128
IT CB2,R43616
FR APB,R147378
US OFO,N153905343
CO BAQ,R13466699
CN GCG,R12299248
ES PVG,N1978555788
GB DAL,N27587866
EC VEI,W752672301
FR BVI,R154375
FR CKB,R3329387
US NC7,R184100
CA CAX,R7704063
US WE6,R2341029
US V9V,R194130
NZ MSN,N1702382765
CZ DNC,R441395
CA BUR,N488153459
BR ZAS,R298089
CH KAP,R1682503
CO TUE,R1306565
FR IHT,R2201331
ID MAR,N708007086
FR XZQ,R1269449
FR ZJC,R57810
MR TMD,N1994976606
AU HTY,R5904255
DE OBE,R62734
SE KUK,N335712320
FR 2KH,R148702
US KZY,R130594
PL OWA,R5541051
FR G7D,R294954
DE BP5,R1451570
SI URS,N1944949322
GH ASA,N1818963951
FR FAS,R134070
IT CO3,R42365
PK THT,N290232392
PL CHW,R2667004
CN DEF,N5588941786
BE RAS,R3424160
BR ILH,R296786
FR AXQ,R74092
US IIR,N154135949
JO QMD,W379035955
GB KGL,R3665929
US RFU,R176205
DE SNR,R1821834
FR LNH,R131770
JP TGC,N8318582229
DE 79E,R2772181
DE W9E,R533267
US EKY,R174486
US AOO,R188252
FR HMN,R129362
NL BRA,R2716691
DE PR2,R1162784
US TQZ,R6584729
US CBO,R193960
AU MLT,R7234737
DE IOW,R6689917
SI BZC,W955254452
FR OTG,R2414647
US VHI,R125683
CA NTW,N1824576988
NZ HKK,N174563913
AU OKU,R11676138
HU NYY,R1372508
ES APT,R343232
DE AGO,R448765
FR TBN,R52373
BR OEI,R302701
FR SXG,R286388
CA HDN,R7743227
PA CCO,R9360935
DE HLA,R1115033
CA NMT,R11319975
US MOE,R119751
US C2M,R137004
MY PAS,N7574891188
ES ZNT,R342623
DE RMN,R1254495
FR PRE,R92955
US EYL,R16069617
BA PER,N1690323167
FR HUR,R106419
FR OAE,R149645
BR TRM,R242710
CA BOE,R6597325
FR DC2,R129358
CZ MCA,R438646
VE VLV,N4655472352
KI AEA,R3830761
DE DCW,N240083278
AU LTG,R6299566
NO HEF,N9901565059
FR PYN,R71470
EE LOO,R354341
PG MBV,N8587103380
AT ZUR,R304266
SE AMM,N367198276
CZ DOL,R440724
BR LAN,R5349666
BR DRH,R303831
DE RSR,R2410100
US B7N,R137241
US RBE,R188480
ES ZFY,R346263
DE E9S,R1330378
BR CTM,R332480
LK PNY,N198828296
AT KOS,R85652
HU CSS,R1025051
RS SRG,N249475723
BE SFY,R3134847
IT LFM,R39378
JP KYR,N5796141552
NO EDT,N267750820
FR OBU,R281006
RU GDN,W88857146
RO GJJ,R9717321
GR POL,N135818727
HR PLE,R8796595
US M94,R134904
AT HTA,R37527
IT LII,R42282
NL VIE,R1435523
US SC7,R252275
NO ATL,N6214191507
AU EDD,N2353455949
CN JNL,N8348197346
CH CXL,R1684899
PA TUC,R11304277
FR ZYY,R140097
GR SIS,N146293188
FR MOO,R58170
AT KSS,R49823
AU PDA,R11689920
US SLV,N158860266
DE LWN,R1255918
ZA MBY,R2034101
SI AJD,R1675824
BR DDI,R314823
FR IDE,R87004
AT ZZG,N240023706
GB SFW,N8550874083
BR RMI,R185549
AT ZNG,N240032871
CA MD8,R14502360
AR IBY,R2925405
SE BLA,N2232564601
US HTV,R6603614
US EJO,R8906727
NO MSV,N277159270
SK BEZ,R2386756
FR XUV,R161748
AT KBW,N73711446
US LLV,R252290
CN HJI,R5665673
FI SAK,R2385028
FR YTN,R252612
FR XMX,R127156
DE KIR,R2793212
ES RNN,N288259623
SK TNY,R2321213
FR MNJ,R1608622
DE ZEK,R418996
SE AGN,N353734742
US CKH,R206889
IR THR,R6663864
FR CYV,R2658726
AT OED,N240090610
US 5EK,R125866
CH WSN,R1682235
US W2O,N154207462
DE Z4Y,N358359233
ES BJS,R345355
DE 4B4,R2179151
SE LDK,R935469
US FKN,R3864687
CO SJR,R1343471
GB SEE,R8057796
BE WIK,R898561
PY LPZ,R11800269
US XFZ,R170506
FR POT,N4529083058
BR PUO,R297719
FR TLH,R156435
SE MOL,N29563324
BE AVL,R961013
DE 72E,R1420451
BR NVW,R334416
CH BEN,N240047745
ES QER,R345774
US TUL,R184985
IT XIO,R43356
US SIW,R111563
FR SSQ,R415237
US CNU,R129923
ES PAA,R341324
MX THT,R5670279
TH PPA,R12732746
HR VRA,R2827074
IT LCG,R42399
ES VM2,R342575
US BLQ,R189191
US LUG,R1844175
FR N59,R54191
DE POG,R929922
FR D37,R107022
ES TR7,R346304
FR TSC,R74016
CH LCF,R1685495
NL MEC,R2721282
DE SHC,R2792117
PL OYW,R2975885
AR MNT,R3696709
ES CTL,R340602
DE RHO,R93376
NL HOD,R107305
FR LRX,R161113
NI MTG,R13901923
GR APN,N1746828375
FR OVF,R1995286
UA KAM,R2202756
NO HYR,R409073
IT ASU,R43051
IS HJA,N267726700
US IYI,N153653686
FR GFL,R1930080
GB YXA,R6947608
SE GRI,N260287599
FR NLG,R3327623
BE LVE,R8489312
AU RHA,R11675365
DK HJE,N7532652402
BR LCL,R296773
HU SIK,R575149
US SM8,R6586818
US PLU,R238178
IE KLY,R9329981
FR GII,R111534
US LRE,R184208
FR QKF,R3231504
CH DDR,N1425180898
GB COD,N267762965
IT PZM,R40447
FR GWS,R84340
FR OXR,R1877750
US RO5,R169592
TR YEN,R1589927
FR VZE,R2399800
AU GRU,R2428804
US HU8,N151576246
US AWR,R119638
ES QTN,R343340
IT ZXI,R44892
JP OMO,N8519243626
US HXE,R129858
JP NKZ,N8357236423
MX HTP,N459391783
US 8RW,N154376671
JP TJZ,R1768986
US FPU,N158573690
FR SNW,R103051
FR VQP,R145518
US SLI,R2590624
KZ KOV,R3388744
FR FOU,R163995
CH RAH,R1682633
PL SGE,N692621857
US 4CY,N153551061
US LVH,N150973939
IN MRA,N9963833795
CZ NVB,R442049
DE ZUS,R537904
DE NSN,R547960
BR VNA,R1825818
US ZFS,R366147
RU UUA,R9684457
PL ELB,R1600068
US FTV,R119988
FR LMO,R88807
FR E2E,R75624
DE HR8,N348163668
CO BOS,N703169918
FR FNV,R410450
TZ IKW,N1038265913
FR THB,R78303
MZ IMG,N331719360
AR LCP,R11697118
DE WUE,R62464
FR P4D,R9085139
US MWO,R181889
HU ERC,R1418513
FI LON,R10799526
RU AMV,R3339125
US EBY,R5970173
CZ OLY,R440606
AU MET,R11677711
US MFV,R206993
PY VLL,R6601484
BG SLO,R13265886
BE OVR,R191699
DE SSH,R1249733
MX COL,N273592234
FR NV8,R144608
FR RAJ,R184050
FR CRV,R108436
US WM8,R117946
US IQV,R135233
CA BUL,N51972314
AT KFT,R85654
RO DEJ,R10631192
RU MAY,W123837564
AT SLD,R3851162
ST RIA,R15060780
GB WXH,N315038255
US TDJ,R133575
BE WDN,R5366899
FR CA4,R150412
