IL GAA,W31979041
PL SYC,N31345521
US S4Y,N151896256
GB BDH,R184588
IT MGA,R45010
PT ELA,N4365100926
CR SRA,R8858034
CA RAM,R2840306
GB RSA,R11001554
LU WTA,N264599713
US G5V,R137584
BE FFX,R10285849
FR 3EO,R148216
PL LK5,R2628202
CH SBB,R1683104
FR QXZ,R2105045
YE MOK,R16171327
CA BOB,N206408709
US OKL,R123143
CH CPS,R1685290
GB SBT,R9273997
US BNL,R193970
FR OHP,R148687
DE SQJ,R956860
DE FR9,R70175
FR IDS,R123073
LU STN,R407944
US IUE,R126961
FR UEY,R157505
ES SOX,N282689753
BE MOS,R1920616
FR MZR,R92969
CN GNI,N6505474051
BR RIM,R334537
DE HT4,R4560371
AU CTE,R11689392
NO KIR,N455934531
GB FDM,R1610551
FR MTS,R398309
BE RZE,N668879839
US RNI,R252232
PL KAR,R2368944
DE BSZ,R2874389
ID UBR,N5729353470
DE WAE,R535934
FR MXH,R69049
DE HO2,R1310091
CL PPY,N2263986121
US QCP,R251925
FR TLR,R296221
GB GZL,N428202235
ES PIC,R347865
CZ HOO,R439818
HU LAJ,R1130398
FR F43,R125333
CA NMI,N1751796216
TT CVA,W566476581
CZ HOD,R441151
FR SY5,R161843
FI KIE,R1723579
US EB7,R137567
BE HZI,R4103976
PR ARR,N5330041128
CA JBA,N10100337493
DE UEF,R1241468
JP YUF,R4716827
IN ADE,N702054777
FR ALJ,R140650
IT ZTF,N695816634
FR SPF,R111301
IE DAT,R5469806
PL KYO,R2929603
BR AIM,R314652
IE BFO,N3526750837
FR AYG,R1164552
SE RAQ,N316650985
DK LIG,N123893175
US EAT,R237797
FR LGW,R2084789
RO TGA,R13144932
AU T3K,R2983760
AU PBT,R5670308
HU SBG,R1403022
ES TVB,R340261
VE TUR,N5410074641
AU WAL,R6632650
US BQX,N158875059
US KTI,R171150
US TN5,R170881
FR 69E,R8886392
CZ SDE,R437701
BR JZP,R302751
ES AHS,N349248662
US ZAI,N151501966
LV KGM,R1872678
US LV3,N153389738
CN PDU,R5655170
CN NLG,R3262031
CZ ZUC,R436629
GB ALC,R1022267
NL BGW,R2469735
ES ADS,R347733
GB BQN,R948523
ES TDS,R343011
US WAV,R182412
NL SWK,R144824
US AWY,R195495
US VNQ,N153961142
BR CFA,R303895
US 2FL,R134833
DE HB9,R13765724
US BN2,R136625
PA ELB,N9944066171
FR MNX,R280181
FR MV8,R140386
US WYF,R141778
FR HNB,R270512
DE POR,R2613804
FR CBX,R71078
PL GNA,R2835730
FR CBZ,R114911
RO RZH,R10761308
FR ESE,R113047
CH BUK,R1682095
NO GUL,R405322
FR AGA,R1121023
DK LBY,N8062371656
CN JIH,N3014447006
US KG4,R8454772
GB PON,R5551292
DE PYK,N9766367188
IT VNI,R12321801
FR SA3,R1022997
DE HOE,R451778
BR PPQ,R297588
CZ NRT,R437598
PH LTB,R9421380
FR CUH,R146783
DE SBC,R1021712
US KYU,W32975713
GB EST,R3445298
US MPU,R129873
BR JIX,R242775
FR MVS,R1171724
ES PZR,R343082
US BLJ,N158809944
GB NSR,R4104065
US TOH,N150965575
FR 5DY,R56125
FR W8T,R1774756
US 8HL,R2044245
FR BIT,R74686
CH ALZ,R1682813
US TWS,R12576659
CA YQU,R4169208
FR FRW,R546930
BR CYP,R334427
AR LMD,R3944720
TR OLI,R1238963
PA VRO,N9950115580
VN THA,R13477428
IT GDV,R44964
BR DIN,R315435
AU BOL,R3089904
PE SYC,N1312125427
BR CDM,R2219086
FR SNL,R106864
US JRW,R188405
BR SNU,R185677
GB WWY,R3336052
FR LU8,R2885329
FR NVK,R6492580
NO EGV,N281329199
FR QVE,R122867
SI RO3,W368730764
PT GUA,R4112135
US R3W,R184932
ID TRG,R7641583
US NNH,R119856
AU GME,R11676480
NL RDM,R299560
AT LGN,R453753
TT PTS,N7557949933
US 8CR,N153906578
US ZRK,N150934705
US XOK,R6603583
GB NEN,N26512564
FR CBB,R252600
BE CNY,R2255292
US XDY,R6571616
ZA LTA,N124504036
MZ LMO,W218643234
US CWH,N150979023
BR PPX,R314803
ES ORS,R346497
RS LVC,R2860164
US MIE,R127384
FR L8T,R904978
RO IZB,R9742511
US AJP,R187243
IT TRY,R44403
DK HFE,N8788937078
PL J8M,R2834797
CZ CST,R437516
IT PIX,N2213909097
DE DHF,R422704
AT PAM,R105584
US 8YK,N153925095
IL MIG,R1383758
FI KP7,N343102982
CN DLN,R5665068
FR NY9,R34057
US SJE,R198911
US EBL,R188992
ES ZOJ,R340704
BR VAN,R332906
PG UBI,N2375612821
FR A9U,R161016
ES CSP,R341956
US C7Q,N141046519
FR C3T,R2369444
US CHK,R185084
US PVT,R189125
US 2MM,R2585908
FR OLQ,N7548369575
US FY2,R137233
ES PLY,R345701
RU KMO,R1390474
US GST,W32973398
JP FSK,N8417390450
SK MUH,R2186308
BE OPI,R6299030
FR RTZ,R319309
PT QUR,R6430274
ES MJD,R345726
FR SF9,R2796872
US EHG,R195990
FR PDA,R145500
PT TON,R5331551
US BW7,R179823
US JPP,N151790107
NL KRU,R2716586
IT MDG,R42876
CH WSI,R1682236
JP IKW,N8303021469
BE PML,R3956392
NI TPA,R5735801
FR BRE,R280610
US NDU,R128330
BR RNP,R334510
FI SAS,R2524088
GR KIL,N282637982
IS GRB,R2556726
US CJI,R110739
IT 2PV,R179155
MX SON,N333132897
FR MLS,R1778565
BR SNP,R315227
GB GIV,N1277090781
AU HRN,N10561435955
US NE3,R189047
US ODU,R13624742
IN COS,N6196153193
ZA WBN,N262722465
AT SBC,R110407
GB HKL,R158399
PT MRV,R5397067
LK MAL,N6342777698
IL MHY,W81807627
PE CHT,R1901128
GB JSH,R9274279
FR JGA,R130460
US R2R,N153944325
US CL3,N150960282
HU PAS,R1417422
FR MH2,R145994
SE BAS,R935399
DK VM2,N265786744
PL PDL,R336620
FR VFX,R106067
NO STO,N5578064510
GB GBX,R1551164
FR RRC,R2436058
FR 3XV,R191453
DK BGZ,N26559140
GB ZBF,N30350048
MX TAC,N1923745870
US DTL,R137487
US 9SB,R137511
GB HAK,N29805839
SI STA,N2387648120
FR VHO,R128022
DE GHH,R1307623
GB CVR,N718511450
US YEK,N153911191
PT AGR,R6437447
FR UBN,R128854
ES RRS,R345531
BR KPI,R314748
NL LIR,R417804
IT BHR,R45295
DE SPM,R1162785
US TH7,W1050842631
PA EPH,R9363056
CZ KSN,R440340
US HAA,N158580498
BR DDS,R297488
MY END,N1855366693
BO HUM,R4499652
CZ UBI,R439573
GB DBJ,N29947651
DK NAV,N26559129
US ARH,R136614
EE RAJ,R353543
FR QCG,R155468
US HTD,R5986511
KE DDB,W400331498
MX ZMD,N473376250
CA PME,N1125473447
US CH3,R6618784
FR MMX,R181258
FR 3SJ,R75987
FR UYA,R147891
FR IBN,R2162992
DE WLS,R450114
CA RIY,N36363878
US 2BG,R957237
AT GMB,R78250
GB EPN,R2915427
IT SNX,R45789
US BMU,R119929
DE HGH,R405303
DE FKB,R957045
CI KEO,N319225802
GB FRW,N124291600
AE ALB,R15607818
BR SBD,R332806
GB YSD,N703128803
ES SLR,R14902114
AR SNP,R9182373
PE ATY,N270919346
AT EBB,R2168240
IT BIA,R45529
GB LOG,R1434597
GB RBN,R3619322
FR MRU,R1180852
US WTK,N150917218
FR CAE,R78619
SK HCV,R2322369
PL SEL,R2919498
JP OUM,R4055790
CA EIW,R12139711
DZ HME,R6542939
FI HLK,N30969558
SE LOF,N457458122
DE EB2,R1605089
DE LBK,R357090
ES LLM,R3576848
IT DO3,R46934
DE SJN,R394510
US XTJ,R13826063
ID NEG,N429157244
FR SI6,R88863
PT ACH,R6018443
FR AZB,R149700
AU TYE,R2645883
SE HUE,R398567
US JS8,R126959
BR EPI,R326256
FR T7D,R1658233
GR PAO,N2613503618
CN NSH,R5664195
US UUD,R9100919
DE NFD,R1149242
ES ZVV,R6412305
BR PBN,R325843
US UCK,R121421
FR UV2,R416061
CL AYA,N214216009
FR BO2,R145724
BE JUM,R3411064
CZ VLC,R439801
US RMU,R134996
ZA ZGF,N262706985
IL GVS,R1382837
BR AMD,R314941
SK DUB,R2207092
ET MTF,N283675722
US KNU,R131886
US SQM,N158859572
FR ZNT,R2978555
US BSX,R127866
BR YCB,R303619
DE MSZ,N413895172
AU KGO,R2398930
IT VPP,R47334
PG AMG,N7416658841
US FEM,R134826
CA BYL,N497578913
FR SGA,R271432
ES AT8,R345507
DO ESP,N252989429
BR MBA,R315122
FR QDF,R1297376
US GGF,R127008
PT RSD,R5328701
NL WHU,R2528362
FI VAM,N4966130398
US CV7,R13736867
FR YOS,R126385
US 4CR,N158816592
US EVY,R238713
PL PZY,R2920982
AT 7ST,R80224
FR CC4,R2793921
US VN2,R171245
AR RLO,R9802707
BE KWB,N262484028
BR NRD,R336796
BR TFL,R314625
GB NSS,N54080046
DE 79H,R2791804
SK FIA,R2273333
FR HEY,R89553
IT PNG,N1019720282
FR CVV,R28909
UA NLV,R11622860
CH HOR,R1684531
PT BPA,R5718021
ZA EER,N262719974
DE BT3,R1416814
CZ RUP,R428997
AU MNG,R11716615
HU KOR,R1131491
CZ DEJ,R431368
DE DNR,R4007178
BR JDC,R332871
RO BRT,R14431528
IT SCI,R39161
GB SWR,W82488094
IT AUS,R179246
CZ SML,R442423
FI KOR,R10799490
MY RNU,N369497867
DE 73S,R1446640
RU TYL,R3723333
IE BUC,R6987265
US DNX,R195030
FR LF7,R2605712
ID CIJ,N1756875826
DE DAT,R63509
DK KRS,N26559252
US ZAM,N151333585
DE 3BS,R2903159
US ZYW,R2020715
FR 35V,R908153
US BCI,R133689
US UIJ,R130267
DE TT9,R943543
FR ENM,R402318
DE BKG,R1352949
US MD4,R169570
CZ PNC,R438232
US NOF,R128650
JP GKN,N8735356260
RS DZC,R8700783
BR ORI,R298241
US NBP,R1844181
FR 2CS,R553625
US DIP,N151709720
CR RBR,R5670250
US WL7,N150956348
FR L2N,R142220
ES LCS,R346077
FR QRV,R3004057
BR LGO,R303894
NA WOR,W208387563
GB ABC,R5995391
AR VCP,R2284280
ES PUC,N624105011
AU WNY,R10593040
DE ESR,R157995
IT GZQ,N2144246718
DE 82X,R548044
CR PEJ,R7375740
PE ACO,R1923710
BR AYR,R362174
US ITF,R129116
IT P9A,R39768
LB BIK,N292198288
US AVX,R140884
GB TNO,R6841531
SE KVA,N358356078
ES SAC,R339918
FR SVL,R75022
FR XAC,R1241402
DE GVV,R2409349
BE LBY,R2327768
US A7N,N158807078
BR JMT,R297982
MZ MUD,N771196551
FR MNT,R2955193
IE CML,R2541677
NL SLH,R158751
BA SMT,N248400862
GB BFG,R3500551
NL CPD,N7170603790
BR SPX,R301300
ES AQZ,R346326
FR TGU,R396595
FR MP6,R392321
US GY7,W33612849
BR AVY,R298324
US QKV,R110633
US KIM,N157586671
US UJL,R130519
FR UFN,R145920
DE HRL,R155642
JP UEO,R4523876
GB SAO,R5721835
US BY9,R1102869
JP YUU,N8570793780
FR MXY,R1828435
RO GLE,N464350668
ES OAI,R344793
GB BWP,N355630231
RS LBE,R7207476
IT VOY,R46730
FR ANI,R56149
AT OTN,R546246
FR C6X,R146794
GB EKM,R571688
ES ZF2,R344741
ZA DES,W1020410004
US MZE,R189192
ES AF2,R340319
SK VLY,R2210552
RO STU,R13943218
NO FAU,R408204
US 3RT,R13676588
FR PO6,R252596
IT RR9,R39603
CA PAC,R7858200
JP HIB,N8735287208
DE HKE,R1286656
FR URB,R111332
CA PLN,R7052053
PT FTR,R5397424
CA LMW,N52561635
GB SUI,N28972748
NG EGB,N501381359
IT XGG,R42835
UZ NMA,R15550186
US V8I,R176110
KW KWI,N544060405
TN N4T,N1124133881
US HBU,R125891
NL OSW,R271038
FR FFT,R107651
GB HRY,R2877689
FR AVO,R1122559
US IQW,N153452726
PL SZG,R3222959
IE EFD,W570053558
FR BWU,R2815342
DE EAO,N286370811
FR RZU,R107615
FR L85,R166748
SN RQ2,R12982159
LU GRB,R1354531
ML EYL,N1996806372
US JRR,R6584713
US MLO,R1842125
KR UIJ,R2409183
US LGT,W32976037
CZ PAC,R441041
WS SAL,N3358960369
IT CI2,R42423
US GA4,R188436
FR BDH,R60259
FR WZN,R178176
FR PMS,R74089
CA VAE,R8382390
FR ZJK,R56843
US YAT,N158317002
CH TAF,R12120617
DK HDH,N271933390
FR JTC,R910120
DE FWH,W326604807
US ZMP,R2385554
FR EJH,R147866
IT GAO,N6351763718
DE TUS,R957770
JP IRA,R1768272
GB BAC,N27039252
US BN4,R206872
CN ZJK,R3295555
US FZO,R178969
US SXO,N157590230
CH NKN,N29138912
FR C8H,R129441
DE 2BL,R3650667
US PTU,W32975261
ES CAB,R342808
US OCD,R169733
NL HUK,R301908
ES VB4,R344088
CU SCU,R5919053
RU ORE,R1776249
AU FTP,R11677834
US NLO,R4836510
MX UAC,N333132844
US QLE,R117521
US CFF,R12199555
AT GRS,R959849
FR NTJ,R1136122
CZ KKR,R439858
CL CMP,W185918379
JP HDO,N8745029168
FR OCZ,R126909
NI DOL,R5737929
FR LNZ,R1853370
RO PEC,R11321995
CZ MVC,R438241
FR AL2,R2633868
GB KIL,N10749470871
US KWU,R9696249
PH TUY,R11810260
FR ZBW,R3349930
DE ETE,R548040
ID KLE,N1308674996
CI GLU,N359133934
PE ILQ,R1875901
BR KOV,R302784
IT ZEF,N3406769492
PA PGR,R9360937
IT GZI,R46136
SK LBT,R2320250
DE ERZ,R452420
IT ZIU,R42438
NG UMU,N2841325913
ES COJ,N10541858519
US NXP,R14988905
DE PRC,N401875819
FR BMI,R1401565
IT CUP,R41719
CF ODJ,N2062815556
AO BAB,N2111968665
CA WMH,R11932201
NZ FDT,R11282275
DE 8AI,R447188
RS SOT,N1075543743
US BSU,R129556
HR SEM,N343591611
US ZD7,N150971429
US EZM,R185296
IT MCH,R44861
US PLB,R175544
NI GRA,R5745675
HU DIO,R112433
UG 4MM,N10536404866
BR YBB,R1830501
DZ DJE,W250465184
GB HXX,R721971
PG KUL,N10300558384
BR ADW,R298023
GB BBS,N5004594070
PL MWI,R2908861
NI EJC,R15753690
DE VNG,R1252452
AU DAJ,R11677466
US WL9,R126803
JP MAS,R4050234
GB UPN,N1372483996
FR FR3,R154059
FR RZZ,R393245
US RNA,N158229433
CZ KEL,R437033
BR PWB,R362473
US GPP,R185286
ZA AUG,N262694912
DE ZGR,R2307064
FR A7C,R132491
CN FLG,N244079115
BO PTS,W320557793
PG ULA,N6579663679
ES PAZ,R344926
US COF,R131969
EE TRV,R351640
US S8T,R3284837
NO ATA,N10210298669
FR VMI,R531449
IE BDO,R9517614
DE MIB,R4237034
US XAO,R140735
FR BB7,R114148
IT PVF,R44571
ES MH2,R339872
US NA4,R10093474
FR 2CV,R122429
SK MJ7,R1859940
BR VOR,R296618
FR C8U,R120520
US GOY,R6587478
US EZQ,R4207260
US SPT,R136562
PH QZT,R106569
BR CRT,R314618
PH STF,N198492701
BR IGT,R314848
US BQ3,N151636578
GB SRR,R2612367
CA LAZ,R7471580
FR 4LC,R153023
IN PON,N344709752
AR VRS,R7314771
ES SMV,R347589
GA MFF,N2178090546
US NB6,R188458
ES EDO,N288260836
US SOU,R1946483
ES CSA,R6744127
CL IQQ,R239456
LU IZG,N69621992
DE UIM,R943668
NL SND,R271172
US IKA,R126888
IT VCD,R39919
CZ HSP,R438600
IT BHA,R39531
CA STW,R2222359
PL CI2,R7620914
FR QTC,R361750
IT OUO,R41657
IT OAA,N1771784219
FR V2D,R102502
NO BVN,N6255746226
IT CI7,R42287
GB WCW,R2913746
CH WTL,N27629808
CA MGH,R9303495
US HX9,R6927152
DE A66,N415489671
BR MRE,R303700
IT MIE,N266030232
ES BAS,R340591
DE SUG,R1392805
US ZTM,R176190
US CIF,R3160367
US KGM,R3735843
DE MUX,R453394
AR EMX,R4445880
US ERE,R178980
US WQM,N153910175
US TNQ,R1546085
FR MM7,R132334
LV KKV,R2690904
US VSN,N154307430
CN FSI,R2773866
US RIU,R110703
DE KGU,N761263502
CA CLG,R2408839
US AZT,N150971901
FR FOO,R166096
FR JMQ,R128151
CR SRP,N428641077
ES ADF,R343527
