GB URG,R6090404
BE NLA,R4680287
FR MMW,R3266091
US WEB,R1844203
FR IOE,R2955194
MX 9CP,R5605616
GB MRE,R3412318
MX APR,N299491891
US WEF,R193949
BE RLE,R3465190
IT ZSG,R44763
US NSV,R175997
FR IYR,R1625798
IL NHR,R1387889
US JYR,R175904
BR JIN,R362329
BR SNC,R334612
SE GHT,N330802871
GB GNL,N695786293
CA NLC,R2862610
US NKS,R186632
PT ODE,R5403270
CA MDD,N1194959246
DE WAN,R153401
AT WEE,R111449
IT CGH,N4197514008
FR 4SY,R280711
BE HUN,N686681344
GB COB,R9274289
US MCQ,R120000
ML KDL,N2147473031
DE LNC,R935164
US SPC,R11304261
US LGX,R8077614
SK CHO,R2218886
BE AMY,R1997428
US TSY,N153888466
US XEL,R184210
HU CKY,R1607540
DE HOH,R450218
US WYN,R170717
ES PAC,R347573
IT FSE,R44469
DE AWA,N60960413
BR STE,R1842745
ML DIO,N1703669111
CA BEQ,R12079696
DE ALM,R453415
DE 7BP,R2899667
CA SGI,R8110660
BR PAQ,R301149
IE ATH,R14582923
DE DEG,R959809
DE 22E,R1797622
NL VNH,R158755
NO REN,R405679
FR YU6,R125230
FR GSB,R126137
CA CEE,R8277031
DE MTG,R562972
ES ESQ,R344689
US BGJ,N153741918
DE CFO,R1250227
DE BHU,R111406
PT 8DA,R6430243
US JLV,N154364262
SK NEN,R2272531
US NNO,N158621100
US UKO,R141259
NL BSB,R163550
GB ANN,N26747494
GB LIF,R1410780
US W3R,R12194418
DE SAL,R225496
FR LGR,R180742
IE BNY,R6934514
AU KGF,R3080715
FR PVA,R897529
NO KSJ,R406656
US BRT,N151522330
DE ISY,R2806739
DE 65B,R1416728
US MNG,R193976
FR KKS,R1121666
CH LOY,R1685031
FR Q4J,R899209
IN GUX,N2037233125
CA PLM,R7360202
US LFC,R2310727
CN MNG,R1278189
ES VZO,R348941
FR L9H,R3006257
CO AAS,R1438579
PL SWM,R2911930
US ROV,R206963
US XTA,N5981834624
MN MXW,W372833721
GB BNW,N29369462
IT SPS,R43472
US C3E,R12278571
DE RCC,R2778403
DE WLZ,R252182
AT NAD,R131962
AU EPT,R11689213
FR MF6,R533709
US WFM,R133599
FR R26,R415575
GB WBE,R1630461
DE ZNE,R943678
DE HAC,R453157
PT HOR,R8010422
FR JMN,R147945
NL ZEI,N47282855
US WAR,N154116130
ES SGF,R340553
FR RTK,R145675
DE DZ9,R1255901
CO PUU,R1342118
GB PWL,R11259399
SK NRA,R2210192
US BZA,R127455
JP SHO,R4674742
CN ZBO,R3468503
FR QNY,R54546
US APS,R119556
US UZB,R1933746
SK 8KS,R2381122
US HXF,N151429254
IT PNE,R41158
BE SKW,R13111329
GB BZE,R8444697
BR YAT,R242315
CA LAV,R3532125
CH TM2,R1682557
FR AFS,R2839736
FR FLT,R73684
US BV4,R127624
CL FLO,R1622109
PT MIR,R5377897
US JNK,N151764756
AU JGR,R3014354
AR ANO,W699522084
GB ANS,N3912817484
AU HAM,R2402450
EE HLA,R352634
BE JDO,R1321606
CA ELO,N479696095
FI LAP,N261107369
US QLZ,N141038766
GB MIS,R76797
FR HAP,R3258110
FR UPS,R88608
FR MQ9,R3289256
US IYB,R129909
IT PPN,R44932
DE WRM,R308392
US TN2,N153568522
MW MU7,R5645592
GB MUS,N30349906
US UMY,R1832780
CA WTM,N51971810
PL GDP,R2970193
FR MAM,R1180676
AU ARC,R2929277
US JEZ,R127545
AT 6NR,R89524
US WAF,R251707
SE VTR,N367256378
NL TNO,R411985
IT RVO,R44024
FR H8L,R145705
DE ADU,R1060416
DE 57Z,R454251
KR TAE,W1120786923
CH NAT,R1685345
DE ZZN,R966595
US XRI,W32973300
FR 2AT,R277230
US TLX,R137317
NO BDU,N130160766
FR ZAG,R115249
US 2CW,R170485
ES SAM,N2178668989
RU PVE,R3170616
CH OBM,R1684387
NL WKA,N4230951092
NO REI,N249162202
US GQY,R180315
MX COC,R5605670
BR TPR,R362303
US GJI,R114494
DE R9N,R383671
FR FYE,R107538
FR 8EX,R1774568
TD MQQ,N811383246
PA GBE,N5732568761
AT SUP,R106088
GB TYW,N96043096
GB BEB,N4258359470
BR MQR,R332467
BE BGY,R958941
FR BNH,R1163207
BR IAL,R302844
US 9ET,R12206885
FR GUV,R120203
ES XAR,N288260082
RO BAR,N385070212
US VIP,R8534112
BA DVA,R14620587
IT GUI,R42150
RU KS2,R3832878
FR GNB,R80348
US VYX,N157574748
DE TNH,R443339
DO VGZ,N357281817
DE XNG,R29829
BR JVR,R315135
PL MBZ,R12645309
US GI8,N153472903
DE RCA,R961326
NZ ART,N666995206
ES ZVC,R341910
TR TOC,R9381694
US AJV,R13812614
AR LPG,R3266014
BR JNE,R302487
IT OBT,R42015
KH PNH,N560229438
FR SET,R255450
ES SGM,R347124
FR LPG,R376273
KR SYS,R7680384
IT RFF,R43504
JP KMN,N8496040192
CH KAL,R1683899
ES CSI,R12603479
FR ZNS,R2967453
RO HAU,R10520138
FR TQT,R155878
IN SMK,N245625473
US UMJ,R1217207
GB GLO,R181362
JP SMZ,R4674584
US CSM,R185175
MX HGO,N5889153770
AU THE,R6199060
US LJM,R176109
US HXB,N150943527
US SFW,R242830
ES LRU,R347039
FR BXY,R1004408
US DPB,R129823
CA PRP,N316000631
DE 4AN,R1171858
CA CVA,R9337971
US B96,R169758
US DVW,R127755
GB LKG,R2957152
AU GYJ,R11690426
IT ZVB,R39770
US KMO,W32975335
US H5N,R8540253
CA ESS,R7433380
SE LED,R935526
FR P62,R178760
SE ARI,N303081159
US WGX,N4060601177
JP TEN,R4135368
PH CUN,R12696179
PG BNA,N8940442050
FR VZX,R254683
FI HAA,R2525917
RO ROS,R10664072
FR PBB,R125622
BR NBO,R325857
US IYC,R125838
CA YZF,R9476822
US N5B,R169398
AR RIC,W332070857
FR NPO,R139229
GR EDE,N130167081
FR SDS,R160931
US 5SC,N150960607
TR BAN,R1609673
GB HA2,R3902497
GB ETH,R297318
MK VIN,R6854811
SK LUK,R2190405
CH UTR,R1683149
AR VCF,R2607581
NL ZLA,R161155
US NAB,R206862
GB BDW,R5520522
CZ STO,R441507
DE LML,R324307
BE OUT,R3389827
US PRR,R185263
US C5E,R133614
DK FYH,N124503486
CA SAU,R7734575
FR PIL,R405619
US FQH,N151568639
FR ZCC,R78683
GB RNA,N191969052
ES OPM,R343022
BR RCC,R333642
US WFW,R12045725
BR NTL,R302682
US WUX,R237693
RU VUS,R6944335
AT PFF,R79368
US PAG,W33005188
US XHC,R251619
RU LDY,R1709594
MX AYU,N1925856341
SK MDC,R2205346
BR BIR,R298502
CH LAV,N2755005593
US OTR,R130254
US UEP,R182914
FR L3P,R1955490
US 7GY,R3076754
FI YRO,N4889138401
BR MWR,R297830
GB GWR,N4718316536
FI STR,N282091895
PT CPV,R3603032
GB BSI,R2960701
DE HO3,N71838999
US KXO,N150932742
FR 8FF,R122570
BR MEE,R301175
US HRE,R119800
ID TNB,N1308616889
PT AMB,R6482767
US CCY,R128612
DE HBE,R452196
CA GRW,R7905168
HR BRV,N364493399
US NLE,R10155181
NL WKG,N47808760
US TCQ,R194080
LK KNA,N1924765777
DE 3AH,N473582470
ES AR2,R342628
FR B8L,R146739
ZA MZY,N2504777790
US YIQ,R126867
US EQT,R169305
BR QMA,R2220791
SK VYS,R2320261
ID RAQ,N1271814866
GB K4N,N29814349
CO SMC,R1342092
BE EQE,R9237170
BR MHE,R301262
IT LAV,R46912
IT MMV,R44387
SE HOR,N278975256
PT REO,R5714253
ES CPN,N10960286983
IT FNL,R42925
TH SAM,R92056
ES CSH,R1866453
FR DBP,R140124
US 3AL,N150934868
US QRG,R370096
MX 9SY,N2922672065
SE SBY,N615103542
US LNL,N158487632
HU ROS,R1025069
NL BLI,R2648700
US ZAS,R179701
IT RP5,R40842
NL EMM,R413536
TR SRC,R12199392
DE CPZ,N31603337
PL MQ4,R3485165
HU KPK,R1367914
ES ZJR,N296382379
BE IAI,R3389798
US C5H,N153531418
US MLZ,N153645719
FR CRN,R419078
MX ATA,N10879824878
AU C8M,R6028856
IT BIB,R43438
BR FOI,R297583
CA PTB,R8335570
US ULM,R136996
FR QQR,R3069341
US VSI,R12935161
FR PLQ,R342457
US KDY,R6587481
MX SCB,N320933088
AR CPY,R11771193
FR JMO,R156340
FR R59,R138332
JP URK,R4079314
CA DUN,R8805573
FR IRG,R168236
FR ZBS,R152148
IT AI9,R45709
CN LOS,N5418630956
BE HLN,R11652040
FR MCD,R141177
DE BZW,N240046772
US KCX,R12203484
GB HN2,R2399718
DE IBH,R1080487
US EMR,R175921
FR L7M,R133934
US EUL,N150920077
CA LRS,R11961576
DE NZL,R1384846
FJ NAN,N1747350047
SK LUE,R2273295
FR 7KL,R88827
FR SPI,R2980999
US JVV,N153699441
CA TAS,N9241412716
DE 2AG,R1021826
NO SPD,N305721486
CZ SUK,R439438
DE 3BP,R1254062
CZ RKV,R442296
FR ZTZ,R158809
BR SCZ,R303718
FR LAK,R1270589
IL GLI,W94713250
JP KYU,R1861888
NO BKD,N9008181374
FR GHG,R1059844
AR SAN,R3190588
FR QND,R78741
FR ZGL,R116564
DE 6AD,N240099647
US FK3,N157609213
DE LVO,R9251678
RO VAS,R14783940
US RTT,R182968
PL FJC,R2690968
BE SOR,R1394106
MU VER,R15355447
GB HUS,R3333830
BE KJK,R961284
DE AA8,R1428588
IT CQR,N2125736715
IT ZQF,R40621
FR V8L,R393469
DE ENA,R1329612
US MNT,R253861
US DFE,R331919
FR JAM,R377037
BR MDU,R314839
AT ZIE,R104790
FR DGD,R156548
BR VRA,R2217382
US 9WA,N150949442
US WMC,R170109
GB ADB,R5429256
CH VMG,R1684452
US CKJ,N158611796
IE CGO,R6934539
US RTO,R111802
HU APG,R1130412
IE LOU,R9305946
NL BDA,R2648721
BR ALG,R1829622
BR VIA,R296682
AR BEC,R1770851
MX PZO,N269914565
NL ANK,R9745218
GB SVK,N597407482
DE MHD,R173853
CH JBZ,R1682820
IT CTS,R39221
NI LIB,R15731351
GB SDY,R1664847
FR GLI,R114378
FR TT8,R339080
US 3SF,N153560546
ES ZGC,R339630
CZ ZAY,R431440
ID KWA,N3967322460
US UXX,R1844201
US ZVR,R239978
US GRI,R169295
CZ CCN,R440350
US MOV,R141098
PT MCV,R5379541
JP ITB,R1760078
US ZG3,R8539820
GR APO,N1834246932
US YUB,R6428270
US MK6,R242246
AU BMW,R2398082
DK AGE,N1242017995
US ZGT,N158483242
US BRQ,R125649
US EGJ,R140718
US GKF,R12218539
CO TAL,R1423475
FR C3R,R102859
RU BCX,R1762544
ES ZYZ,R346058
PL LAS,N31587564
NZ RXB,N1186832988
AT MGL,R104146
PL KOE,N31531874
CR SLN,N3283182399
AR VCA,R9422446
FR LNE,R104024
IT ZHR,R43796
IT ZNP,R43577
GB BAB,R4195961
US VN4,N150939970
CA YQK,R7678623
DE LNB,R454330
GB RNE,N475595825
DE 7B5,N307434204
GN MLI,N2461691464
PL KEI,R2853756
BE HLX,R12898074
GB HXO,R2401114
FR MXE,N7200527971
DE GL3,R455486
IT MDR,R42730
ES AFA,R340307
US BAX,R1216958
IT ZGS,N2055219715
GB TYU,N26585933
VE PMV,R14426881
TH CHB,N366477502
BR PNK,R333629
US ARZ,N154119922
LU LHC,N266690146
US RQS,R130019
AU ADO,R6249171
GB LDH,N29174382
KZ TDK,R3392135
US IST,R239878
SE NSO,N29691963
ES FKU,R346860
IT VTL,R179202
DE KDI,R943546
CN TNC,R6718637
CO PLL,R11375598
VN TTH,N5720442088
SE SIM,R935529
CA FMS,N6700724627
DE 82O,R1021824
DE ZTM,R1245780
BR IIQ,R333656
CH GSR,N574804746
PL PEK,R3224794
FR GNY,R29369
PL CZZ,R3094549
AU KUN,R6063635
NZ TIU,N410464091
US XML,R196128
RU GUB,R1645360
BR FGO,R296730
TR MEK,R7648808
FR DAE,R106683
PG GVI,N1268245351
FR B2I,R135617
ES CZT,R341547
US HQ3,N151956641
BE HDK,R3899301
FR QSY,N295557511
US RYA,N151345559
CN GFU,N8293874933
DE B92,N2970889830
FR GLW,R3020527
CA NPI,N52556906
GB RUA,N8412297564
BR PSL,R297958
LV D7G,N561084224
IE CHT,N52261891
US JIG,R175650
IT PCG,N975222294
PL DZZ,R13606027
HR HLE,R12314917
BG SNK,R12643852
FR S9R,R1216380
RO PAT,R14778466
US AN9,R170929
CZ DRE,R438092
CU GIB,R5904275
AU NS8,R5644409
US HU9,R136810
BE MVA,R11134667
FI PEL,N53914472
US BDB,R176259
US XGL,R170336
ES SRA,R344024
JP SGX,R4011902
ES CUB,R339969
FR HLP,R147924
TR MIM,R9460377
IT SAZ,R42821
DE GZB,R1384848
CA CBO,N2522824988
GB NBY,R3978642
IT TEZ,R43455
MX CON,N1905111453
IL KRM,W30062718
AU VHT,R2402484
DE NED,R79194
LU CEL,R1353121
US B9V,R121435
GB FKM,R1022692
FR VZA,R3229825
DE HTN,R61945
VE MOR,N332581617
AU IDK,R6389121
US AP2,R198741
BR JPI,R298383
NL WVG,R272187
FR U5I,R1450196
PT QUI,R6461808
US UAA,W32973003
US MFD,R182659
US FWL,N7679209296
FR D3N,R155903
US IKS,R15922471
SE EKB,N2995290377
DE MKF,R356991
FR RAH,R90334
DZ QFD,R3823980
MG TNR,N27565116
SN TUD,R13053248
BR IUB,R314791
AU MWA,R5836815
US JPG,N157619984
IM CTN,R1031319
US XGZ,R133382
FR LBA,R103823
ES EZG,R9907815
GB GBD,R918092
GB SRL,N27365029
FR 7YM,R1550559
CH BSF,R1682086
DE 75J,R1797686
MM MNU,R5996708
US XZQ,N157571236
CR TCS,R5720483
GB ABI,R6841725
US RSA,N157643498
GB GTA,R8228397
FR IYU,R2603128
ID WSR,N1308655933
CH PLO,R1685523
FR AMV,R133745
DZ TAH,R6024211
AU KGA,R6076700
JP OMZ,R4674508
US GUS,R127432
CA SPK,N1023507652
CA TUS,R9270793
SE FBY,R4561567
US RHL,R175985
FR M4S,R2815661
US JDD,R127335
HU BGB,R1405224
US JNY,N158844825
BR MJL,R314897
