DE 6AY,W315967721
US MRX,N150965214
GB BBR,R7654582
GB MUT,N29621323
GB SHK,N29801810
US YPQ,N150943594
FR TEI,R538366
JP MOA,R1877091
CA ORI,N61097209
FR L8O,R34280
BR CFN,R297709
GB MOT,N31072114
US NJP,R195956
ES HDL,R345401
AU AFD,R3159319
US OR3,N151862952
AU PYT,R11676617
IN VGH,N245584469
GB WHE,N267763123
BE CBF,R2437641
BR FUG,R301185
SK STA,R1556720
FR NYC,R58145
FR SUJ,R2266650
FR JPH,R445183
DE FSU,N248914987
US EDB,R179999
US HEF,R110122
FR WSK,R2666909
IT RNN,R42257
US QLN,N158613766
BR QIS,R242400
DE SH6,R5446760
US QV2,N158372855
US HO7,R198661
BE CET,R1150064
ES SRF,N244714670
US HYV,R179813
US NMT,N153661340
CZ KOR,R437315
PT SEI,R5401739
US P4V,N153899224
IT CIJ,R44989
IT NTN,R44534
CN MAN,N5033667170
US BOG,R170590
HU LMY,R2702615
US EL7,R188025
US EV5,R11117293
FR RMS,R302238
FR TIM,R2952181
PY LUQ,R6002474
DE 77E,R1970198
BR BEH,R301086
RU PDA,R5844363
GB DUT,R5218834
IN SIL,W22826546
IS DJU,N59861224
US GV8,R133668
CN YUE,R3289422
BE BAI,N282772667
FR AB3,R379048
IT MGS,R43640
MX AC3,N473374709
BE RCL,N1640542620
FR QLM,R110092
PT PFT,R5998602
DE KER,R331029
BW BBK,N1712387804
PT RML,R3372413
FR C29,R1226782
US SGI,R125734
DE PPD,R2261208
GB BGA,N29345752
DE 97B,R2405007
GQ SSG,N292521364
FR PMC,R400504
BR DRE,R302739
SK MLV,R2207333
FR LYG,R1772305
NL MDO,R1419549
LV SRD,R6649088
FR ESN,R5811930
AU XTR,R11674838
CZ VNI,R436091
FR MV9,R52401
US TUP,R7155943
JP KOW,R3291140
GB GTO,R4276855
RU GAT,R1316250
SK KKU,R2145244
IT CIV,R44385
FR CTW,R452522
CN YSF,N9148368416
NL ZVH,R1731322
PL RDU,R2828744
US XEZ,R117178
US PN8,R251578
US 6BV,R123019
FR DII,R547853
US WA6,R170469
IT CLH,R44156
BR TNS,R332486
IT SEN,R45361
FR DPR,R269988
CA SCM,R7707051
DE SWO,R8604700
NL ZND,R1515020
FR EUX,R87257
ZA ZFG,N262722437
DE OWL,R1241636
GB APP,R2515413
US QBJ,R12793154
NL HGM,R1879802
US ESJ,N158804724
US ONW,N154169300
GB BSY,W70043698
BR AAZ,R336768
DE MKH,R443525
CN JLE,N244080761
FR LN9,R111364
CA RWA,R11890342
JP STN,R4087999
CZ LBC,R439290
HR JSA,R11112262
HR MCC,N1197593512
FR MMM,R80333
GW BQE,N10277751748
BR KBU,R298069
TR LAL,R1833421
US RHA,R14988939
DE HB4,R1270364
US PAF,R127403
US 7MA,R2017761
GB SPS,R1875311
CN LIY,R10809733
GR PME,N1477877619
US KL8,R187720
FR V99,R1222796
US MDG,R136896
US NZC,R193857
US R9S,R11051996
SE TSB,N1159900622
FR CMM,R115128
FR AVN,R102478
ID LWG,N1563590954
GR VAO,N360627209
CH SCH,R1683703
IT CEQ,R42170
FR BOF,R535316
DE ROP,R966170
FR 2AM,R534514
US LA9,R132249
FR LC9,R117763
US GDG,R134926
FR DSP,R151705
FR WME,R111316
PT PFR,R3658971
NZ LYT,N299170477
IN MOB,N245709936
IT ERR,R40507
JP WAD,R3982792
CR VA2,R6362941
US AD5,R125916
US SB8,R8897010
US OZG,R206912
GB RUV,N5000008575
AT DSZ,N34994743
TR DYL,R1240902
DE 62W,N307729131
GB DET,W248441818
US ZOK,R251415
US GAS,R6586490
SK SIB,R2273341
PL GDN,R2597485
US NRT,R3075870
CH HOH,R1682874
ES B7E,R347667
HR GIA,R7896726
GB OSP,W49802763
FR QX5,R3281798
US BLK,R121301
US 8AC,N150968315
GB TLI,N272914934
US 6FV,R182953
ES MJP,N1455833476
CZ STM,R428812
UA SOK,R12207313
US ED8,R14049836
FR SOL,R73899
SE SZH,N25869332
ES LPM,R340526
RU POK,R4869409
FR RG7,R3244875
US 3DU,N150953306
DK MAS,N2941502622
DE ROJ,R964561
CN DGH,R3205795
FR RXN,R68735
US MZ4,R136600
FR GFA,R107420
SE SZY,N28968680
HU CGE,R1456960
FR JDE,R107406
HU NAY,R1027795
FR VY6,R3018477
PL WNC,R2857082
US KMH,R127439
AF SBF,N7714085459
US PLM,R1216812
CH LGS,R1685504
BY BOB,W306351588
TR YIK,N1490571171
BE AAS,R929868
NO HGA,N9903700818
US BJD,R13578482
US FFL,R128428
NO YGD,N33390034
GB LEN,R4744926
BF HOU,N993610477
CN STG,R3282750
HU KIR,R1428544
FR AUZ,R929403
ZA MNG,N262712420
BR YTW,R301278
ES VGZ,R343194
SE SSL,N281722106
FR GVK,R1066917
JP TUI,N7163593898
JP SGH,R2689481
US TTN,R170584
BR JDS,R332844
PT MIE,R6548204
US LNT,R1217023
RU LVR,N527802328
DE GAM,R943539
IT BZA,R45892
IT RPI,R43534
AT GF2,R75318
DE EET,R1016532
FR PL9,R533820
DE WWW,R941081
BR PIH,R297533
CZ ATH,R437601
CZ PLC,R440298
ES OCT,R347605
FR C36,R142258
LU FDL,N5226188582
LU STG,R411374
CH LNZ,N252620155
BR CHM,R315174
NL SLT,R162187
US B4T,R137841
FR LPA,R2966139
AT SWO,R1016890
BR IDY,R298049
BR USS,R296643
TR OKM,N6274658393
AU MAR,R5701701
MK TBR,R6965632
US KTR,R182150
NZ CTN,N334885265
FR UEE,R126439
FR GN5,R418670
IT RDZ,R44816
PH UPT,R13255989
US JGL,R10155180
HR KPA,R15736904
US PLK,R140500
BR DCO,R298371
PL ROW,R1395102
BE IDG,R3390744
GY LTM,R11274582
ES SFA,R342071
RU SNA,R1360864
DE PSI,R2321817
US ZB3,R135044
FR VLL,R115849
JM EWN,W247141051
DE GLX,R2403719
DE 3LE,R546640
DE TOW,R9308860
CA LIN,R9330318
DE LDN,R418618
IT ATG,R45033
TL BCH,N1013912389
AT ENO,R907902
DK HJT,N270463228
IT VD8,N418013839
DE 94B,R422346
SE GND,N2914400598
BR YMM,R302533
GB SIY,R948055
FR FVL,R2740247
PA PVE,R8464035
DE 5AK,N89036514
FR TS9,R23790
IN NSA,W49499133
US XR9,R9696246
FR BTG,R76013
FR AU2,R1930616
FR VVG,R78636
US GTZ,N158915291
FR EL9,R536792
DE 65Q,R310416
US BM4,R10405880
NO MJK,N573600133
DE K7H,R350014
DE FHD,N275817658
AU BPG,R11677914
US VBU,R6700055
FR VLH,R1251175
DE POM,N309372470
BR NEA,R315306
IT ADM,R45745
FR ASE,R1410843
FR NTG,R419500
MY SNI,R11204378
US WSY,R141417
BR MLO,R298450
IT ZEU,R42067
DE B7B,R1254388
US PG8,R3306054
US EHC,R123417
US VRY,N154129018
CA BRI,N52553894
DE WBN,R2404190
BE SHM,R1184308
US MXH,R127842
NL KOE,R2680582
DO PVA,N9945256429
DE WRU,R2792766
PL ZYW,R2705721
AT MLL,N181491197
IT GAP,R42301
DE AID,R958099
US PP3,R170311
US NCC,R3301099
FR EXO,R172059
CH EHK,R1684519
GB TYD,N3712052604
FR IXO,R151732
FR C2Q,R1235970
NL WCH,R418420
US 9VV,R12194361
DE ULZ,R75589
US MIG,N151864676
GB PSY,N31817979
CH BRG,N240042745
US DSP,R189042
FR NLO,N282724096
IT VTB,R41816
US LTB,R1216825
BR VMI,R242596
RO NDB,N508356589
US RRC,R171226
FR FXA,R145674
FR SCX,R54514
BE HYD,R13072255
JP HGM,R5302161
HU KLM,R1432110
CN GUG,N1949301592
NO ODD,N31264122
NL ZLK,R2696406
JP YKH,R4008324
PL LOE,R6757684
BE SKR,R4196236
DK SGD,R1928254
DE TEI,R1015122
US BH9,R1216950
US MX3,N151837834
FR A5U,R124383
FR AAY,R2016013
IT ZVK,R39271
CA HUR,R2256627
US M8Y,N151408749
US RKN,W33613830
FR XMD,R1918450
ES HLO,R344211
CN HGK,R398351
JP SOY,R9418748
BR CRL,R362354
ZA ZCE,N52132483
BR PIV,R242607
PT TZN,N5272113235
PA LCU,N8332266662
PT ARP,R6431661
ES REC,R343345
ES SM9,R342169
IT LTG,R9277438
US XTK,R9201877
US CZO,R253975
DE HOW,R1244287
US AH7,R129733
FR ZZO,R149241
JP KZG,R358625
DE WZS,R959854
SE VSP,N367188694
FR SA4,R3212258
EE LAA,R352184
US DXV,N151341141
BE STB,N673929759
DE AB5,R2403955
US SVK,N158838221
FR RN4,R2702373
JM FHP,N838967332
SS WUU,N237193709
GB CCO,R3333967
US DRA,N150950369
CH SCU,R4447223
FR TYG,R114354
FR MWI,R1129045
US W9B,R181582
BR LGD,R315207
FI LAR,R1855922
US PFT,N153912240
FR RC2,R123293
IT SII,N300685434
GB WKD,N30416807
CH CSM,R1685464
FR TLN,R35280
JP KUD,R4079481
CA NEA,R12104698
CZ SJV,R441845
DK SMA,N31226163
IL TNV,W700126397
GB LL3,R6614522
US SWF,R175469
CZ KTR,R437083
IT CBF,R44466
US BUF,R175031
FR JXY,R121637
US OFC,R127551
NL DRS,R2722836
US I8L,R125665
US EL3,N150966998
GB GVL,N29164652
US VCW,N150932719
DE WPP,R549422
US HA3,R13584332
FR CIJ,R382612
DE NKB,R453371
NO HUS,N565471710
US ARE,R136939
US BRO,R115275
BR CUM,R325880
LU OLM,R1651145
US 9BE,R8530008
IT PRA,N5022970450
IT OO8,R43546
DE STF,R82601
JP AWZ,N7619155077
ZA ZFM,N25456679
MY BDR,N254072953
US NM6,R121325
GB LOW,R7635029
US S78,R8024810
BR NXA,R333640
IT OPP,R44673
FR NDE,R1999633
FI RII,N5940472240
BE DUR,R5366898
RS ZMA,N249461506
DE MXG,R934763
AR OBA,R11569504
FR CVR,R943886
PT ACD,R6482764
US HWI,N150919736
RS BAC,N249463599
CH MED,N429533773
US LSL,R187444
FR AMR,R357764
US TAA,R119976
JP NHO,R4567362
US RU6,R3143378
FR XLN,R1934122
SK SNV,R2382009
BR MPD,R362391
GB CIL,R5572421
BR FDM,R362219
FR DRX,R80294
DE FRA,R62400
US HQL,R8059631
RU CEK,R4442556
DK SLG,R2181847
BR CVO,R362301
US D9V,R137103
PT SEQ,R4135209
DE MRQ,R1015094
US PKG,R6170528
US TXT,R6586825
BR IHG,R333641
AU KOM,R2519665
US TFD,N150933588
GB BW6,N662203278
US ORN,R11049265
PL WYZ,R3134551
ET LFO,N1150958765
CZ ZBR,R442569
FR BGA,R376337
US WHT,R6586830
US MHV,R3143404
SB SVY,N6336793337
DE ZIM,R1241653
DE RZL,R1021702
US HB9,N151963071
BE BGN,N5536628604
MU BTB,N2162701093
FR CVL,R148006
FR OGT,R120614
FR C9S,R168853
ES MFL,R344819
US CDD,R7444670
IT LES,R41564
US 8HO,R170476
FR WRQ,R153934
CH LEG,R1682530
US RPQ,N7304587912
IT FMB,R42885
FR A4F,R2786612
BR OAB,R301104
BR NDS,R302657
US CEW,R118888
FR BFH,R107037
BR RIT,R5173031
AU NSY,R5650497
ES FLC,R341396
CD KPU,N618524223
BR PUD,R296524
US ZE3,R6745009
ES ALD,R346361
DE ISS,R421955
US QP2,R184165
CZ NML,R434290
FR RC7,R134268
SE SSG,R935423
ZA FRH,N235539362
US BWB,R127396
US FIS,R194159
RO NFN,W74701219
FR TLG,R18318
US BRS,N150961011
CO LGT,N1527670005
FR URU,R18409
FR PXA,R2661459
FR GD2,R214557
US YXD,R13608541
IN NEM,N5417918236
FR WCR,R88600
SE HLN,N7482622065
DE AUW,N2989424806
US OHI,N151500546
FR ZDD,R85423
KR SHE,R2409181
US DER,R125986
US FOO,R15848585
AT OLL,R1013511
DE EXK,R1109687
BR ANI,R297984
US KTE,R195001
PT BCA,R6018071
FR HGA,R76183
CZ VEL,R441245
IT CLR,N369091331
CZ HLC,R436725
JP KOB,N8547452253
NL WXM,R334297
CA KNN,N8408799285
PL CCZ,R3093874
US OSR,R7669390
FR UNB,R104978
MX QUP,N448081705
US ORI,W32973299
US IUW,R121448
US VUL,N150941603
PL KLU,R2813016
US YBU,R129732
RO ULM,R14701136
AU HDD,R2439916
BG YAM,R4767886
DE HB5,R1258886
ID PBJ,N1308606745
PL DZA,R2911922
AE HAT,N8128209859
GB BXR,R1609775
CH CRI,R1684931
US BFP,R187298
FR RI2,R153605
PT RDM,R6528448
ES EPM,R14902113
IT CS8,R179132
FR LD3,R299434
US C22,R134959
GB XOK,R6024042
CH LUB,R1683904
US WDX,R180076
US KRR,N158571394
US PVE,R132237
FR MOL,R75457
GB KWG,N27330662
FR 8MY,R87605
CO SIB,R16160582
FR TPT,R1274128
CZ VEB,R441629
MY SME,N254073101
US XVL,R7042076
IT PHU,R45168
US BSK,N158817359
GB SGH,R6969501
IT BVB,R44459
IT GHJ,R40923
NL SRJ,R2713026
US LOV,R112537
PK ROH,N89437566
HU NYA,R1447715
US CJE,R197238
FR PNC,R173697
DE 4BF,R2397328
US R9L,R169692
FR FYS,R37021
US SYQ,R175644
BR PGE,R331470
HU HAI,N1362333623
AU YGB,R11689170
ES DOL,R343744
DE 55J,R1467755
CA PWE,N6507571283
TZ MBI,N255594923
NL HKR,R300162
US WFB,R2017834
BR AUT,R296603
SK KKY,R2206768
IT CHV,R47116
EE KHN,R350530
BR RMN,R314644
US RJS,R142667
BE BIM,N664657233
US XKB,R170661
GB FA2,N5517591117
DK RSM,N8009644266
FR PPY,N3432106950
BR INI,R296729
BF BRO,N647291813
US VS8,N154004131
BD CXB,N1412090848
BE BUD,R60888
IT FRV,R45331
FR NGX,R157734
JP MBT,R4542063
PY MIN,R6552050
NL GRQ,R409863
FR AL6,R1121071
IE LST,R7029781
MX CCT,N2955353923
US TEC,N3895254416
GB GTF,N30844665
FR V38,R1257126
US E9E,N151668699
JP ISZ,R1865315
GB CCS,R1608975
JP ANM,R4800047
FR BMD,R403812
PL LAD,R2428858
SE RAN,N33362010
UA UZH,R2692232
BR GPX,R298524
US GZS,R112329
VN BNG,R2587255
FR BUP,R1344981
IN GBA,N245640372
SE VII,R3050110
GB MLY,R1268495
FR LOE,R418041
AL SHG,R1248917
DE DT2,R357039
NL KWI,R1525645
DE 66P,R310388
FR IOF,R2965996
FR OB7,R107691
PT SFR,N1269410860
NL NRG,R1429421
CN CSH,N244077026
US OZR,R110697
GB XCH,R2503861
DE ZIU,R1251075
SE HJS,N2236313279
BR URI,R315123
JP SMN,R4110033
ES AEV,R343530
PT VDR,N3821458143
BR SGE,R302636
US OMH,R128839
IN POL,N5319194504
CR SID,R5634492
US AWZ,N158252716
FR BYH,R420215
AE SIL,R13251518
DE FUZ,R958115
US LMQ,R2045472
US ZBY,R206974
PH BGV,N198514971
VU LNB,N3413389362
GB BMP,N3925845657
FR SPG,R255718
NL KHR,R1373344
UA POD,R3557534
US TLB,N154011518
FR PHN,R380989
ET HUE,N321247208
UA BAP,R3030236
CA YSY,R9495772
BE HUR,N1690252395
US UUO,R127830
DE EEN,R1101377
IT BMI,R47222
US ZD9,R133196
IN RJA,N2408119848
ES CPL,R6929577
BE BHU,R391146
FR G77,R384100
JP GIF,R4716682
BG TKV,N273814165
CZ NVS,R437811
PL TGW,R2556630
ZA KOF,N262707788
GB WNW,R5656548
GB SWA,N21063632
FR WGD,R146607
HR SRA,R8427840
US LG9,N150981459
NL ZDS,R2713226
SE GAL,N290482990
FR GRJ,R142221
RS SZH,R2869336
JP TKE,N6316098690
PH PRA,R12253666
ES BGT,N1241841219
RU NOI,R1477110
ZA OFG,N262706290
GT EJC,N10970070917
EE PRN,R351785
US LK9,N151711398
US IRA,N154303625
CN DGP,N8093021094
AR VMD,R15793374
CL PVR,R1980517
SE HJD,N2236207004
