NO FND,N3402086742
US TDA,N158826478
CA HAG,R14626697
MX CVC,N59058448
US MX4,W33113849
GB TGM,R2989835
ZA ZCS,N32533237
DE ALY,R2186953
RU IVA,R1591464
PY INF,N5119207880
US OJS,R3305514
RO CRP,R9744241
FR TTQ,R285664
MX LUM,N1943525839
JM ROP,N4366875270
BR CCE,R334424
FR IEL,R391699
CA EDA,R14603057
DO SFN,R7386251
FR ZEX,R111355
MY PAD,N5668973700
AT SPI,R108847
GB KBR,N29087527
GB WSX,R2870121
FR UTC,R195305
SE GLB,N29025116
GB FNL,R141294
US GGJ,R8908870
CZ BAJ,R437557
CN YCH,R3307138
DE MKB,R1026856
US IDW,R184316
FR OPR,R166663
CA VIH,N3952955826
FR EDY,R411338
FR D5F,R1339877
AU CBR,N21674637
IT POZ,R40808
NL KAP,R2715232
DE GSY,R1156036
CZ ZLL,R440756
US WW5,R141053
US SWH,R126273
BR IGD,R2215549
US KAI,N150971833
US RVP,R6595939
NL DMK,N45675941
FR AGW,R77717
US LYW,R126594
IT LLO,R45657
FR 8LA,R3015697
DE DKN,N1695068228
GB HOK,N2698568473
NO VNJ,N264164901
IT P6A,R41155
US CXZ,N154366184
FR AFA,R1922627
CH THI,R1684438
DE B4E,R10773299
US WJN,R13514176
FR MAU,R55074
CH TUB,R1683950
CZ KRH,R440092
PY CCP,R3710869
US VVV,R251349
JP TTB,R3653983
BR WAR,R362425
DE GNG,R932494
FR 222,R146213
FR CDP,R148164
FR HL3,R172601
RO RCR,R9983563
FR RLN,R149996
US VJL,R130767
US EE3,N157576249
ES BME,N472275246
US UMT,N150917141
US ZXA,N151628952
BE YVO,R2268384
DE 4AK,R191496
SE SJA,R935586
FR B9G,R2165054
JP SUG,N8882303381
SK DRZ,R2217942
US HEC,R2317586
CH WLN,R1682229
US KLA,R3259926
FI OUL,R2711874
US IGH,N153785923
US A7H,R117188
HR MHV,N4826761276
US DIY,R131733
JP NKR,N8041548862
GB BUI,N29271479
PH AOO,R14636967
DE UIA,R419005
US DCS,R251842
ES AR4,R6879631
PL DDN,R2896951
FR HAH,R47924
CN NIA,N471001030
CN FJE,N3049831804
ES ILC,R345752
DE RFE,N268017741
TR HAS,N6274372382
US VGA,R126089
US B2A,R176291
SE TEO,N1678134049
ES GDU,R339658
GB ZCN,N2405848798
PT BEJ,R5403215
FR DGU,R171960
BR MSA,R296563
GB TOD,R921587
DE GUC,R1112862
AU BOB,R6063400
US PD7,R178956
US HRW,R251693
US CTR,R128356
DE BNB,N1675452871
PH CNN,R3488359
CZ CHV,R440323
FR LKQ,N1376534871
FR ARB,R21557
US UDE,N151710288
BG DA3,R1978206
FR QPC,R180048
AU BOX,R11716392
FR VZ8,R78477
FR ULE,R54153
DE B35,R443731
IT TVI,R45778
FR BQN,R302050
US RPU,R237655
US LW8,N158903176
US DPF,R12008371
LT KLO,N1452924178
DE UZF,R1130301
IT GDC,R40721
RS KOV,N848393787
US LTU,R133443
FR ANS,R74339
JP IZH,N5549095995
NZ CLY,N354677290
IT COE,N1177507385
IT RVA,R46310
AU CMN,R5650673
FR TGH,R216293
US CZ8,N9879366682
JP SUI,R358673
US 4CM,N153462572
FR VT8,R2390283
BE CUS,N671171284
RU KAM,R3374769
FR AEA,R2347992
BR YJU,R298225
CR RJI,R5714344
US HFX,R2395769
IN GUA,N1630011711
HU EEK,R1418120
FR G2P,R120309
IN JDG,N3415707455
PL RWA,R2755614
JP ZAD,R1758947
LU BKM,N861478763
BE VSL,R3369131
US LVY,R3161362
DE TEN,R2779379
US KFT,R126892
MX VIE,N4017375971
US RT6,R13734346
SI LCJ,N567336337
GB BCS,N1301251296
FR RZA,R2220589
IT NNM,R39844
FR BME,N1492356725
US C3U,R129687
FR CQC,R135631
CA MRR,R8271767
FR NS9,R111489
HR MUS,N1207922933
IT DLA,R41666
PL NIE,R6115803
IT TYR,R44560
US OYE,R176067
GB BZX,R3739332
IT BRF,R39226
FR EXR,R2933164
IE QSH,R5653516
FR JRS,R252638
MX HDP,N293525857
US MHZ,R6611957
FR ZEE,R52371
IN PNI,N245768111
DE KES,N25322927
MX LCZ,N4643169083
NO VEY,R409033
IT MDB,N4435049909
DE TAP,R454246
BE OLS,R9211091
CA BBS,R7927122
US B2L,R126797
HR ORB,R14622916
FR RBU,R275292
US RW2,R134597
PL SIW,R2910208
BR MSX,R301367
RU KSZ,R3729414
CA WMB,N51971708
AU HPP,R7268643
FR SLU,R1540717
IT PVU,N338918580
ES PSS,R342260
CA RGV,R9668431
BE LVM,R2337283
US VTO,R5541605
JP SIM,N8445634663
CH FTF,R1682120
DE UCD,R1244117
FR CQF,R286380
US LSA,R125477
GB CNT,R9279710
US MMN,R1800485
HU 8SZ,R1385346
DE NWA,R62724
US MDN,R127599
PL BIN,R6090348
FR MMS,R124951
US XAZ,R180332
CA AYR,N18058784
DE PR8,R1163508
PL SLC,R2860470
PY SBT,R6552054
FR SV7,R2131089
CN DLG,R10660746
GB TRP,N1699126964
US QNI,R15617747
IT PZE,R43253
US PEV,N158523164
US OK7,R184982
GB AGA,R11075093
BR RBA,R333993
NO VDO,N365795972
FR MTL,R129423
DE B4G,R1432583
CA PMN,R9245218
BY SLU,R6722597
CA CHT,R9327004
FR JES,R1169823
ES UTO,R344964
GB BGF,R8555185
GB TTT,N27364686
CN SXB,N2065803040
US OL2,N150962252
FR TTF,R78635
FI PIR,R1700655
BR AIY,R298322
NG OKN,N501522217
AT RRA,R3879182
FR SNU,R28752
ES MAG,R343638
IT MU9,R40883
CN ALI,R11502757
CZ PXL,R438767
FR DDY,R190661
BR LBG,R242365
PL SGM,R3027707
PE CAA,R1899022
IN ARK,W84649850
BR CND,R315438
US KMX,R207015
IT SGY,R44507
US WEI,R237389
US RJH,N150970857
BG BRF,R1978762
EG PSD,N27564975
GB LLR,R2850115
US CA3,R2387627
DE KL4,N309431772
NL MIJ,R1357415
FR XMB,R148808
BR CCV,R302509
CA DWI,N3817866120
PL OKO,R6080478
IE BUT,R6894737
IT BBS,R43503
CA TBG,R7496359
US PXR,W1000926830
FR DET,R75988
GR AMT,N134344382
US OPZ,R142503
DE EVI,R1379049
US WQW,R238083
US AJS,R3301156
IT DBS,R9277265
SI SI3,N385075870
FO GLY,R2529860
DK RAN,N26559154
CH WGG,R1684298
FR GUL,R3352914
DE WAH,R422875
IL KNR,W91665057
CA MHP,R7711419
FR S7V,R146136
RU TIL,N3671923209
NO HMF,N597452355
PL PSA,R6209540
DE 8BC,R1070975
US SXD,R111925
FR ADU,R76012
FR YBM,R75607
US GUH,R130626
GB AYA,R3357695
GB CGO,R4242224
CZ MMJ,R432794
US SYT,R135155
AT SML,N186642577
US OBL,R183904
CH MIO,R1684717
PE TGI,W744670698
GB ZAH,N954206391
GB LUW,N29347772
TR KRS,R13423934
CN JTO,N3380583524
JP TTJ,R4110890
HN GJA,N2393429973
CA ESP,R3309567
ZA GRB,N243287592
IT PIB,R43539
BR PAD,R362236
AT AL4,N212758378
BE MNO,R960120
ES CCV,R348330
BG NPO,R1922254
BO MLL,R4502105
FR NGC,R3061839
BR JME,R302663
FR CLE,R114849
US REZ,R2362362
PG SWR,N9400901622
BR SBG,R362548
FR CDT,R114331
RO TRI,R9714869
HU ZBR,R1359795
GR HER,N29438069
ZA ELG,N262720026
GB YTN,R2961961
GN PIT,N321619934
BR MIO,R302468
FR GHN,R127790
IT MUS,R1651602
BG SDV,R1978249
US MZC,R198769
GT IXT,N3993089048
US JOI,R177278
CZ OTA,R440573
DE UDB,R3340419
SE OLS,N322090162
US SJV,N150966637
US JIM,N151542959
CA EYV,N2169814402
FR EC5,R2680553
NL SDP,R2726833
CH BTL,R1682231
FR LTJ,R122620
DO CDC,N2110576737
BE ODM,R4010799
CZ CCE,R437160
FR 8HH,R269659
US RJT,N158804457
IT COM,R43208
US DV8,R132155
FR OVT,R147557
NL NRK,R2713018
IT TAN,R43984
BR CDN,R362139
US COM,R8058799
US ISM,R117709
FR TPR,R190815
US TIA,R8485569
BR PAR,R315431
US WU3,R252243
US OUF,R9884750
DK NYF,N26559259
FR FLE,R304597
CH ECH,R1684953
FR RNT,R416658
FR FAP,R403541
GB LYT,R9246618
IT ZCN,R40719
BA MGE,N1930625268
IT APC,R46049
DE BHY,R536238
DE FWN,R1240885
BG TRA,N273488985
DE REY,R544548
CZ OSV,R441331
US BKL,R134533
IT CTR,R39466
TT PSC,N9987627124
AT SER,R90143
DE WFG,R1184569
JP NIK,R4120086
BD MYM,N4737748822
US DMB,R110360
MW BLZ,N27565113
US HNK,R12203588
FR OQV,R157403
US OBQ,R175581
BE SCC,R12114440
FR EAY,R1106288
US EBK,R71920
FR BTV,R167615
ES LRQ,R346916
NL DXP,R2714948
LT MNK,R4564338
IT AT7,R44616
EC ELC,R286717
CZ SOV,R436981
FR NE5,R123517
AU ALB,R2927735
US UJO,R123429
IT TEE,N66503557
FR LMX,R444123
IT CVK,N4484269403
CL ALG,R296844
CA SOO,R2221061
PG AIA,N7416437519
DK NKV,N2930997035
FR JZL,R154225
US RWG,R129253
FR BFI,R152110
DE WSA,N1406275223
FI TOH,R2521762
CN HEN,N3311271475
AU HAS,R2441689
US WMG,R251889
GB NPD,R11174471
US IRX,R140057
DE LSI,N191844223
CA NLT,R8042774
IT M9A,N662794093
FR F7Y,R1552662
FR XCD,R173689
FR QLY,R113377
US QTW,N158583494
DE UH4,R2262229
US MPN,R6587596
IT GNP,R40400
ZA ZAT,W61526396
ES UE3,R347621
US VHJ,R962881
PE LMC,N276524308
US 9WI,R12208148
US GH4,R174449
FR FFI,R117200
AU HAH,R7381960
CH SVD,R1685157
JP ASO,R899031
DE WCN,R1070987
US R99,N153623440
US PHQ,N150951503
CU VDO,R15745753
PE ACB,R1933559
US CU3,R130808
FR QFO,R158978
US IEG,N153805365
DE SER,R157395
FR CUJ,R79237
FR 7BH,R138196
DE RKE,R168002
US P5C,R187729
IT ISE,R41385
BR MAU,R242572
ES LRX,N793983459
IT RE5,R44255
IT QOS,R40125
FR B3L,R68010
GB MAC,N335425727
GB RHS,R11224487
ES ZYY,R347254
FR GVO,R274204
ES ZX3,R339621
NL SGP,R2716688
CA SRA,R7704065
IT VDS,R47327
US NST,R187161
FR LDL,R74298
FI KEI,N6073730055
DE LLA,R3134776
CN HIY,R4590573
US NUA,W33128856
ES MRL,R346247
DZ TBS,R2814580
ZA MEZ,N48912418
BE HSX,R11584135
FR OHV,R150423
US ZWK,R170669
DK VRE,N289070610
IT CBN,N894283490
CN LIN,R2762624
CZ LBI,R439293
AU DON,N4420372570
IN PBD,N245696813
AO AZZ,N2124653703
IL DOR,N278473235
CA BHW,N51970904
US LZV,N158813219
BR MMW,R242521
GB MRG,N95076225
UA GOD,R3626219
FR MNO,R395853
AU BYX,N10538560890
FR JLI,R939949
PL LKO,R1403638
AU KPS,R6178731
IT CA7,R47121
US M4X,R2045558
US MIZ,R1216764
PY IUB,W769403033
CR OJO,N4632581464
US YT7,R188129
FR BEQ,R422447
IN AJI,W22826534
GR GSA,N240471765
PL KGA,N31799776
FR AZU,R146247
DE SH2,R1438074
NL ITR,N3138267642
US V27,N158423603
ES SN8,R344039
DE FAU,N20217098
DE 68D,R939489
DE PTS,R349452
CZ PDX,R442279
ES RIC,N349247484
CL CAN,R1591198
PL SAO,R2966301
DE VB9,R70147
VN HAN,W339940207
RS ZAT,R6305252
LV GUD,N2068341306
BR MDS,R2219090
CN WAZ,N1765220814
CA SLL,R7101990
US 4MA,R130102
US AFT,N154014251
SA ABT,N295921642
BR PGR,R298316
ES PDL,R345761
BR ULT,R298332
IT VLS,R46778
GB DDH,N3965249683
CH RWL,R1682910
SE SDJ,N1824642069
US OTZ,R4471130
NO MSS,R10155463
US T9A,R140503
MM TLA,W383545800
FR 3LY,N259806229
NL ENT,R1458734
FR CHF,R1169791
BR YMI,R296791
US EUF,R119455
GB YON,R7235910
BR CCP,R298401
DE WDL,R453007
NO JVK,R412429
US UDW,R2030036
US UWX,R125852
US XNI,R119588
FR PVP,R402221
IT DME,R45584
NL RUT,R275963
US UGG,R181458
IT ML2,R39284
DE AOD,R544558
GB BPC,R6016669
ID PGA,N1308683239
DE MQG,R941833
DE WEK,R148789
FR VQC,R146631
IT TDQ,R45165
ES RNC,R342291
US XGA,R181930
US N8V,N141037410
GR STI,N135548055
CH MIS,R1685048
NL ZEW,R409828
HU RTG,R1322031
CN XDU,N5042607335
PL JEW,R9754801
FI RJM,R16149927
FR B66,R1918726
CZ MOL,R437652
IE MAG,R3210188
FR WRN,R164568
DE BW9,R1244156
DE SL3,R390044
US LBI,R180328
IT BZF,R46021
AU MBX,R6079534
SN TOU,R13001555
BR SUH,R332968
IN ARI,N403065034
US BR5,R8903568
ES CLJ,R344967
AT RIE,R12870308
MX HUO,N9938388455
CA 8MT,R7022381
ES LGJ,R340623
CZ M2V,R436161
IE KLR,R4250850
AZ NAJ,R2379566
DE BPN,R1809013
FR JDA,R123668
ES LL7,R345396
IE KTH,R6527641
PT CNL,R8435153
ES ADW,R343578
BR JRY,R362295
GB GIH,N1360205675
US GNU,W32975026
GB NYW,R7847275
AT ETE,R114788
US QAR,N158798287
CO YMB,R1320727
RO OLT,R10697515
IT CCE,N315730539
ML NRM,N1703671092
IN PLY,N344712602
US OUR,W33135249
BG ZSS,N2760712249
FR LYC,R1083333
LU MFT,N264599809
FR UYM,R2964664
FR BST,R913374
DE B64,R1251151
IN MAT,R10000773
FR LQL,R125447
IQ B9T,R11053191
SE SKJ,N260351005
US SM6,N151591716
US AZC,R115395
DE 67R,R450216
DE LEP,R7466074
IT N5D,R43012
GB LGD,R1635052
FR BB2,R88855
BY LDA,R400507
ES SYL,R343091
MX JDP,N1278400556
FR CYN,R165238
IT VS5,R43391
DE LBQ,R959651
US 2DS,R195182
US UD4,R140870
FR MCG,R2792082
JP HMN,N7809827875
US S2D,R182971
US TCH,N151875678
AT KDF,R34885
IT JES,R42460
BR SAU,R362226
DE BNW,R956963
CA MAD,R7442180
PL IWA,R6581186
NG OGG,N501451481
US UOH,N154366557
AU MYA,R6079549
BR YJA,R334404
CA YGS,N4804822876
BR CWA,R303641
IT RBN,N2123136990
FR TBQ,R411310
US EYC,R130490
FR LXV,R970875
GB KIP,N29104756
FR RRO,R966308
JP MSE,R4454178
IT V7E,N1085423351
JP OMA,R3785842
DE ZEV,R965599
AU GIC,R11677465
IT VLZ,R43986
BR IGV,R297904
US Y2M,N151367644
FR MVV,R75312
NL ROL,R1463650
ES FOR,R343542
BR EVM,R301203
ES NDP,R343585
ES BL2,R339803
FR RHJ,R122809
GB PVG,R4572806
RU CHK,R1420221
FR 8HL,R131485
BR ITM,R314870
IT COI,R42482
FR M67,R85824
NL HEJ,R1419669
FR CZG,R252631
FR NN3,R93275
GB YEY,R350538
PL BOR,R2955351
GB ARY,R1866076
AT FWG,N73732834
US UHV,R182803
PT BGZ,R4115866
CA YNC,R12893851
GN BEY,N2595412878
AT PRL,R49985
ES NIT,R343671
BR JPC,R334439
IT RPB,N452993168
US EUJ,R171211
NO NVK,R10143373
KR COJ,R2541043
ES RAN,R346571
MX LOV,N747101009
BR SBS,R296606
FR VD5,R363711
NO BSY,R406133
US ASX,R251438
ES VZ8,R343168
IT EIO,N63632174
BR BBY,R297923
GB LRL,N102327075
US KIU,R14024085
SE OXI,N262554934
IT MDW,R44872
US ALN,R126623
US VEL,R198724
DE B5T,R422527
IT RNA,R45499
ES LU6,R346556
NZ GED,N291105724
US YCV,R142578
IT PC3,R41695
