FR MM9,R406298
US YPF,R197395
AU UNA,R5828245
FR 3VA,R9182241
FR XRA,R35287
US TAU,R132122
US MJA,R121369
GB HHW,N29355243
NO SNI,N42296932
US MB4,R185229
BR PTU,R302547
MD TIR,R3031682
FR PAA,R119427
DE SA9,R448120
IE NBS,R6984709
AU WST,R2402721
SE SBK,N350528896
CZ DTE,R438587
AT SLZ,R77752
BE BGU,R2436182
US TBS,R13574169
FR M77,R1289619
BE DSI,N427091566
DE HBC,N365338759
GB CND,N373353372
FR OVD,R154056
BR MMR,R297515
DE TKN,R940831
NO SYK,R406857
ES PMN,N1560751670
DK VAN,N3185232624
HU BED,R575282
IT FGA,N4412481141
EC CHG,R2032868
FR GDI,R1620902
BR CMU,R314740
BR NBS,R333651
FR FUX,R179479
UA RIV,R448930
IL RHT,R1379225
FR NRT,R571339
AT STB,R109773
DE BRT,R958097
US MTX,R6595921
FR LA6,R76139
FR LQZ,R1173312
CN BOT,R2752954
FR 4MO,R1569298
US QEV,R128563
FR NNL,R93552
ES BOQ,R342292
US H8M,R127899
US WYA,R184917
GB BDA,N29974976
AR SLA,R7274360
PL KEM,R2846925
BR MCI,R298457
BR DRP,R1828866
RO BCO,N405184736
US DUH,R2387524
IT NLG,R43530
FR OBE,R903831
RU OMK,W159192247
FR OTY,R403501
US RDS,R251577
DE HVO,R310350
US TYK,R3774822
ZA MUR,N80834963
CA FAR,R7926997
CL LOS,R231954
CA SCI,R8089944
US D7C,R169438
BR CZB,R242367
US SDD,W33005264
FR HRO,R140516
CN MYG,R2787464
US TPP,R237750
BR JAS,R314675
GT VLL,R10414581
DE GZM,R1015102
ST STA,R15060734
HN TJI,R6049959
JP WDA,N2466129740
GB LBO,N304882751
GB BK4,R2930955
DE BER,R14687142
US MAS,R188965
FR RQP,R106812
AM ARM,R15026668
BR CXD,R296702
BR LEC,R242326
TR AFY,R1263753
GB WLK,N85594130
BE KST,R4120353
SE VST,R935588
JP YAU,R812284
IT FRN,R42318
IN IXB,N342098412
GB BWB,R929373
CH GNA,R1684683
US LTD,R10164231
US QJA,R135267
US PG9,N158425730
DE ADO,R418611
AU LTP,R11676970
CA ENT,N51973149
FR QDB,R123371
ID NAR,N8611819214
FR OYB,R190281
IT RON,R44514
GB CWO,N5112989832
AR LUQ,R9806959
GB NNR,R6651022
UA OZN,R3167302
FR BEG,R1402747
CN DSH,N6863220934
FR P7Y,R132370
US UHN,R117491
US FXB,N151918476
AT NES,N240029753
CZ LIP,R439294
US WZO,N153798143
ES PBV,R348193
US UVB,R184987
IT NNL,R40805
US VVN,R132052
DE MIO,R551229
FI PII,R10799519
US PHU,W33114820
FR DJ3,R73897
AU B2P,R5539659
US TWD,R237889
DE HCE,N51550223
US M3T,N141031271
IT GNG,R40706
IT AGN,R45603
ES GUD,R346783
BE BAS,R3395053
BR LVS,R297943
BR MNO,R362224
NG KOK,R3708086
BR RHW,R301374
DE 3BC,R540445
FR RVL,R109922
BR IQU,R298071
NI NII,R5745794
US BXB,R131922
FR GAO,R3200703
GR AIS,R12135334
GB DWD,N3656109551
FR BU8,R1401223
US FTS,R183830
NO BJD,N3868251282
SM GAL,N291464599
FR 4RJ,R109595
US LY7,R9212863
AU M4H,R11677683
AZ LAN,R3812604
FR BQZ,R173695
GB WFD,N367713342
CA CBR,N1398632446
AU TOL,N88800660
CZ MDR,R442046
US FPD,R15338668
BE MOD,R2033704
TR BUC,R1269254
FR MAG,R571835
CL PIR,R238959
FR LPD,N5851509549
IT ZVP,R39543
PL SMI,R2978815
DE WI9,N21483535
PT AMA,R5400888
FR NIC,R1815270
AT FNA,W26963560
GB GBK,N178891747
US ANP,R133571
DE IMK,R3693965
AU ROB,R6738667
TR SHR,R1813257
CA YCL,R9692342
IT VD2,N2801326519
DE KRZ,R1268971
US ABO,R119983
CD KEC,R5834385
IT CNG,R44021
CN LIL,N244081121
FR ONJ,R132446
FR EBG,R1158568
IL AMM,W94708944
ES ALV,R343574
SI GVP,N385076856
BR CLY,R297767
FR DNA,R358803
NO MJF,N31264115
IT FVZ,R42886
AE YAS,R13251334
IN GGN,R3577685
FR RP9,N259744782
AU SWP,R9099226
GR IOS,R5318907
MX ZDR,N849915782
ES PNV,R340462
US YND,R251526
US 5BM,R126935
NO GIS,R406859
CH MGY,R1685332
PT BRG,W1191189648
FR R7G,R2883246
US GMQ,R130764
DE XUE,R3123525
IT GGT,R39233
ES SNZ,R343483
DE FLE,R13779963
CH ORE,R1684835
PH PUL,R12245305
DE 75N,R445757
SI NOG,R1675786
CZ JEN,R439607
US OIC,R3166331
BR PST,R315004
AR OCT,R9456628
BR MAL,R297668
DK OOT,N393177878
UY CAR,R2757912
US CQQ,R125776
CA RXF,R7932241
DE GLJ,R283613
FR SOW,R2414926
BE SJE,R3465071
DK FRS,N2925536686
DE LE7,N27158664
US UOA,R198991
FR CZC,R74509
CZ BRN,R442481
US PMW,R251939
AU T3G,R5687395
IT CEF,R43652
GE ZAL,R9820207
GT SNL,N6936417254
US CNH,R170186
US HUU,N151362803
BR YPM,R303660
US G43,R5837101
FR 4ET,R2981205
US ESA,R182491
US B2W,R176258
US 7BA,N154294635
MN UGA,R7304950
US QAL,N158656270
US WCF,N158806149
ES LAU,R339948
US AJY,R124772
BR IUT,R314728
US 2CV,R6584380
IE ABB,R4676956
BR SMB,R334539
FR TLF,R107397
GR VEO,W136702490
ES RVD,R339840
GR PTE,N357517068
SI SVB,N208843169
PT VGS,R5325847
SI Z35,N2980404612
FR TTR,R2089711
RU STW,R6712557
IT VEU,R47338
FR SRX,R168180
BG TJM,N267050507
CZ OSI,R439099
CH BSO,R1684052
JP HHS,R1769178
US P8H,N157617165
ES EUB,N878487794
FR N8B,R145096
AT ABM,R903890
FR FEE,R161376
PR SAL,N3528672551
US NEJ,R9227085
US FA3,N153519744
SK JAV,R2275136
US KNP,R180117
US SFP,R118896
US SW3,R125789
IL BET,R1380253
HU HGO,R113474
GB HTL,N241645781
US ES8,R3177653
BR CPC,R2702845
CA PNH,N29852200
DE LWL,R1251124
NG QCT,N501365061
US QSY,R188871
NZ HMB,R1638974
DE ZTN,R551072
DE XMN,N78366509
FR SG2,R70883
IN EDP,N7273763200
PG KZF,N4193532246
IT CUT,R40650
AR AVO,R3187041
AR PCY,N198450586
PL SWC,R2003806
DE WCK,R153510
US ALM,N151886876
IE MGL,R6927399
GB KIB,R3544003
PH OLO,R14128978
DE 58D,R454250
GB LSK,N49023227
GB EFL,N30099999
AU BRM,R11716500
US ARC,R11948827
GB ISD,N27409520
ZA MBD,N30212071
DE GEW,R535006
CH UTB,R1683117
IT ATL,R40517
DE DNU,N1308350831
HU TOT,R1078531
DE EIM,R1460254
US MR9,R4207986
PL MRO,R4252068
BE NBA,N671171289
CH ENG,R1683067
GB NGT,R571826
US TDO,R238080
FR DSW,R252616
PG UAE,N8420336822
SK KAO,R2218890
FR ND4,R2692265
DE SZR,R1184877
GB MEI,R2868908
PT BQS,R4056244
CZ RUA,R439570
US NHJ,N158621232
CA MRF,N4818274941
BR FRN,R303891
FI HEL,R34914
ZA MNI,R611251
CA ST5,R8216424
US UNV,R175955
CA JAC,N107362524
BR PRJ,R242675
FR E29,R117496
US B4Y,R169236
US CB8,R142562
FI KIH,R2270668
VN PHB,N4724189450
AU PHR,R2395766
IT IOR,R45644
IT GLW,R46120
US KJO,R128997
CZ KMV,R438621
FR LHL,R156104
GR LGK,N1880767972
FR GQY,R148675
DE GBG,R446869
US EBF,R199109
US GKU,N151828764
CA LYN,N2169608923
FR KLM,R252637
NO SRI,N317603329
CN ZZO,N4975567784
US AZI,R126199
TR CKO,R1276034
UY PDP,R2470435
BR NCN,R333698
DE KGZ,R390788
DE HCU,R941086
CH POT,R1682609
IS THO,N52099005
AU MRU,R11689890
IT TVO,R179210
RU ATK,R1687059
CA SPO,R9242165
RU SKH,W188562623
GR MRT,N1113694579
MX PMX,R3653210
US DGE,R13855916
FR SFO,R103744
IT SVT,R179173
TR BAK,R1766096
CA GRA,R7927022
DE ZNW,N277394984
NP BWA,N575832041
DE SHW,R1734859
AU SQC,R11690087
BR RRE,R298028
FR VZ9,R397163
US TIR,R177366
FR BFT,R118174
BG HKM,R1955795
FR FNO,R122795
US O82,R137765
FR DBL,R134315
PG LWI,N7398863218
BR MMO,R1827273
US KV9,R140666
PL CDB,N1859552399
NL EGM,R2655832
CN TIH,R3987435
NO JON,N433052742
BE HEE,N664657220
BR ANN,R336748
FR ULX,R150877
PT ASD,R4053150
US MGA,N157552618
AT ST2,R83314
BR IMG,R315047
SE TIM,R935568
PL SON,R2706407
FR SUS,R238741
US WUN,R182395
DK HJ3,N21686522
CR SJN,R5670510
DK BLU,N2261185652
NL LOM,R2722678
NO LAS,N9873608718
NL NTR,R2725272
ES PUI,R340546
CA CLY,N51972278
GB HWN,R11275966
RO URZ,R10698171
IT MVG,R43475
CA BTT,N1475624882
BR ASW,R301400
ES LAV,W207056173
ES OSR,R341665
ES ND9,R339707
FR L8V,R107741
CA MAV,R7710956
US SHQ,R187217
US 5LV,R128427
BR VPC,R362347
DE MCI,R158142
US TZR,N2646082358
FR LDH,R1141548
US BCY,R571643
BR SMO,R296744
GB ORP,R2644719
PG LPN,N8553840816
BR AVH,R315192
US GAK,N150917200
DE WJF,N971878831
NO TRY,N2525738309
DE HMI,R2012732
DE 2AE,N496917067
US RGY,R12184688
CN LCN,N2065870497
ES MQU,R346450
BR NWS,R314656
CH XZX,N25844324
US YMQ,R125827
NO MRV,N257710918
US GBZ,R1216718
IT ZXP,R44171
FR BCN,R85421
CA RIE,R7927130
US HGG,R142529
HU BZS,R1407074
IT SGF,R43575
IT CRQ,N4384561439
IT LAO,R1250131
FR MX4,R415110
IT SCU,N413706021
ES DRG,R339487
CN SGY,R2763775
MX ATM,N2606132094
BO AUC,R4499718
ZW STH,W481847364
AU S4G,R2393825
TT CUN,N1824462528
FR MAV,R88684
US AUZ,R124817
US BVX,R184276
US YYS,R126789
FR VGB,R134028
IT ZTD,R39870
RU ISK,R3396079
SV NCN,N3316579463
SK ZEL,R2217916
FR VXZ,R1377054
US 2WM,R182385
IT SMG,R39211
NL AAM,R443906
FR P2S,R956086
CH COD,R1684664
US IUC,N153989060
NL OUG,R1411044
GB CR9,N1911879415
DE FAL,R1808964
IT GSL,R43905
PL MLC,R1812176
US TKI,N150920807
DE GII,R422307
US QFA,N151550126
FR OWG,R89043
FR VEI,R1629622
FR FTA,R252605
DE ARB,R158406
PL SKI,R2414842
FI TVA,N3702804226
