US 9CY,R119069
SE VER,N3440083738
US CQ5,N153751416
US WOC,R3158865
IT L3Z,R44570
US VTM,N158270930
US SL3,R179838
US QNM,R118858
US AAN,R179010
HU NYO,R1447631
FR CZS,R122474
US MOW,R237669
CN ZEL,R13739108
US VSF,R2027202
PA LGL,R10584091
US ZTN,R251457
CZ TAC,R441448
US LQX,R182121
KZ UKK,R10062283
BR ASG,R297655
FR DPN,R1197751
AR FER,R12387241
BR BTO,R303799
IL BHE,W65014576
FR VYQ,R117289
GB PNS,R1267752
FR G64,R3009882
US JFB,R171293
US GKG,N150981503
GB CKK,N633018418
CL VLR,R1572107
US OWZ,R128986
DE OF2,R2676469
IT B7A,R40970
RO NTP,R14772882
US MI3,N154299607
ES ODB,R343207
US T5W,N151461246
AU OUK,R2463756
DE DHR,R1285613
PL OKZ,R2768503
FR MIZ,R549697
DE WWL,R1124265
PL NCH,R14043802
US LVB,R125717
DZ COL,R6407308
US PHP,R194904
NO SID,N595708182
IN ITA,N245756095
NL ERA,R1423539
RU ABS,W60009841
CA JFK,N1338565189
CN QZC,N7153964378
US YLD,R237645
NL BAA,R158710
GB DGL,N240780786
DZ QDZ,R5321733
FR BZL,R115831
AU TTE,R10624833
US PXO,R5365367
BR EDD,R315400
CA CDN,N1583464843
FR BJA,R1426915
BR IBC,R362251
US POE,N151350679
HU BUC,R1131694
DE ERI,R2783822
FI POH,N4471725207
KE KAP,N44997942
GR KDM,N1833339160
AT VIE,R16035709
FR MZL,R119352
FR UTS,R2131052
US KA3,R185013
FR GUS,R152998
NL THD,R1360665
FR NCE,R170100
IT IAN,N1575982902
SE EDZ,N29282318
PG TEP,N7498875609
FI SKA,N224369357
US OHD,N158251017
DE BAG,R955236
NR YRN,N10307798615
US KUY,N150919622
JP NGD,N7705093695
FR 2LF,R157517
AU DAA,R11675355
IT ER3,R41061
US MIY,R175466
US KKZ,R126265
US OLX,R112641
DE NIR,R163305
IQ BBB,N2488024812
IT PAJ,R43810
DE ZJE,R960511
DE NIU,R535891
US GA2,R129691
BR MRG,R298136
US W8I,N6984025291
FI PTI,N497283114
BR ROR,R363121
BA SJJ,R15445108
US WPE,R2396251
DE 75O,R1161863
CA KPL,R11963923
BE BEZ,R2337276
DE MUZ,R422914
AU CDE,R11674823
US URR,N158819597
EE TPL,R350620
FR EVC,R252628
CH FTM,R1685484
US PMC,R239896
PL PRB,R2838659
HU SUT,R1607359
US VYB,N1830179288
US ZDV,R126688
DE KZU,R163314
BR OIS,R362525
BR PTC,R332911
ES TA4,R342733
TR TAV,R1605440
BR FSS,R302757
CA YRK,R2989336
PL PWI,R11586840
BE WUU,R1284088
FR CCH,R86999
US MYD,R189087
JP TAK,R4051287
CA ION,R9334397
NL SKW,R334811
US PJP,R251543
DE SGT,R2790912
US PGC,R239866
FR NA2,R2083055
US KRM,N151925603
FR LL5,R150071
ES VU9,R345356
CN NYA,R3206852
FR MG3,R146666
BA LKV,R14646629
US HRJ,R132180
CH LAS,R1683666
IL ALU,W915003385
DE 77X,R1231966
DE AL5,N1128624246
RO CLU,R14778542
SE SBO,R935525
FR V2Z,R404192
US TTM,R187415
GB CDY,N870240002
CH COS,R1684925
US L7G,N150961911
US CZW,R137200
CZ KRN,R439377
US FAO,R181886
TT TUN,N477483943
DK HOJ,W441968956
IT VBS,R44068
US HXK,N150916701
US TWW,R128500
CN DLI,R12797544
US CXC,R6560951
US ES2,N158842572
FR VUH,R1550593
US GTI,R119961
BE EBZ,R10507272
DE WIE,R5458759
US 7PE,R8906728
IE RSM,R3347195
IE MIT,R6915496
IN SNL,N2246454946
US ZDX,R123527
US OBF,N368997943
DE HF2,R958114
DE FRH,R401777
GB CRJ,N26347904
GB HVT,R1022310
US FL6,R6586549
ES RCO,R12643412
US JLF,R127847
CH RTZ,R1683147
BR BRX,R2220781
US MFZ,R238586
US TIS,R137853
PL SWK,R2548899
FR 49E,R536466
RO ADJ,R10715570
US SQJ,N158799406
FR VVL,R384702
RO VLI,R10761307
BR VMS,R315117
CZ LZE,R440033
CA TUK,R9463355
IN BHW,N1512531348
US EVV,R127319
MY JGP,N254072893
DE B2L,N89781603
US MMQ,R125737
IT CNZ,R43506
DZ SBA,R2361464
FR LMV,R123196
FR EA9,R1112243
AU DVT,R2423111
DE 62M,R422841
CN HPT,N10819498976
US R84,N158628429
US GUV,N153727922
ES JTE,R341284
GB WGG,N29277941
RS KVJ,N358524971
FR VJO,R157714
FR VI6,R1249595
CZ ONC,R440835
ES MUO,R347874
PL MAL,R2908814
FR LIT,R135639
BE RGE,R1603706
SK VRN,R1861136
BR TIE,R298280
US DP8,R170714
GB GR5,N26751348
CN HZG,N244080458
GB CCG,N1657269728
CA AJN,R8042766
FR RGN,R70229
FR BY6,R89575
US IBT,R136636
ES NSU,R344824
ES ZFT,R340343
US 7AS,R247888
US 8AA,R126095
FR DRR,R91924
US A8N,N153844504
US ZLV,R113276
FR QLE,R2070522
DE HKH,R539089
MX AYL,N849915781
RU SCW,R3404703
US TTW,R187350
NO GEI,N305171806
US NHD,N1830174596
JP IAM,R722221
AT RDF,N3612275205
JP OAX,R4107185
ES DWA,R345483
MX BDR,N472257842
AU NYN,R5813897
NL NPK,R2468714
IT GMO,R45127
GB ZDA,N28971785
GR LFK,N1094096682
CH ELL,R1683314
DE NHL,W28947812
CZ 4PO,R437113
FI LUK,R569417
BR YNJ,R297745
MD MJN,R5736377
BR GJM,R325856
IT SCM,R42733
GR NAF,N161668036
EE VAR,R351794
GB CRL,R6626243
BE CPO,R12729099
FR MCM,R186984
DE AH3,R965596
CL PDH,R1661293
GB SEL,R6088554
BR WRE,R242445
FR AUH,R88625
DE ZHG,R448041
CA BAZ,R7903219
JP OWA,R4538803
GB BCL,R11276351
IT TUF,N1740816066
HU VAJ,R1452130
BG LSD,R1922475
FR PQA,R909652
SL FNA,N27565056
ES CR4,R340376
ID CIC,R14768430
IE TIN,R14583090
ZA CGH,N262704737
IE KCM,R4308053
US LB2,R12199300
BR UNO,R302664
BR PYI,R301443
DE ZLL,R958111
CN HKU,N2703829094
ML IKO,N277945591
ES ELJ,R347347
US FSU,R171283
SN DUR,R13004964
FR 9HQ,R119489
PA AMD,R13015266
IT ZBC,N1309961263
GB SDD,N292381219
NZ POE,N243637230
US JFO,R182750
GN KSI,N2742050596
FR IBQ,R104494
BE KTB,R414919
GB CCT,N2117862027
GB WGR,R11283497
US LU4,R184315
US DNI,N3710596031
IT MUL,R43005
ES ZGF,R5804082
DE 3AT,N414999821
US BNM,R3506329
IE ENK,N52256853
RU MJZ,R5393340
FR FLP,R172205
US QMD,R238649
IT CDX,R43638
AU ATA,R5820602
BR NLN,R303793
FR 9WR,R1251275
CR GTS,N3637595383
IN KAR,W82623598
DE K5N,R534526
CL MIN,N214199057
BR POT,R297721
CN MOH,N280162986
CL MOL,R541828
ES P7B,R340684
SI SMT,N1411622138
FR L3H,R1804741
BR NOO,R315255
FR C3V,R2587665
US ICK,R6580442
CZ VPK,R442444
BR IZA,R5127120
US KV5,N158859584
DE AFZ,R1016395
PL GRK,R336618
NO BLD,N252192032
IT KNS,R41924
FR CVW,R2693182
BR BLL,R296708
FR VLM,R145612
CO ZQA,R1356172
US EIN,R180136
IL RHO,R1376773
CA PTO,R9236669
US XBS,N157601233
GB BUJ,R158056
AR BUU,R10972989
DE BX9,R1466113
US ML6,N158633490
AR BUR,R2532299
FR GFS,R86182
SI ANH,N2039897101
US XLF,R2402315
GB SUM,R4552642
JP HIE,R722198
IT MSQ,R39158
SE FSV,N445342286
SE GHR,N322079129
NL NDB,R2726891
NO SNV,N5908034026
JP GAM,R4548245
FR EN3,R3000331
GB WEX,R582216
AU SWD,R11675397
FR GFR,R1019742
FR AWO,R55892
FR QMM,R76240
BO TOM,W157251567
CH ZJA,R1685506
SI MNS,N567336337
FR OMU,R36291
DE AHH,R961330
US BAZ,R10850999
DE EST,R70125
US UAF,R3488484
PL LIA,R2857750
DE ESZ,R454870
ES FUM,R340186
CA SCE,R9229106
JP OMC,R4759380
AU PNH,R5632866
FR T4R,R1838961
DE 59X,R422748
CR BAT,R5711914
BR CGL,R297633
FR DAD,R2573037
FR QVG,R111430
BE ZVT,R67940
NL SCN,R1422099
FR LG2,R156306
US LXE,R127639
US FFA,R177288
US VVM,R110868
DE KPG,R935302
CL LLG,N7603969190
AU HXX,R5742602
US AKF,N158813931
FR DM5,R2694916
AU NUM,R2517606
PT SBO,N1725611611
IN GTR,N571469929
US YDR,W153279645
RO DRB,W75247615
VE CUU,R2461476
BR IPB,R303675
DE SCV,R158147
FR AZT,R155020
AU SHS,R2386867
ZA ZCQ,R10632493
GB PUL,R2955279
LV VMK,N265580031
PG SMJ,N8491888509
US KGG,N158467763
US NXO,R180335
PL PCH,N360205009
IT RIL,R40180
DE EHL,R1253745
PL PCI,R1561922
EC DAL,R282428
IT P6D,N2082731299
BR MQU,R2709108
RS LOZ,R1762291
US XBD,N157582893
DE HMD,R412906
US CCD,R182945
CN HAS,R2775859
DE ABL,R7723097
MV HDO,N4016221909
BR BOV,R314677
CH GOF,R1684317
US LEK,R137461
PL ZHE,R6376191
DE KTW,R421227
PL WP8,R2852171
DE MSU,R451797
FR PCE,R107455
SE SUR,N1771110692
BE BEL,R961114
NL DEH,R1356037
DE AMB,R62772
IT FFP,R41882
CZ VAS,R425044
US SPJ,R170523
BR ILI,R301281
CA WMR,N479696107
GB HMW,N31424254
US SAB,N151374143
FR UDG,R570123
US WYY,R198906
FR MVQ,R115841
US WSK,R141263
BR JBS,R302644
ES COO,N3743483181
LV VLN,R1872698
GL ITQ,N1924110168
US AJ9,N150963593
US DGP,R188942
CH GBS,N1376680737
FR SNQ,R912202
LA NTY,N297704753
ES CS3,N492406034
BR LVR,R314661
GB BTO,R3577646
US UJA,R197474
IE MON,R14571828
CH EN2,R1685481
DE WNF,R7432159
MY PHI,W460211097
IS GRT,N2876959423
PH ANG,R13056727
MY ANG,N5659011948
NL LGW,R300165
DE 57U,R532392
US TNZ,R180286
FI VSS,R1764263
HU VAR,R1078609
DE GTL,R959169
US UYY,R127328
US JBG,R126051
DE LDC,R454177
US EY8,R136751
FR Q2L,R140132
BE BOO,R4717641
US ILE,R114936
DE CHQ,R3968446
